physical_id,case,Re,Lx,Lz,group,source,J,K,L,asc_path,dns_path,out_png
ghc_re400_alpha1p14_gamma2p5_low_shear_001,ghc_re400_alpha1p14_gamma2p5_low_shear,400.0,5.511566576198634,2.5132741228718345,C,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/C/jkl_1_3_5/sol2.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/C/jkl_1_3_5/dns_findsoln/sol002/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear_001.png
ghc_re400_alpha1p14_gamma2p5_low_shear_002,ghc_re400_alpha1p14_gamma2p5_low_shear,400.0,5.511566576198634,2.5132741228718345,A,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/A/jkl_1_3_5/sol1.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/A/jkl_1_3_5/dns_findsoln/sol001/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear_002.png
ghc_re400_alpha1p14_gamma2p5_low_shear_003,ghc_re400_alpha1p14_gamma2p5_low_shear,400.0,5.511566576198634,2.5132741228718345,E,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/E/jkl_1_3_5/sol2.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/E/jkl_1_3_5/dns_findsoln/sol002/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear_003.png
ghc_re400_alpha1p14_gamma2p5_low_shear_004,ghc_re400_alpha1p14_gamma2p5_low_shear,400.0,5.511566576198634,2.5132741228718345,E,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/E/jkl_1_3_5/sol4.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/E/jkl_1_3_5/dns_findsoln/sol004/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear_004.png
ghc_re400_alpha1p14_gamma2p5_low_shear_005,ghc_re400_alpha1p14_gamma2p5_low_shear,400.0,5.511566576198634,2.5132741228718345,E,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/E/jkl_1_3_5/sol5.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/E/jkl_1_3_5/dns_findsoln/sol005/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear_005.png
ghc_re400_alpha1p14_gamma2p5_low_shear_006,ghc_re400_alpha1p14_gamma2p5_low_shear,400.0,5.511566576198634,2.5132741228718345,E,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/E/jkl_1_3_5/sol3.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/E/jkl_1_3_5/dns_findsoln/sol003/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear_006.png
ghc_re400_alpha1p14_gamma2p5_low_shear_007,ghc_re400_alpha1p14_gamma2p5_low_shear,400.0,5.511566576198634,2.5132741228718345,B,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/B/jkl_1_3_5/sol3.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear/B/jkl_1_3_5/dns_findsoln/sol003/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/ghc_re400_alpha1p14_gamma2p5_low_shear_007.png
hkw_re400_alpha1p14_gamma1p67_low_shear_001,hkw_re400_alpha1p14_gamma1p67_low_shear,400.0,5.511566576198634,3.762386411812926,A,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/hkw_re400_alpha1p14_gamma1p67_low_shear/A/jkl_1_3_5/sol1.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/hkw_re400_alpha1p14_gamma1p67_low_shear/A/jkl_1_3_5/dns_findsoln/sol001/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/hkw_re400_alpha1p14_gamma1p67_low_shear_001.png
hkw_re400_alpha1p14_gamma1p67_low_shear_002,hkw_re400_alpha1p14_gamma1p67_low_shear,400.0,5.511566576198634,3.762386411812926,G,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/hkw_re400_alpha1p14_gamma1p67_low_shear/G/jkl_1_3_5/sol1.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/hkw_re400_alpha1p14_gamma1p67_low_shear/G/jkl_1_3_5/dns_findsoln/sol001/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/hkw_re400_alpha1p14_gamma1p67_low_shear_002.png
hkw_re400_alpha1p14_gamma1p67_low_shear_003,hkw_re400_alpha1p14_gamma1p67_low_shear,400.0,5.511566576198634,3.762386411812926,G,ls,1,3,5,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/hkw_re400_alpha1p14_gamma1p67_low_shear/G/jkl_1_3_5/sol4.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/eqb_fuzzing/stress_tests/minimal_low_shear/hkw_re400_alpha1p14_gamma1p67_low_shear/G/jkl_1_3_5/dns_findsoln/sol004/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/_computed_dns_ode_comparisons/stress_minimal_low_shear/hkw_re400_alpha1p14_gamma1p67_low_shear_003.png
