physical_id,case,catalog_source,Re,Lx,Lz,shear,L2,groups,representative_group,representative_J,representative_K,representative_L,ode,dns,dns_ode_comparison,dns_bifurcation,dns_bifurcation_points,E3D,dissipation,D_total,wall_shear,I_total,leading_lambda_re,leading_lambda_im,n_unstable,eigen_lambda,leading_eigenvector,literature,dedup_component_id,dedup_component_size,dedup_status,dedup_members,dedup_edge_count
re300_lx10_lz6_006,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.327932,0.132183,"A,B,C,F,G",C,3,5,9,equilibria/re300_lx10_lz6_006/representative.asc,equilibria/re300_lx10_lz6_006/ubest.nc,equilibria/re300_lx10_lz6_006/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_006/bifurcations/dns_combined_curve.csv,18,0.0737906,0.327932,1.3279320000000001,0.327932,1.3279320000000001,0.03330951226290308,0.0,4,equilibria/re300_lx10_lz6_006/eigen/lambda.asc,equilibria/re300_lx10_lz6_006/eigen/ef1.nc,,,1,single,re300_lx10_lz6_006,0
re300_lx10_lz6_026,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,1.75755,0.337678,A,A,2,4,5,equilibria/re300_lx10_lz6_026/representative.asc,equilibria/re300_lx10_lz6_026/ubest.nc,equilibria/re300_lx10_lz6_026/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_026/bifurcations/dns_combined_curve.csv,78,0.186197,1.73884,2.7388399999999997,1.75755,2.75755,0.16657198874602028,0.0,22,equilibria/re300_lx10_lz6_026/eigen/lambda.asc,equilibria/re300_lx10_lz6_026/eigen/ef1.nc,,,1,single,re300_lx10_lz6_026,0
re300_lx10_lz6_008,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.368928,0.132685,"B,C",B,2,4,9,equilibria/re300_lx10_lz6_008/representative.asc,equilibria/re300_lx10_lz6_008/ubest.nc,equilibria/re300_lx10_lz6_008/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_008/bifurcations/dns_combined_curve.csv,60,0.0839137,0.368928,1.368928,0.368928,1.368928,0.04437660097622442,0.0,3,equilibria/re300_lx10_lz6_008/eigen/lambda.asc,equilibria/re300_lx10_lz6_008/eigen/ef1.nc,,,1,single,re300_lx10_lz6_008,0
re300_lx10_lz6_010,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.394206,0.13072,B,B,2,4,9,equilibria/re300_lx10_lz6_010/representative.asc,equilibria/re300_lx10_lz6_010/ubest.nc,equilibria/re300_lx10_lz6_010/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_010/bifurcations/dns_combined_curve.csv,64,0.170479,1.43199,2.43199,1.42284,2.42284,0.06694352834901393,0.0,9,equilibria/re300_lx10_lz6_010/eigen/lambda.asc,equilibria/re300_lx10_lz6_010/eigen/ef1.nc,,,1,single,re300_lx10_lz6_010,0
re300_lx10_lz6_007,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.332424,0.114986,C,C,3,4,9,equilibria/re300_lx10_lz6_007/representative.asc,equilibria/re300_lx10_lz6_007/ubest.nc,equilibria/re300_lx10_lz6_007/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_007/bifurcations/dns_combined_curve.csv,66,0.0461862,0.332424,1.332424,0.332424,1.332424,0.08034875646353971,0.0,8,equilibria/re300_lx10_lz6_007/eigen/lambda.asc,equilibria/re300_lx10_lz6_007/eigen/ef1.nc,,,1,single,re300_lx10_lz6_007,0
re300_lx10_lz6_011,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.504836,0.155965,C,C,1,3,5,equilibria/re300_lx10_lz6_011/representative.asc,equilibria/re300_lx10_lz6_011/ubest.nc,equilibria/re300_lx10_lz6_011/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_011/bifurcations/dns_combined_curve.csv,65,0.0952538,0.504836,1.504836,0.504836,1.504836,0.0665381753264706,0.0,8,equilibria/re300_lx10_lz6_011/eigen/lambda.asc,equilibria/re300_lx10_lz6_011/eigen/ef1.nc,,,1,single,re300_lx10_lz6_011,0
re300_lx10_lz6_021,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.978733,0.24704,"C,E",E,2,4,9,equilibria/re300_lx10_lz6_021/representative.asc,equilibria/re300_lx10_lz6_021/ubest.nc,equilibria/re300_lx10_lz6_021/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_021/bifurcations/dns_combined_curve.csv,87,0.11536,0.978733,1.978733,0.978733,1.978733,0.04583146156079093,0.0,9,equilibria/re300_lx10_lz6_021/eigen/lambda.asc,equilibria/re300_lx10_lz6_021/eigen/ef1.nc,,,1,single,re300_lx10_lz6_021,0
re300_lx10_lz6_025,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,1.50822,0.307106,C,C,2,4,6,equilibria/re300_lx10_lz6_025/representative.asc,equilibria/re300_lx10_lz6_025/ubest.nc,equilibria/re300_lx10_lz6_025/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_025/bifurcations/dns_combined_curve.csv,32,0.140537,1.50822,2.5082199999999997,1.50822,2.5082199999999997,0.08516435280906427,-0.13328559749319438,15,equilibria/re300_lx10_lz6_025/eigen/lambda.asc,equilibria/re300_lx10_lz6_025/eigen/ef1.nc,,,1,single,re300_lx10_lz6_025,0
re300_lx10_lz6_002,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.191403,0.093204,"D,G",G,2,4,5,equilibria/re300_lx10_lz6_002/representative.asc,equilibria/re300_lx10_lz6_002/ubest.nc,equilibria/re300_lx10_lz6_002/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_002/bifurcations/dns_combined_curve.csv,71,0.0605405,0.191403,1.191403,0.191403,1.191403,0.03793383508390278,0.0,6,equilibria/re300_lx10_lz6_002/eigen/lambda.asc,equilibria/re300_lx10_lz6_002/eigen/ef1.nc,,,1,single,re300_lx10_lz6_002,0
re300_lx10_lz6_012,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.562706,0.180224,D,D,1,3,5,equilibria/re300_lx10_lz6_012/representative.asc,equilibria/re300_lx10_lz6_012/ubest.nc,equilibria/re300_lx10_lz6_012/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_012/bifurcations/dns_combined_curve.csv,63,0.0932412,0.562706,1.562706,0.562706,1.562706,0.024139210297667232,0.0,4,equilibria/re300_lx10_lz6_012/eigen/lambda.asc,equilibria/re300_lx10_lz6_012/eigen/ef1.nc,,,1,single,re300_lx10_lz6_012,0
