physical_id,segment_index,Re,group,from_Lx,from_Lz,target_Lx,target_Lz,cont,dmu,target_mu,ns,T,seed,symm,out_dir,seed_exists
re300_lx10_lz6_006,1,300.0,C,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_006/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_C.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_006/to_ghc/01_diag,true
re300_lx10_lz6_006,2,300.0,C,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_006/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_C.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_006/to_ghc/02_lz,true
re300_lx10_lz6_026,1,300.0,A,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_026/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_A.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_026/to_ghc/01_diag,true
re300_lx10_lz6_026,2,300.0,A,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_026/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_A.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_026/to_ghc/02_lz,true
re300_lx10_lz6_008,1,300.0,B,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_008/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_B.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_008/to_ghc/01_diag,true
re300_lx10_lz6_008,2,300.0,B,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_008/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_B.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_008/to_ghc/02_lz,true
re300_lx10_lz6_010,1,300.0,B,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_010/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_B.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_010/to_ghc/01_diag,true
re300_lx10_lz6_010,2,300.0,B,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_010/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_B.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_010/to_ghc/02_lz,true
re300_lx10_lz6_007,1,300.0,C,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_007/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_C.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_007/to_ghc/01_diag,true
re300_lx10_lz6_007,2,300.0,C,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_007/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_C.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_007/to_ghc/02_lz,true
re300_lx10_lz6_011,1,300.0,C,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_011/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_C.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_011/to_ghc/01_diag,true
re300_lx10_lz6_011,2,300.0,C,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_011/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_C.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_011/to_ghc/02_lz,true
re300_lx10_lz6_021,1,300.0,E,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_021/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_021/to_ghc/01_diag,true
re300_lx10_lz6_021,2,300.0,E,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_021/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_021/to_ghc/02_lz,true
re300_lx10_lz6_025,1,300.0,C,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_025/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_C.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_025/to_ghc/01_diag,true
