physical_id,case,catalog_source,Re,Lx,Lz,shear,L2,groups,representative_group,representative_J,representative_K,representative_L,ode,dns,dns_ode_comparison,dns_bifurcation,dns_bifurcation_points,E3D,dissipation,D_total,wall_shear,I_total,leading_lambda_re,leading_lambda_im,n_unstable,eigen_lambda,leading_eigenvector,literature,dedup_component_id,dedup_component_size,dedup_status,dedup_members,dedup_edge_count
re300_lx10_lz6_006,re300_lx10_lz6,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,0.327932,0.132183,"A,B,C,F,G",C,3,5,9,equilibria/re300_lx10_lz6_006/representative.asc,equilibria/re300_lx10_lz6_006/ubest.nc,equilibria/re300_lx10_lz6_006/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_006/bifurcations/dns_combined_curve.csv,18,0.0737906,0.327932,1.3279320000000001,0.327932,1.3279320000000001,0.03330951226290308,0.0,4,equilibria/re300_lx10_lz6_006/eigen/lambda.asc,equilibria/re300_lx10_lz6_006/eigen/ef1.nc,,,1,single,re300_lx10_lz6_006,0
re300_lx10_lz6_013,re300_lx10_lz6,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,0.5755,0.33369,E,E,3,5,11,equilibria/re300_lx10_lz6_013/representative.asc,equilibria/re300_lx10_lz6_013/ubest.nc,equilibria/re300_lx10_lz6_013/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_013/bifurcations/dns_combined_curve.csv,62,0.0391387,0.5755,1.5755,0.5755,1.5755,0.025981395226157833,0.0,2,equilibria/re300_lx10_lz6_013/eigen/lambda.asc,equilibria/re300_lx10_lz6_013/eigen/ef1.nc,,,1,single,re300_lx10_lz6_013,0
re300_lx10_lz6_018,re300_lx10_lz6,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,0.783748,0.218337,E,E,2,4,9,equilibria/re300_lx10_lz6_018/representative.asc,equilibria/re300_lx10_lz6_018/ubest.nc,equilibria/re300_lx10_lz6_018/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_018/bifurcations/dns_combined_curve.csv,61,0.10551,1.78375,2.78375,1.78375,2.78375,0.030402567148203857,0.0,5,equilibria/re300_lx10_lz6_018/eigen/lambda.asc,equilibria/re300_lx10_lz6_018/eigen/ef1.nc,,,1,single,re300_lx10_lz6_018,0
re300_lx10_lz6_021,re300_lx10_lz6,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,0.978733,0.24704,"C,E",E,2,4,9,equilibria/re300_lx10_lz6_021/representative.asc,equilibria/re300_lx10_lz6_021/ubest.nc,equilibria/re300_lx10_lz6_021/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_021/bifurcations/dns_combined_curve.csv,87,0.11536,0.978733,1.978733,0.978733,1.978733,0.04583146156079093,0.0,9,equilibria/re300_lx10_lz6_021/eigen/lambda.asc,equilibria/re300_lx10_lz6_021/eigen/ef1.nc,,,1,single,re300_lx10_lz6_021,0
re300_lx10_lz6_022,re300_lx10_lz6,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,1.09973,0.404339,E,E,3,5,11,equilibria/re300_lx10_lz6_022/representative.asc,equilibria/re300_lx10_lz6_022/ubest.nc,equilibria/re300_lx10_lz6_022/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_022/bifurcations/dns_combined_curve.csv,52,0.102379,1.12972,2.12972,1.1127,2.1127000000000002,0.03101155942572789,-0.02497694457360819,2,equilibria/re300_lx10_lz6_022/eigen/lambda.asc,equilibria/re300_lx10_lz6_022/eigen/ef1.nc,,,1,single,re300_lx10_lz6_022,0
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,0.25004,0.10128,"B,C,D,F,G",C,3,5,11,equilibria/re300_lx2pi_lzpi_001/representative.asc,equilibria/re300_lx2pi_lzpi_001/ubest.nc,equilibria/re300_lx2pi_lzpi_001/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_001/bifurcations/dns_combined_curve.csv,65,0.046899,0.25004,1.25004,0.25004,1.25004,0.07147587150947786,0.0,2,equilibria/re300_lx2pi_lzpi_001/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_001/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_001,0
re300_lx2pi_lzpi_002,re300_lx2pi_lzpi,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,0.305736,0.11435,D,D,1,4,5,equilibria/re300_lx2pi_lzpi_002/representative.asc,equilibria/re300_lx2pi_lzpi_002/ubest.nc,equilibria/re300_lx2pi_lzpi_002/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_002/bifurcations/dns_combined_curve.csv,66,0.0575535,0.305736,1.305736,0.305736,1.305736,0.0576213516388339,0.0,4,equilibria/re300_lx2pi_lzpi_002/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_002/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_002,0
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,0.451944,0.238198,E,E,3,5,11,equilibria/re300_lx2pi_lzpi_003/representative.asc,equilibria/re300_lx2pi_lzpi_003/ubest.nc,equilibria/re300_lx2pi_lzpi_003/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_003/bifurcations/dns_combined_curve.csv,64,0.0329181,0.451944,1.4519440000000001,0.451944,1.4519440000000001,0.05142253926723844,0.0,1,equilibria/re300_lx2pi_lzpi_003/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_003/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_003,0
re300_lx2pi_lzpi_008,re300_lx2pi_lzpi,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,1.2109,0.250827,B,B,1,3,5,equilibria/re300_lx2pi_lzpi_008/representative.asc,equilibria/re300_lx2pi_lzpi_008/ubest.nc,equilibria/re300_lx2pi_lzpi_008/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_008/bifurcations/dns_combined_curve.csv,104,0.10725,1.2109,2.2109,1.2109,2.2109,0.0829405353424805,0.0,7,equilibria/re300_lx2pi_lzpi_008/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_008/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_008,0
re300_lx2pi_lzpi_010,re300_lx2pi_lzpi,dns_geometry_to_ghc,300.0,5.511566576198634,2.5132741228718345,3.03859,0.386379,D,D,2,4,6,equilibria/re300_lx2pi_lzpi_010/representative.asc,equilibria/re300_lx2pi_lzpi_010/ubest.nc,equilibria/re300_lx2pi_lzpi_010/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_010/bifurcations/dns_combined_curve.csv,78,0.193702,3.03859,4.03859,3.03859,4.03859,0.10324436931820125,0.0,19,equilibria/re300_lx2pi_lzpi_010/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_010/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_010,0
