physical_id,source_case,group,target_Lx,target_Lz,Nx,Ny,Nz,resampled_ubest,l2norm,near_trivial
re300_lx10_lz6_006,re300_lx10_lz6,C,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx10_lz6_006.nc,3.0197913835230405e-13,true
re300_lx10_lz6_013,re300_lx10_lz6,E,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx10_lz6_013.nc,0.2218974988592706,false
re300_lx10_lz6_018,re300_lx10_lz6,E,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx10_lz6_018.nc,0.13002461305460594,false
re300_lx10_lz6_021,re300_lx10_lz6,E,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx10_lz6_021.nc,2.1217728436380743e-14,true
re300_lx10_lz6_022,re300_lx10_lz6,E,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx10_lz6_022.nc,0.2218974988592706,false
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,C,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx2pi_lzpi_001.nc,0.13002461305460594,false
re300_lx2pi_lzpi_002,re300_lx2pi_lzpi,D,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx2pi_lzpi_002.nc,0.3732907713833815,false
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx2pi_lzpi_003.nc,0.2218974988592706,false
re300_lx2pi_lzpi_008,re300_lx2pi_lzpi,B,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx2pi_lzpi_008.nc,0.30223533876765635,false
re300_lx2pi_lzpi_010,re300_lx2pi_lzpi,D,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx2pi_lzpi_010.nc,0.37715116332844584,false
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,5.511566576198634,2.5132741228718345,48,49,48,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/rebuilt_catalog/comparisons/resampled/re300_lx2pi_lzpi_012.nc,0.37715116332844584,false
