source_id,target_id,source_case,target_case,source_group,target_group,target_Lx,target_Lz,best_shift,best_distance,unshifted_distance,is_candidate
re300_lx10_lz6_013,re300_lx10_lz6_022,re300_lx10_lz6,re300_lx10_lz6,E,E,5.511566576198634,2.5132741228718345,none,4.97672e-14,4.97672e-14,true
re300_lx10_lz6_013,re300_lx2pi_lzpi_003,re300_lx10_lz6,re300_lx2pi_lzpi,E,E,5.511566576198634,2.5132741228718345,sz,6.69091e-13,1.54574,true
re300_lx10_lz6_022,re300_lx2pi_lzpi_003,re300_lx10_lz6,re300_lx2pi_lzpi,E,E,5.511566576198634,2.5132741228718345,sz,6.89679e-13,1.54574,true
re300_lx2pi_lzpi_002,re300_lx2pi_lzpi_010,re300_lx2pi_lzpi,re300_lx2pi_lzpi,D,D,5.511566576198634,2.5132741228718345,none,0.0191336,0.0191336,false
re300_lx2pi_lzpi_008,re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,re300_lx2pi_lzpi,B,A,5.511566576198634,2.5132741228718345,none,0.491987,0.491987,false
re300_lx10_lz6_018,re300_lx2pi_lzpi_001,re300_lx10_lz6,re300_lx2pi_lzpi,E,C,5.511566576198634,2.5132741228718345,none,0.727307,0.727307,false
re300_lx2pi_lzpi_010,re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,re300_lx2pi_lzpi,D,A,5.511566576198634,2.5132741228718345,none,0.946876,0.946876,false
re300_lx2pi_lzpi_002,re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,re300_lx2pi_lzpi,D,A,5.511566576198634,2.5132741228718345,none,0.952924,0.952924,false
re300_lx2pi_lzpi_008,re300_lx2pi_lzpi_010,re300_lx2pi_lzpi,re300_lx2pi_lzpi,B,D,5.511566576198634,2.5132741228718345,none,0.982319,0.982319,false
re300_lx2pi_lzpi_002,re300_lx2pi_lzpi_008,re300_lx2pi_lzpi,re300_lx2pi_lzpi,D,B,5.511566576198634,2.5132741228718345,none,0.985164,0.985164,false
re300_lx10_lz6_013,re300_lx2pi_lzpi_008,re300_lx10_lz6,re300_lx2pi_lzpi,E,B,5.511566576198634,2.5132741228718345,sx,1.05436,1.12365,false
re300_lx10_lz6_022,re300_lx2pi_lzpi_008,re300_lx10_lz6,re300_lx2pi_lzpi,E,B,5.511566576198634,2.5132741228718345,sx,1.05436,1.12365,false
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi_008,re300_lx2pi_lzpi,re300_lx2pi_lzpi,E,B,5.511566576198634,2.5132741228718345,none,1.05436,1.05436,false
re300_lx10_lz6_018,re300_lx2pi_lzpi_008,re300_lx10_lz6,re300_lx2pi_lzpi,E,B,5.511566576198634,2.5132741228718345,none,1.071,1.071,false
re300_lx10_lz6_013,re300_lx2pi_lzpi_012,re300_lx10_lz6,re300_lx2pi_lzpi,E,A,5.511566576198634,2.5132741228718345,sx,1.14704,1.21621,false
re300_lx10_lz6_022,re300_lx2pi_lzpi_012,re300_lx10_lz6,re300_lx2pi_lzpi,E,A,5.511566576198634,2.5132741228718345,sx,1.14704,1.21621,false
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,re300_lx2pi_lzpi,E,A,5.511566576198634,2.5132741228718345,none,1.14704,1.14704,false
re300_lx10_lz6_013,re300_lx10_lz6_018,re300_lx10_lz6,re300_lx10_lz6,E,E,5.511566576198634,2.5132741228718345,sx,1.1692,1.25869,false
re300_lx10_lz6_018,re300_lx10_lz6_022,re300_lx10_lz6,re300_lx10_lz6,E,E,5.511566576198634,2.5132741228718345,sx,1.1692,1.25869,false
