physical_id,source_case,Re,group,source_kind,target_Lx,target_Lz,source_ubest,rebuilt_dns
re300_lx10_lz6_006,re300_lx10_lz6,300.0,C,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_006/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx10_lz6_006/ubest.nc
re300_lx10_lz6_013,re300_lx10_lz6,300.0,E,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_013/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx10_lz6_013/ubest.nc
re300_lx10_lz6_018,re300_lx10_lz6,300.0,E,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_018/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx10_lz6_018/ubest.nc
re300_lx10_lz6_021,re300_lx10_lz6,300.0,E,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_021/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx10_lz6_021/ubest.nc
re300_lx10_lz6_022,re300_lx10_lz6,300.0,E,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_022/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx10_lz6_022/ubest.nc
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,300.0,C,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx2pi_lzpi_001/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx2pi_lzpi_001/ubest.nc
re300_lx2pi_lzpi_002,re300_lx2pi_lzpi,300.0,D,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx2pi_lzpi_002/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx2pi_lzpi_002/ubest.nc
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,300.0,E,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx2pi_lzpi_003/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx2pi_lzpi_003/ubest.nc
re300_lx2pi_lzpi_008,re300_lx2pi_lzpi,300.0,B,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx2pi_lzpi_008/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx2pi_lzpi_008/ubest.nc
re300_lx2pi_lzpi_010,re300_lx2pi_lzpi,300.0,D,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx2pi_lzpi_010/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx2pi_lzpi_010/ubest.nc
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,300.0,A,continued_to_target,5.511566576198634,2.5132741228718345,/home/ebenq/dev/MyCloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx2pi_lzpi_012/to_ghc/02_lz/Target/ubest.nc,equilibria/re300_lx2pi_lzpi_012/ubest.nc
