physical_id,case,group,direction,step,Re,input
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,1,300.02,2.5082955
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,2,300.0,2.5082208
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,3,299.98,2.5081461
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,4,295.30319,2.496375
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,5,292.80304,2.5199072
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,6,292.0388,2.5491037
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,7,292.34834,2.5358777
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,8,292.80765,2.5197615
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,9,293.81419,2.5009017
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,10,295.30235,2.496375
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,11,297.95043,2.5012591
re300_lx10_lz6_025,re300_lx10_lz6,C,minus,12,300.72447,2.5109891
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,1,299.98,2.5081461
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,2,300.0,2.5082208
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,3,300.02,2.5082955
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,4,308.85124,2.5464131
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,5,315.60435,2.5772588
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,6,323.23186,2.6109141
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,7,332.91084,2.6506388
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,8,342.74889,2.6873701
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,9,352.75301,2.721246
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,10,362.90593,2.7526027
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,11,374.58981,2.7858541
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,12,386.38698,2.8176168
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,13,398.24875,2.8490177
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,14,412.61149,2.8876855
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,15,426.94966,2.9280201
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,16,441.22605,2.970364
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,17,455.42155,3.0136715
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,18,471.33929,3.0610403
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,19,487.30501,3.1052635
re300_lx10_lz6_025,re300_lx10_lz6,C,plus,20,500.15458,3.134991
