physical_id,case,group,direction,step,Re,input
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,1,300.02,2.8095306
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,2,300.0,2.8094683
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,3,299.98,2.809406
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,4,271.87292,2.7139435
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,5,258.18333,2.6598716
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,6,244.67806,2.5998403
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,7,231.44268,2.5330425
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,8,220.57097,2.4710229
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,9,210.00602,2.4032646
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,10,201.11127,2.3392306
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,11,192.55443,2.2700117
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,12,185.65335,2.2070438
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,13,179.8276,2.1469903
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,14,174.36134,2.0819752
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,15,170.28513,2.0242553
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,16,167.18195,1.9697579
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,17,164.93521,1.9157891
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,18,163.58008,1.8522407
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,19,163.53109,1.8450677
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,20,163.51419,1.8411138
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,21,163.50443,1.8370143
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,22,163.5086,1.8290865
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,23,163.60805,1.8136555
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,24,164.16913,1.7841043
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,25,165.70769,1.7465313
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,26,168.47068,1.7081543
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,27,172.29641,1.6735717
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,28,176.35745,1.6469648
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,29,180.89614,1.6238412
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,30,185.74623,1.6039323
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,31,190.79711,1.5867601
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,32,195.97841,1.5718525
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,33,202.28603,1.5564365
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,34,208.67685,1.5431257
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,35,216.32751,1.5295026
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,36,224.03104,1.5177418
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,37,233.25859,1.5056379
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,38,242.52022,1.4951774
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,39,253.59912,1.4843814
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,40,264.70014,1.4750283
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,41,277.97178,1.4653404
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,42,291.2579,1.4569197
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,43,307.15138,1.4481572
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,44,323.05446,1.4405163
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,45,342.11468,1.4325249
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,46,361.1814,1.4255399
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,minus,47,384.10892,1.4181961
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,1,299.98,2.809406
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,2,300.0,2.8094683
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,3,300.02,2.8095306
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,4,328.70302,2.8930302
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,5,346.01461,2.938827
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,6,363.42612,2.9817111
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,7,380.92357,3.021297
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,8,398.50967,3.0569599
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,9,416.19132,3.0879493
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,10,431.89453,3.1109574
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,11,445.71633,3.1279313
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,12,459.58412,3.1431465
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,13,473.4756,3.1587122
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,14,487.36303,3.1763759
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,plus,15,501.2222,3.1966819
