literature_label,citation_key,literature_object_id,literature_root_label,literature_Re,literature_norm,literature_D,literature_H,literature_unstable_dim,rank,geometry_evidence,confidence,confidence_reason,physical_id,case,catalog_source,groups,catalog_L2,catalog_D_total,catalog_n_unstable,norm_gap,D_gap,unstable_gap,score,existing_literature
GHC2008 EQ1 Re400,GHC2008,EQ1,,400,0.2091,1.4290,S,1,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_004,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,"E,G",0.209125,1.429258,1,2.5e-05,0.000258,0,0.000283,"GHC, 2008, EQ1"
GHC2008 EQ3 Re400,GHC2008,EQ3,,400,0.1259,1.3180,S,4,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_003,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,"E,G",0.12589,1.317713,4,1e-05,0.000287,0,0.000297,"GHC, 2008, EQ3"
GHC2008 EQ4 Re400,GHC2008,EQ4,,400,0.1681,1.4540,S,6,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_005,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,E,0.168118,1.453688,4,1.8e-05,0.000312,2,0.00433,"GHC, 2008, EQ4"
GHC2008 EQ5 Re400,GHC2008,EQ5,,400,0.2186,2.0200,S,11,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_006,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,E,0.218634,2.01997,9,3.4e-05,3e-05,2,0.004064,"GHC, 2008, EQ5"
GHC2008 EQ7 Re400,GHC2008,EQ7,,400,0.0935,1.2520,"S x {e,tau_xu}",3,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_002,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,"A,B,C,D,E,F,G",0.0935552,1.252105,2,5.52e-05,0.000105,1,0.0021602,"GHC, 2008, EQ7; Sharma, 2020, Pi_2(EQ5) EQ7"
Sharma2020 Pi_3(EQ4) EQ3 Re400,Sharma2020,EQ3,Pi_3(EQ4),400,0.1259,1.3177,Sigma,4,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_003,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,"E,G",0.12589,1.317713,4,1e-05,1.3e-05,0,2.3e-05,"GHC, 2008, EQ3"
Sharma2020 EQ4 Re400,Sharma2020,EQ4,,400,0.1681,1.4537,Sigma,6,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_005,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,E,0.168118,1.453688,4,1.8e-05,1.2e-05,2,0.00403,"GHC, 2008, EQ4"
Sharma2020 Pi_1(EQ2) EQ1 Re400,Sharma2020,EQ1,Pi_1(EQ2),400,0.2091,1.4293,Sigma,1,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_004,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,"E,G",0.209125,1.429258,1,2.5e-05,4.2e-05,0,6.7e-05,"GHC, 2008, EQ1"
Sharma2020 EQ5 Re400,Sharma2020,EQ5,,400,0.2186,2.0201,Sigma,11,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_006,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,E,0.218634,2.01997,9,3.4e-05,0.00013,2,0.004164,"GHC, 2008, EQ5"
Sharma2020 Pi_2(EQ5) EQ7 Re400,Sharma2020,EQ7,Pi_2(EQ5),400,0.0936,1.2523,Theta,3,1,same_ghc_box,curated,Already present in literature_mappings.csv.,ghc_re400_alpha1p14_gamma2p5_low_shear_002,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,"A,B,C,D,E,F,G",0.0935552,1.252105,2,4.48e-05,0.000195,1,0.0022398,"GHC, 2008, EQ7; Sharma, 2020, Pi_2(EQ5) EQ7"
