literature_label,citation_key,literature_object_id,literature_root_label,literature_Re,literature_norm,literature_D,literature_H,literature_unstable_dim,rank,geometry_evidence,confidence,confidence_reason,physical_id,case,catalog_source,groups,catalog_L2,catalog_D_total,catalog_n_unstable,norm_gap,D_gap,unstable_gap,score,existing_literature
GHC2008 EQ0 Re400,GHC2008,EQ0,,400,0.0000,1.0000,Gamma,0,1,cross_geometry,laminar,Laminar/trivial rows are useful sanity checks but not branch evidence.,re400_lx10_lz6_001,re400_lx10_lz6,eqb_catalog,"A,C,E,G",3.4691e-14,1.0,0,3.4691e-14,0,0,3.4691e-14,
GHC2008 EQ0 Re400,GHC2008,EQ0,,400,0.0000,1.0000,Gamma,0,2,cross_geometry,laminar,Laminar/trivial rows are useful sanity checks but not branch evidence.,hkw_re400_alpha1p14_gamma1p67_low_shear_001,hkw_re400_alpha1p14_gamma1p67_low_shear,stress:minimal_low_shear,"A,E,G",1.42951e-13,1.0,0,1.42951e-13,0,0,1.42951e-13,
GHC2008 EQ0 Re400,GHC2008,EQ0,,400,0.0000,1.0000,Gamma,0,3,cross_geometry,laminar,Laminar/trivial rows are useful sanity checks but not branch evidence.,re400_lx2pi_lzpi_001,re400_lx2pi_lzpi,eqb_catalog,"A,B,C,G",4.53974e-13,1.0,0,4.53974e-13,0,0,4.53974e-13,
GHC2008 EQ0 Re400,GHC2008,EQ0,,400,0.0000,1.0000,Gamma,0,4,same_ghc_box,laminar,Laminar/trivial rows are useful sanity checks but not branch evidence.,ghc_re400_alpha1p14_gamma2p5_low_shear_001,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,"C,G",7.22402e-13,1.0,0,7.22402e-13,0,0,7.22402e-13,
GHC2008 EQ7 Re400,GHC2008,EQ7,,400,0.0935,1.2520,"S x {e,tau_xu}",3,2,cross_geometry,weak_cross_geometry,Only scalar fingerprints match; geometry differs.,re400_lx10_lz6_008,re400_lx10_lz6,eqb_catalog,"A,B,C",0.0987623,1.261529,7,0.0052623,0.009529,4,0.0227913,
GHC2008 EQ9 Re400,GHC2008,EQ9,,400,0.1565,1.4040,"{e,sigma_xu}",5,1,cross_geometry,weak_cross_geometry,Only scalar fingerprints match; geometry differs.,re400_lx10_lz6_012,re400_lx10_lz6,eqb_catalog,"A,B,C,E",0.157738,1.419658,11,0.001238,0.015658,6,0.028896,
Sharma2020 EQ0 Re400,Sharma2020,EQ0,,400,0.0000,1.0000,Gamma,0,1,cross_geometry,laminar,Laminar/trivial rows are useful sanity checks but not branch evidence.,re400_lx10_lz6_001,re400_lx10_lz6,eqb_catalog,"A,C,E,G",3.4691e-14,1.0,0,3.4691e-14,0,0,3.4691e-14,
Sharma2020 EQ0 Re400,Sharma2020,EQ0,,400,0.0000,1.0000,Gamma,0,2,cross_geometry,laminar,Laminar/trivial rows are useful sanity checks but not branch evidence.,hkw_re400_alpha1p14_gamma1p67_low_shear_001,hkw_re400_alpha1p14_gamma1p67_low_shear,stress:minimal_low_shear,"A,E,G",1.42951e-13,1.0,0,1.42951e-13,0,0,1.42951e-13,
Sharma2020 EQ0 Re400,Sharma2020,EQ0,,400,0.0000,1.0000,Gamma,0,3,cross_geometry,laminar,Laminar/trivial rows are useful sanity checks but not branch evidence.,re400_lx2pi_lzpi_001,re400_lx2pi_lzpi,eqb_catalog,"A,B,C,G",4.53974e-13,1.0,0,4.53974e-13,0,0,4.53974e-13,
Sharma2020 EQ0 Re400,Sharma2020,EQ0,,400,0.0000,1.0000,Gamma,0,4,same_ghc_box,laminar,Laminar/trivial rows are useful sanity checks but not branch evidence.,ghc_re400_alpha1p14_gamma2p5_low_shear_001,ghc_re400_alpha1p14_gamma2p5_low_shear,stress:minimal_low_shear,"C,G",7.22402e-13,1.0,0,7.22402e-13,0,0,7.22402e-13,
Sharma2020 Pi_2(EQ5) EQ7 Re400,Sharma2020,EQ7,Pi_2(EQ5),400,0.0936,1.2523,Theta,3,2,cross_geometry,weak_cross_geometry,Only scalar fingerprints match; geometry differs.,re400_lx10_lz6_008,re400_lx10_lz6,eqb_catalog,"A,B,C",0.0987623,1.261529,7,0.0051623,0.009229,4,0.0223913,
Sharma2020 Pi_7(EQ4) EQ9 Re400,Sharma2020,EQ9,Pi_7(EQ4),400,0.1565,1.4048,Theta6,5,1,cross_geometry,weak_cross_geometry,Only scalar fingerprints match; geometry differs.,re400_lx10_lz6_012,re400_lx10_lz6,eqb_catalog,"A,B,C,E",0.157738,1.419658,11,0.001238,0.014858,6,0.028096,
