Lx,Lz
5.0,2.0
5.0,2.3333
5.0,2.6667
5.0,3.0
5.0,3.3333
5.0,3.6667
5.0,4.0
5.0,4.3333
5.0,4.6667
5.0,5.0
5.0,5.3333
5.0,5.6667
5.0,6.0
5.0,6.3333
5.0,6.6667
5.0,7.0
5.0,7.3333
5.0,7.6667
5.0,8.0
5.0,8.3333
5.0,8.6667
5.0,9.0
5.0,9.3333
5.0,9.6667
5.0,10.0
5.4167,2.0
5.4167,2.3333
5.4167,2.6667
5.4167,3.0
5.4167,3.3333
5.4167,3.6667
5.4167,4.0
5.4167,4.3333
5.4167,4.6667
5.4167,5.0
5.4167,5.3333
5.4167,5.6667
5.4167,6.0
5.4167,6.3333
5.4167,6.6667
5.4167,7.0
5.4167,7.3333
5.4167,7.6667
5.4167,8.0
5.4167,8.3333
5.4167,8.6667
5.4167,9.0
5.4167,9.3333
5.4167,9.6667
5.4167,10.0
5.8333,2.0
5.8333,2.3333
5.8333,2.6667
5.8333,3.0
5.8333,3.3333
5.8333,3.6667
5.8333,4.0
5.8333,4.3333
5.8333,4.6667
5.8333,5.0
5.8333,5.3333
5.8333,5.6667
5.8333,6.0
5.8333,6.3333
5.8333,6.6667
5.8333,7.0
5.8333,7.3333
5.8333,7.6667
5.8333,8.0
5.8333,8.3333
5.8333,8.6667
5.8333,9.0
5.8333,9.3333
5.8333,9.6667
5.8333,10.0
6.25,2.0
6.25,2.3333
6.25,2.6667
6.25,3.0
6.25,3.3333
6.25,3.6667
6.25,4.0
6.25,4.3333
6.25,4.6667
6.25,5.0
6.25,5.3333
6.25,5.6667
6.25,6.0
6.25,6.3333
6.25,6.6667
6.25,7.0
6.25,7.3333
6.25,7.6667
6.25,8.0
6.25,8.3333
6.25,8.6667
6.25,9.0
6.25,9.3333
6.25,9.6667
6.25,10.0
6.2832,3.1416
6.2832,3.927
6.2832,4.7124
6.2832,5.4978
6.2832,6.2832
6.6667,2.0
6.6667,2.3333
6.6667,2.6667
6.6667,3.0
6.6667,3.3333
6.6667,3.6667
6.6667,4.0
6.6667,4.3333
6.6667,4.6667
6.6667,5.0
6.6667,5.3333
6.6667,5.6667
6.6667,6.0
6.6667,6.3333
6.6667,6.6667
6.6667,7.0
6.6667,7.3333
6.6667,7.6667
6.6667,8.0
6.6667,8.3333
6.6667,8.6667
6.6667,9.0
6.6667,9.3333
6.6667,9.6667
6.6667,10.0
7.0833,2.0
7.0833,2.3333
7.0833,2.6667
7.0833,3.0
7.0833,3.3333
7.0833,3.6667
7.0833,4.0
7.0833,4.3333
7.0833,4.6667
7.0833,5.0
7.0833,5.3333
7.0833,5.6667
7.0833,6.0
7.0833,6.3333
7.0833,6.6667
7.0833,7.0
7.0833,7.3333
7.0833,7.6667
7.0833,8.0
7.0833,8.3333
7.0833,8.6667
7.0833,9.0
7.0833,9.3333
