Lx,Lz,id,min_Re
5.0,2.3333333333333335,1,235.9549160273685
5.0,2.3333333333333335,2,235.9549165521823
13.75,9.333333333333334,1,111.22607467116468
13.75,9.333333333333334,2,111.22607471735077
12.5,8.333333333333334,1,107.0873179033793
12.5,8.333333333333334,2,107.08731806210837
11.25,7.333333333333333,1,104.20948593662412
11.25,7.333333333333333,2,104.20948584808922
10.0,6.333333333333333,1,281.63474956844345
10.0,6.333333333333333,2,103.32910952446547
7.5,4.333333333333333,1,294.84398414659665
7.5,4.333333333333333,2,116.33933927201944
8.75,5.333333333333333,1,106.03854781218052
6.25,3.3333333333333335,1,145.65780324246197
5.0,2.6666666666666665,1,188.9351111351405
13.75,9.666666666666666,1,112.30665510055671
13.75,9.666666666666666,2,112.30665512403891
12.5,8.666666666666666,1,107.7066456546991
12.5,8.666666666666666,2,107.70664560157496
11.25,7.666666666666667,1,104.20776046853331
11.25,7.666666666666667,2,104.20776047528169
10.0,6.666666666666667,1,102.41583231817489
10.0,6.666666666666667,2,102.41583243547434
10.0,6.666666666666667,3,240.69576197937687
7.5,4.666666666666667,1,288.5042220622391
7.5,4.666666666666667,2,110.58848541361104
7.5,4.666666666666667,3,288.50422188217163
8.75,5.666666666666667,1,103.5702322142168
6.25,3.6666666666666665,1,131.2379877658335
6.25,3.6666666666666665,2,213.16613293459235
5.0,3.0,1,162.3580462254069
5.0,3.0,2,258.82936290897106
13.75,10.0,1,113.8046062101663
13.75,10.0,2,113.80460624437357
12.5,9.0,1,108.80703408019191
12.5,9.0,2,108.80703411381967
11.25,8.0,1,104.78283037342902
11.25,8.0,2,104.78283017306137
10.0,7.0,1,102.24671353986359
10.0,7.0,2,102.2467135998876
8.75,6.0,1,102.20754281994417
7.5,5.0,1,284.0514693606689
7.5,5.0,2,284.0514694116674
6.25,4.0,1,274.61831252798834
5.0,3.3333333333333335,1,212.8444554680947
5.0,3.3333333333333335,2,147.2806132090064
12.5,9.333333333333334,1,110.41485593536443
12.5,9.333333333333334,2,110.41485594920896
11.25,8.333333333333334,1,105.95631734947905
11.25,8.333333333333334,2,105.95631734970405
10.0,7.333333333333333,1,102.82395218310356
10.0,7.333333333333333,2,102.82395222610779
8.75,6.333333333333333,1,101.8799752716142
8.75,6.333333333333333,2,273.54465440195264
7.5,5.333333333333333,1,281.52268835880017
7.5,5.333333333333333,2,281.5226883869068
7.5,5.333333333333333,3,104.96546577090646
6.25,4.333333333333333,1,267.2760108204403
6.25,4.333333333333333,2,116.473258513753
6.25,4.333333333333333,3,267.2760107240313
5.0,3.6666666666666665,1,259.3089958606214
5.0,3.6666666666666665,2,140.15965010351576
12.5,9.666666666666666,1,112.57188550781777
12.5,9.666666666666666,2,112.57188567819719
11.25,8.666666666666666,1,107.77202550472856
11.25,8.666666666666666,2,107.77202542231839
10.0,7.666666666666667,1,104.1872010110966
10.0,7.666666666666667,2,104.1872007432039
7.5,5.666666666666667,1,280.82599971678525
7.5,5.666666666666667,2,104.63349115610741
7.5,5.666666666666667,3,280.8259996276029
7.5,5.666666666666667,4,104.63349115488066
7.5,5.666666666666667,5,213.94036847076873
8.75,6.666666666666667,1,102.59730080818883
8.75,6.666666666666667,2,290.02628431430566
8.75,6.666666666666667,3,102.59730080586898
6.25,4.666666666666667,1,260.56757735747175
6.25,4.666666666666667,2,262.11388848390317
6.25,4.666666666666667,3,262.1138884698441
5.0,4.0,1,250.70764733403976
12.5,10.0,1,115.33830497330226
12.5,10.0,2,115.33830491913369
11.25,9.0,1,110.2997061207487
11.25,9.0,2,110.29970639403008
10.0,8.0,1,106.41699948352732
10.0,8.0,2,106.41699936780701
8.75,7.0,1,104.44688660442459
7.5,6.0,1,281.87544480577566
7.5,6.0,2,105.98483732381186
7.5,6.0,3,281.8754448978783
