Lx,Lz,alpha,gamma,id,norm,shear,dissipation,residual
5.0,2.3333333333333335,1.2566370614359172,2.6927937030769655,1,0.29869086532785666,2.889739725386406,2.6405947962829988,8.780677967510192e-14
5.0,2.3333333333333335,1.2566370614359172,2.6927937030769655,2,0.10753952322374316,1.292586767809953,1.3375342308081535,1.4999075466777446e-8
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,1,0.2596296702802489,1.4240806455631247,1.5362574452006568,3.0294546646824626e-13
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,2,0.28165086504063314,1.6115343613072457,1.5373453592745865,1.7190485912287234e-10
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,1,0.25491190979412043,1.4400297015858459,1.5864946291102153,4.3118880646513114e-10
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,2,0.2826727659256086,1.6590229436862027,1.604658153399416,2.6614769436070053e-11
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,1,0.29656150884231686,1.7201951331089123,1.696459267130186,1.4228062322955991e-8
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,2,0.252141433179457,1.457006881837021,1.649867708626499,3.1742025359377596e-8
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,1,0.30441417500616225,1.821594705851568,1.7795981900990943,2.241445364332711e-8
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,2,0.25021912904820653,1.473690377437078,1.7275913157991463,5.276760544563914e-12
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,1,0.2549446741359444,1.260086008263728,1.271249128708627,3.192427275128824e-8
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,2,0.16721704109292107,1.221073797809777,1.4331387415355177,1.9652048704499284e-8
8.75,5.333333333333333,0.7180783208205241,1.1780972450961724,1,0.24216251698963479,1.465417953262908,1.781406895629381,8.979066396645317e-12
6.25,3.3333333333333335,1.0053096491487339,1.8849555921538759,1,0.104887799236832,1.1269705467056563,1.2194901578011232,2.9174185656644247e-9
5.0,2.6666666666666665,1.2566370614359172,2.356194490192345,1,0.10752576692646593,1.208268342820366,1.300668058783446,4.864066489687891e-13
13.75,9.666666666666666,0.4569589314312426,0.6499846869496124,1,0.27125629527126954,1.4543478220079877,1.5636486568280024,6.009470515255886e-10
13.75,9.666666666666666,0.4569589314312426,0.6499846869496124,2,0.2871463838639993,1.6176656220767667,1.5445776759160383,1.080989480833036e-9
12.5,8.666666666666666,0.5026548245743669,0.7249829200591831,1,0.2665106336173225,1.4750196051366586,1.617048543435606,1.6173279600914792e-12
