Lx,Lz,alpha,gamma,min_Re,count
5.5263,4.9474,1.13696059,1.26999743,137.76993746,3
6.0526,2.8421,1.03809690,2.21075448,180.20272032,1
12.3684,7.4737,0.50800308,0.84070612,107.20586798,3
15.0000,7.8947,0.41887902,0.79587385,114.79871618,4
12.3684,2.8421,0.50800308,2.21075448,288.92371429,2
8.6842,3.2632,0.72351919,1.92546743,173.49874172,1
13.4211,10.0000,0.46815725,0.62831853,112.79993415,5
14.4737,3.2632,0.43411051,1.92546743,255.24931520,2
8.1579,9.5789,0.77019641,0.65594017,165.86376517,4
11.8421,4.1053,0.53058033,1.53050576,155.43089360,3
15.0000,8.7368,0.41887902,0.71916323,111.55491045,6
10.7895,3.6842,0.58234258,1.70544088,167.28212347,1
6.5789,8.3158,0.95505104,0.75557196,180.98661552,7
13.9474,9.5789,0.45049151,0.65594017,110.24819722,5
6.5789,9.1579,0.95505104,0.68609455,222.31863059,2
10.2632,6.2105,0.61220529,1.01170362,104.69926920,2
6.0526,5.3684,1.03809690,1.17040185,128.94376794,2
11.8421,4.5263,0.53058033,1.38815043,139.76364001,4
6.0526,2.4211,1.03809690,2.59517794,238.75287758,2
12.3684,5.3684,0.50800308,1.17040185,124.49844547,3
6.5789,7.8947,0.95505104,0.79587385,163.60201661,4
5.5263,3.6842,1.13696059,1.70544088,132.38806916,4
11.8421,10.0000,0.53058033,0.62831853,118.32719636,5
10.7895,3.2632,0.58234258,1.92546743,201.32649071,2
7.1053,7.0526,0.88429557,0.89090340,219.83038462,1
6.5789,8.7368,0.95505104,0.71916323,200.95692748,2
11.3158,7.0526,0.55525772,0.89090340,104.85169045,4
12.8947,7.0526,0.48726882,0.89090340,110.77112214,2
15.0000,5.7895,0.41887902,1.08527253,134.97957821,3
12.3684,9.5789,0.50800308,0.65594017,112.15193574,6
15.0000,7.4737,0.41887902,0.84070612,117.57796102,3
5.5263,3.2632,1.13696059,1.92546743,147.33781844,1
8.6842,8.3158,0.72351919,0.75557196,123.77582510,7
8.6842,9.1579,0.72351919,0.68609455,139.52515292,9
14.4737,8.3158,0.43411051,0.75557196,111.26582061,5
13.4211,6.2105,0.46815725,1.01170362,119.77218063,3
14.4737,9.1579,0.43411051,0.68609455,110.04541506,5
9.7368,6.6316,0.64530290,0.94746144,102.05958530,3
7.6316,6.6316,0.82331167,0.94746144,111.72584284,3
9.7368,4.9474,0.64530290,1.26999743,115.38346051,3
7.6316,4.9474,0.82331167,1.26999743,107.43813930,4
8.6842,7.8947,0.72351919,0.79587385,117.87450646,8
9.2105,6.6316,0.68217635,0.94746144,101.80108637,3
5.0000,4.1053,1.25663706,1.53050576,142.62509539,4
9.2105,4.9474,0.68217635,1.26999743,112.60877532,3
14.4737,7.8947,0.43411051,0.79587385,112.97401525,8
6.5789,5.7895,0.95505104,1.08527253,119.25125561,2
8.6842,8.7368,0.72351919,0.71916323,130.80514147,9
15.0000,5.3684,0.41887902,1.17040185,142.64032479,3
5.0000,4.5263,1.25663706,1.38815043,151.20855931,2
6.5789,7.4737,0.95505104,0.84070612,149.45134817,2
10.2632,7.0526,0.61220529,0.89090340,102.52484871,4
14.4737,8.7368,0.43411051,0.71916323,110.30081252,8
6.5789,2.8421,0.95505104,2.21075448,186.54276300,1
11.8421,6.2105,0.53058033,1.01170362,111.38976622,4
10.7895,8.3158,0.58234258,0.75557196,106.38737568,7
10.7895,9.1579,0.58234258,0.68609455,114.36827956,7
9.7368,3.6842,0.64530290,1.70544088,156.17247309,1
7.6316,3.6842,0.82331167,1.70544088,137.29303037,4
10.7895,7.8947,0.58234258,0.79587385,104.35352802,7
15.0000,9.5789,0.41887902,0.65594017,111.07168045,4
9.2105,3.6842,0.68217635,1.70544088,150.93475368,2
6.5789,5.3684,0.95505104,1.17040185,112.29406417,4
8.1579,4.1053,0.77019641,1.53050576,125.29242612,3
6.5789,2.4211,0.95505104,2.59517794,250.10853510,2
8.6842,5.7895,0.72351919,1.08527253,102.85882412,3
10.7895,8.7368,0.58234258,0.71916323,109.64593395,8
13.9474,4.1053,0.45049151,1.53050576,175.94422319,1
14.4737,5.7895,0.43411051,1.08527253,131.52739805,3
5.5263,7.8947,1.13696059,0.79587385,214.24472228,2
8.1579,4.5263,0.77019641,1.38815043,114.99088816,3
8.6842,7.4737,0.72351919,0.84070612,110.11454381,4
9.7368,3.2632,0.64530290,1.92546743,186.97701713,2
7.6316,3.2632,0.82331167,1.92546743,161.39905405,2
8.6842,2.8421,0.72351919,2.21075448,219.59444174,2
14.4737,7.4737,0.43411051,0.84070612,115.47909956,4
13.4211,7.0526,0.46815725,0.89090340,113.12783787,3
13.9474,4.5263,0.45049151,1.38815043,157.46554704,3
9.2105,3.2632,0.68217635,1.92546743,180.10481460,1
7.1053,6.6316,0.88429557,0.94746144,125.39501074,2
8.1579,10.0000,0.77019641,0.62831853,182.74658657,5
