Lx,Lz,id,min_Re
13.75,9.333333333333334,1,111.22607468758757
12.5,8.333333333333334,1,107.0873179578596
11.25,7.333333333333333,1,104.20948582042381
10.0,6.333333333333333,1,103.32910954758476
7.5,4.333333333333333,1,116.33933930633498
7.5,4.333333333333333,2,116.33933935064267
8.75,5.333333333333333,1,106.03854783976148
6.25,3.3333333333333335,1,145.6578030027762
6.25,3.3333333333333335,2,145.65780299747988
13.75,9.666666666666666,1,112.30665519813903
12.5,8.666666666666666,1,107.70664565979048
12.5,8.666666666666666,2,107.70664564295376
11.25,7.666666666666667,1,104.20776053200443
10.0,6.666666666666667,1,102.41583248674954
10.0,6.666666666666667,2,102.41583245112678
8.75,5.666666666666667,1,103.57023218059518
7.5,4.666666666666667,1,110.58848539556405
6.25,3.6666666666666665,1,131.2379874481681
6.25,3.6666666666666665,2,131.23798758620123
13.75,10.0,1,113.80460622721253
12.5,9.0,1,108.80703416671902
5.0,2.3333333333333335,1,235.95491633069778
5.0,2.3333333333333335,2,235.95491661819457
11.25,8.0,1,104.78283042991028
10.0,7.0,1,102.24671371177251
8.75,6.0,1,102.20754276568057
8.75,6.0,2,102.2075428046485
7.5,5.0,1,106.91083884220073
7.5,5.0,2,106.91083875952225
12.5,9.333333333333334,1,110.41485596470044
6.25,4.0,1,121.97764473321152
6.25,4.0,2,121.97764511140859
11.25,8.333333333333334,1,105.9563174108554
10.0,7.333333333333333,1,102.82395236140216
5.0,2.6666666666666665,1,188.93511116234154
5.0,2.6666666666666665,2,188.93511142529852
8.75,6.333333333333333,1,101.87997544572151
12.5,9.666666666666666,1,112.57188567635477
7.5,5.333333333333333,1,104.96546580759455
11.25,8.666666666666666,1,107.77202538284602
6.25,4.333333333333333,1,116.47325859774426
6.25,4.333333333333333,2,116.4732584240591
10.0,7.666666666666667,1,104.18720098708813
12.5,10.0,1,115.33830492052955
8.75,6.666666666666667,1,102.59730079248989
5.0,3.0,1,162.35804622846265
5.0,3.0,2,162.35804617409133
11.25,9.0,1,110.29970630398141
7.5,5.666666666666667,1,104.63349114067914
10.0,8.0,1,106.41699949187299
6.25,4.666666666666667,1,114.09986185913554
6.25,4.666666666666667,2,114.09986177984507
8.75,7.0,1,104.44688649572704
11.25,9.333333333333334,1,113.64078692202378
10.0,8.333333333333334,1,109.64252513063377
10.0,8.333333333333334,2,109.642525040611
7.5,6.0,1,105.98483744994537
5.0,3.3333333333333335,1,147.28061348900206
5.0,3.3333333333333335,2,147.28061327737947
6.25,5.0,1,114.83864788504994
6.25,5.0,2,114.83864796110254
8.75,7.333333333333333,1,107.60238122498926
11.25,9.666666666666666,1,117.93573085672773
10.0,8.666666666666666,1,114.05224998633174
14.166666666666666,3.0,1,292.1764100795154
14.166666666666666,3.0,2,292.17640995713384
7.5,6.333333333333333,1,109.28048770564392
7.5,6.333333333333333,2,109.28048783557476
5.0,3.6666666666666665,1,140.15965002001235
5.0,3.6666666666666665,2,140.1596500329261
6.25,5.333333333333333,1,119.24346150805945
6.25,5.333333333333333,2,119.24346148024242
11.25,10.0,1,123.37170129188364
8.75,7.666666666666667,1,112.33731154614495
8.75,7.666666666666667,2,112.33731179851318
10.0,9.0,1,119.90297743557551
14.166666666666666,3.3333333333333335,1,241.634458293642
14.166666666666666,3.3333333333333335,2,241.6344577304537
7.5,6.666666666666667,1,114.97268066098943
8.75,8.0,1,119.02389532181978
6.25,5.666666666666667,1,128.15336983459738
6.25,5.666666666666667,2,128.15336962852976
10.0,9.333333333333334,1,127.51387175899275
5.0,4.0,1,140.59685522450178
5.0,4.0,2,140.5968550052078
7.5,7.0,1,123.57998847487889
14.166666666666666,3.6666666666666665,1,207.70949205097307
14.166666666666666,3.6666666666666665,2,207.7094923120705
8.75,8.333333333333334,1,128.0646918351414
8.75,8.333333333333334,2,128.064691684271
10.0,9.666666666666666,1,137.21625608050743
6.25,6.0,1,141.19657272781444
6.25,6.0,2,141.1965729371388
12.916666666666666,3.0,1,269.93733970296665
12.916666666666666,3.0,2,269.9373393749019
5.0,4.333333333333333,1,150.8108074062704
5.0,4.333333333333333,2,150.81080672479527
7.5,7.333333333333333,1,135.24553396829586
7.5,7.333333333333333,2,135.24553371559978
8.75,8.666666666666666,1,139.69235589312277
14.166666666666666,4.0,1,184.10035124244664
14.166666666666666,4.0,2,184.10035119401172
10.0,10.0,1,149.23199585337468
6.25,6.333333333333333,1,156.17190208268667
6.25,6.333333333333333,2,156.17190199740338
12.916666666666666,3.3333333333333335,1,223.75068216832298
12.916666666666666,3.3333333333333335,2,223.75068224342925
7.5,7.666666666666667,1,149.36478372368987
7.5,7.666666666666667,2,149.3647843917696
5.0,4.666666666666667,1,170.0521574107148
8.75,9.0,1,153.75695938150915
14.166666666666666,4.333333333333333,1,167.10851464949593
6.25,6.666666666666667,1,172.2621107754975
7.5,8.0,1,165.23881786489758
7.5,8.0,2,165.23881800263945
12.916666666666666,3.6666666666666665,1,192.7433484779251
12.916666666666666,3.6666666666666665,2,192.74334876410387
8.75,9.333333333333334,1,169.8776328596862
8.75,9.333333333333334,2,169.87763277234845
5.0,5.0,1,191.82557234068128
5.0,5.0,2,191.82557263704544
14.166666666666666,4.666666666666667,1,154.50056110765962
14.166666666666666,4.666666666666667,2,154.5005611318317
6.25,7.0,1,191.54584584520236
11.666666666666666,3.0,1,248.14315917565676
11.666666666666666,3.0,2,248.14315873325734
7.5,8.333333333333334,1,183.0008705057312
7.5,8.333333333333334,2,183.00086991983338
8.75,9.666666666666666,1,187.9269253757271
12.916666666666666,4.0,1,171.1744736304687
12.916666666666666,4.0,2,171.17447349092475
14.166666666666666,5.0,1,144.88928259428766
14.166666666666666,5.0,2,144.889282525893
5.0,5.333333333333333,1,222.59999253794732
5.0,5.333333333333333,2,222.5999915403784
6.25,7.333333333333333,1,226.27105797762107
8.75,10.0,1,208.44889628726878
8.75,10.0,2,208.44889624988605
7.5,8.666666666666666,1,204.19092397818181
7.5,8.666666666666666,2,204.19092365283154
11.666666666666666,3.3333333333333335,1,206.31044231358746
11.666666666666666,3.3333333333333335,2,206.3104421867825
12.916666666666666,4.333333333333333,1,155.67171318949883
12.916666666666666,4.333333333333333,2,155.67171281124195
14.166666666666666,5.333333333333333,1,137.3909012093368
10.416666666666666,2.6666666666666665,1,285.0329904639398
10.416666666666666,2.6666666666666665,2,285.0329908578891
5.0,5.666666666666667,1,252.45363704838897
5.0,5.666666666666667,2,252.45363704079796
7.5,9.0,1,237.00803785951044
7.5,9.0,2,237.0080385031554
6.25,7.666666666666667,1,258.536756124211
6.25,7.666666666666667,2,258.53675623066937
11.666666666666666,3.6666666666666665,1,178.22274858156402
11.666666666666666,3.6666666666666665,2,178.2227485487765
12.916666666666666,4.666666666666667,1,144.19696756818755
12.916666666666666,4.666666666666667,2,144.19696798923277
14.166666666666666,5.666666666666667,1,131.43098587800696
7.5,9.333333333333334,1,287.9698088615969
7.5,9.333333333333334,2,287.9698089757279
5.0,6.0,1,268.2816541386774
6.25,8.0,1,274.53891212182083
6.25,8.0,2,274.5389119741853
10.416666666666666,3.0,1,226.979177065858
10.416666666666666,3.0,2,226.97917710721828
11.666666666666666,4.0,1,158.7002365505928
11.666666666666666,4.0,2,158.70023608218702
12.916666666666666,5.0,1,135.48454053854888
14.166666666666666,6.0,1,126.63059075108598
6.25,8.333333333333334,1,287.0485563900709
5.0,6.333333333333333,1,278.8563917205862
5.0,6.333333333333333,2,278.85639188394833
10.416666666666666,3.3333333333333335,1,189.50476306776616
10.416666666666666,3.3333333333333335,2,189.50476335736397
14.166666666666666,6.333333333333333,1,122.73671481082859
11.666666666666666,4.333333333333333,1,144.6976874179563
12.916666666666666,5.333333333333333,1,128.72927910690814
6.25,8.666666666666666,1,297.978260375364
5.0,6.666666666666667,1,287.24448797544767
5.0,6.666666666666667,2,287.24448844913246
10.416666666666666,3.6666666666666665,1,164.34630051305334
10.416666666666666,3.6666666666666665,2,164.34630074064972
14.166666666666666,6.666666666666667,1,119.57836372403762
9.166666666666666,2.6666666666666665,1,258.0381119876191
9.166666666666666,2.6666666666666665,2,258.03811206604365
12.916666666666666,5.666666666666667,1,123.40946142032428
11.666666666666666,4.666666666666667,1,134.37326382805475
5.0,7.0,1,294.62806575391556
5.0,7.0,2,294.6280654269065
14.166666666666666,7.0,1,117.03826421107671
10.416666666666666,4.0,1,146.8861502954291
10.416666666666666,4.0,2,146.88615002370173
12.916666666666666,6.0,1,119.18254455649337
11.666666666666666,5.0,1,126.58394281852617
9.166666666666666,3.0,1,206.75723348792533
9.166666666666666,3.0,2,206.7572334341536
14.166666666666666,7.333333333333333,1,115.03461684806605
10.416666666666666,4.333333333333333,1,134.40821848482886
10.416666666666666,4.333333333333333,2,134.40821853121298
12.916666666666666,6.333333333333333,1,115.82134972314354
11.666666666666666,5.333333333333333,1,120.6047224636061
9.166666666666666,3.3333333333333335,1,173.66174685884235
9.166666666666666,3.3333333333333335,2,173.66174691569196
14.166666666666666,7.666666666666667,1,113.50945378339262
12.916666666666666,6.666666666666667,1,113.17377275547481
10.416666666666666,4.666666666666667,1,125.26917548696919
10.416666666666666,4.666666666666667,2,125.2691752729476
11.666666666666666,5.666666666666667,1,115.96845973742676
14.166666666666666,8.0,1,112.42134421540868
9.166666666666666,3.6666666666666665,1,151.4626894938937
9.166666666666666,3.6666666666666665,2,151.4626895547833
7.916666666666667,2.6666666666666665,1,232.52604910033958
7.916666666666667,2.6666666666666665,2,232.52604901039345
12.916666666666666,7.0,1,111.13701811525165
10.416666666666666,5.0,1,118.4514594625909
11.666666666666666,6.0,1,112.37120911819598
14.166666666666666,8.333333333333334,1,111.74092221980456
9.166666666666666,4.0,1,136.10693792421765
9.166666666666666,4.0,2,136.10693757489793
7.916666666666667,3.0,1,188.05575857296918
7.916666666666667,3.0,2,188.0557586245185
12.916666666666666,7.333333333333333,1,109.6412007865787
10.416666666666666,5.333333333333333,1,113.31374691021087
11.666666666666666,6.333333333333333,1,109.61417272724444
14.166666666666666,8.666666666666666,1,111.44822839785122
9.166666666666666,4.333333333333333,1,125.21227454025676
9.166666666666666,4.333333333333333,2,125.21227447424603
12.916666666666666,7.666666666666667,1,108.63911019442985
7.916666666666667,3.3333333333333335,1,159.40946708009267
7.916666666666667,3.3333333333333335,2,159.40946718011813
11.666666666666666,6.666666666666667,1,107.56725300175518
10.416666666666666,5.666666666666667,1,109.44782002803527
14.166666666666666,9.0,1,111.53123275762213
6.666666666666667,2.3333333333333335,1,272.04313369526494
6.666666666666667,2.3333333333333335,2,272.0431339043156
12.916666666666666,8.0,1,108.10001844931028
9.166666666666666,4.666666666666667,1,117.33988191673562
14.166666666666666,9.333333333333334,1,111.98512310754577
7.916666666666667,3.6666666666666665,1,140.2627946433744
7.916666666666667,3.6666666666666665,2,140.26279447087913
11.666666666666666,7.0,1,106.14611425095637
10.416666666666666,6.0,1,106.59362192568877
6.666666666666667,2.6666666666666665,1,209.6208518147893
6.666666666666667,2.6666666666666665,2,209.62085214294115
12.916666666666666,8.333333333333334,1,108.00613461789868
14.166666666666666,9.666666666666666,1,112.81215915765875
9.166666666666666,5.0,1,111.60532968200494
11.666666666666666,7.333333333333333,1,105.29804272168818
7.916666666666667,4.0,1,127.1334497792055
7.916666666666667,4.0,2,127.13344994669976
10.416666666666666,6.333333333333333,1,104.58738383146283
12.916666666666666,8.666666666666666,1,108.35080850591186
14.166666666666666,10.0,1,114.02196008509894
6.666666666666667,3.0,1,172.12070827307303
6.666666666666667,3.0,2,172.12070809624188
9.166666666666666,5.333333333333333,1,107.4608236397478
11.666666666666666,7.666666666666667,1,104.99362580214512
10.416666666666666,6.666666666666667,1,103.32976036697603
7.916666666666667,4.333333333333333,1,117.9873684691083
12.916666666666666,9.0,1,109.13794521555508
11.666666666666666,8.0,1,105.22233099868707
9.166666666666666,5.666666666666667,1,104.56973849799994
6.666666666666667,3.3333333333333335,1,148.17427261522158
6.666666666666667,3.3333333333333335,2,148.17427265601543
10.416666666666666,7.0,1,102.76681420187191
12.916666666666666,9.333333333333334,1,110.38234046145224
7.916666666666667,4.666666666666667,1,111.61059362721964
7.916666666666667,4.666666666666667,2,111.61059358262602
11.666666666666666,8.333333333333334,1,105.99077463817238
12.916666666666666,9.666666666666666,1,112.11081085632814
9.166666666666666,6.0,1,102.73265633055307
10.416666666666666,7.333333333333333,1,102.87961174381367
6.666666666666667,3.6666666666666665,1,132.4115230934607
6.666666666666667,3.6666666666666665,2,132.411523133006
7.916666666666667,5.0,1,107.2797710934702
11.666666666666666,8.666666666666666,1,107.3229977923823
12.916666666666666,10.0,1,114.36410236729165
