            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0960335      0.132504     0.0126159     0.0269894     0.0504686   0.000887587             0             0      0.203576      0.101788     -0.101788      0.187057
     0.0988353      0.136194     0.0135262     0.0283717     0.0544868   0.000987913   4.39915e-11   5.11431e-15       0.19461     0.0973048    -0.0973048      0.200293
      0.107583      0.148205     0.0152346     0.0308481     0.0600971     0.0011837    2.6583e-11             0      0.228356      0.114178     -0.114178      0.232509
      0.116178      0.160012     0.0169867     0.0331995     0.0651226    0.00139075   1.29429e-11   4.12797e-14      0.264244      0.132122     -0.132122      0.267507
      0.124585      0.171539     0.0188168     0.0355359     0.0696404    0.00161687    1.6386e-11   2.40863e-14      0.300663      0.150331     -0.150331      0.303228
      0.132935      0.182975     0.0207613      0.037846     0.0736912    0.00186335  -2.65987e-11  -5.36455e-14      0.337896      0.168948     -0.168948      0.340097
      0.124545      0.171498     0.0187622     0.0354898     0.0695881    0.00161155    6.8061e-12  -1.27212e-14      0.300263      0.150131     -0.150131      0.302954
      0.128728      0.177226     0.0197681     0.0366321     0.0715013    0.00173269   -3.8409e-11  -5.36953e-15       0.31906       0.15953      -0.15953      0.320554
      0.132981      0.183054     0.0207533     0.0377984      0.073489    0.00185942  -3.92108e-11  -1.19126e-14      0.337965      0.168983     -0.168983      0.339406
      0.137243      0.188888     0.0217734     0.0389724     0.0754067    0.00199293  -1.51846e-11  -4.65813e-14      0.357198      0.178599     -0.178599      0.358624
      0.132994      0.183077     0.0207585      0.037772     0.0734356    0.00185764  -1.27876e-11  -4.09801e-14      0.337975      0.168987     -0.168987      0.339458
      0.135189      0.186078     0.0212844     0.0383932     0.0744437    0.00192706  -1.17488e-11  -3.44162e-14      0.348039      0.174019     -0.174019       0.34913
      0.132954      0.183018     0.0207672     0.0377681     0.0733935    0.00185771  -1.60844e-11  -4.92111e-14       0.33812       0.16906      -0.16906       0.33908
      0.133993       0.18444     0.0210144     0.0380609     0.0738773    0.00189024   -1.6546e-11  -5.31574e-14      0.342827      0.171414     -0.171414       0.34369
      0.135037      0.185868     0.0212626     0.0383526     0.0743571    0.00192302   -2.1348e-11  -5.72011e-14      0.347521      0.173761     -0.173761      0.348369
      0.133986       0.18443     0.0210166      0.038058     0.0738657    0.00189011   -2.3175e-11  -5.16273e-14      0.342806      0.171403     -0.171403      0.343648
      0.134319      0.184886     0.0210951     0.0381513     0.0740203    0.00190053  -2.46832e-11  -5.56555e-14      0.344308      0.172154     -0.172154      0.345133
      0.133163        0.1833     0.0208324     0.0378414     0.0734916    0.00186596   -1.9457e-11  -3.60713e-14      0.339348      0.169674     -0.169674      0.340145
      0.134288      0.184839     0.0210967     0.0381596     0.0740195    0.00190123  -1.25947e-11  -2.80014e-14       0.34439      0.172195     -0.172195      0.345225
      0.135502      0.186499     0.0213887     0.0385009     0.0745762    0.00193979  -1.84361e-11  -2.94477e-14      0.349881       0.17494      -0.17494      0.350711
      0.134284      0.184833     0.0211008     0.0381593     0.0740105    0.00190138  -1.64564e-11  -2.16953e-14      0.344392      0.172196     -0.172196      0.345224
