            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0960335      0.132504     0.0126159     0.0269894     0.0504686   0.000887587             0             0      0.203576      0.101788     -0.101788      0.187057
     0.0988353      0.136194     0.0135262     0.0283717     0.0544868   0.000987913  -1.84228e-11   3.03267e-14       0.19461     0.0973048    -0.0973048      0.200293
      0.107583      0.148205     0.0152346     0.0308481     0.0600971     0.0011837   8.80555e-12  -3.71724e-14      0.228356      0.114178     -0.114178      0.232509
      0.116178      0.160012     0.0169867     0.0331995     0.0651226    0.00139075  -3.24173e-12   7.47837e-15      0.264244      0.132122     -0.132122      0.267507
      0.124585      0.171539     0.0188168     0.0355359     0.0696404    0.00161687  -1.99614e-12   4.04448e-14      0.300663      0.150331     -0.150331      0.303227
      0.132938       0.18298     0.0207611     0.0378479     0.0736919    0.00186349   1.76875e-11  -5.12016e-14      0.337865      0.168933     -0.168933      0.340114
      0.124471      0.171392     0.0187948     0.0354661     0.0695276    0.00161109   5.55649e-11  -7.58406e-14      0.300633      0.150317     -0.150317      0.303045
      0.133045      0.183141     0.0207553     0.0378207     0.0736606    0.00186119   3.72099e-11   2.13788e-14      0.337717      0.168859     -0.168859      0.340783
      0.141491      0.194701     0.0227664     0.0401603      0.077415    0.00213116  -8.40649e-12   3.18187e-14      0.375902      0.187951     -0.187951       0.37906
       0.13697      0.188514     0.0217095     0.0388978     0.0753077    0.00198434   1.33713e-11   6.54669e-15      0.356194      0.178097     -0.178097      0.357683
      0.132602      0.182534     0.0206811     0.0376847     0.0732942    0.00184784  -5.42805e-12  -2.70806e-14      0.336638      0.168319     -0.168319      0.338012
      0.134848      0.185606      0.021221     0.0383196       0.07432    0.00191872  -2.69439e-13  -3.02154e-14      0.346931      0.173466     -0.173466      0.347894
      0.132645       0.18259      0.020705     0.0377033     0.0732759    0.00185024  -1.09243e-11  -7.11175e-15      0.337026      0.168513     -0.168513      0.337973
      0.133478       0.18373     0.0209007     0.0379374     0.0736638    0.00187608  -1.18856e-11  -6.54545e-15      0.340833      0.170417     -0.170417      0.341633
      0.134315      0.184876      0.021098     0.0381712     0.0740509    0.00190216  -1.43235e-11  -5.47473e-15      0.344609      0.172305     -0.172305      0.345369
      0.135154      0.186023     0.0212986     0.0384062     0.0744361    0.00192867  -1.65604e-11  -7.92366e-15      0.348413      0.174207     -0.174207      0.349149
      0.134333      0.184899     0.0211049      0.038176     0.0740535    0.00190283   -1.4329e-11  -6.70256e-15      0.344708      0.172354     -0.172354      0.345447
      0.134621      0.185294     0.0211737     0.0382572     0.0741872    0.00191194  -1.28674e-11  -7.50485e-15      0.346024      0.173012     -0.173012      0.346743
      0.134343      0.184913     0.0211083     0.0381797     0.0740582    0.00190325   -1.3092e-11  -5.79051e-15      0.344782      0.172391     -0.172391       0.34549
      0.134072      0.184542     0.0210443     0.0381039      0.073932    0.00189477   -1.3137e-11  -7.21286e-15      0.343568      0.171784     -0.171784      0.344269
      0.134361      0.184938     0.0211125     0.0381849     0.0740673    0.00190383  -1.24686e-11  -6.44887e-15      0.344875      0.172438     -0.172438      0.345572
