            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0960335      0.132504     0.0126159     0.0269894     0.0504686   0.000887587             0             0      0.203576      0.101788     -0.101788      0.187057
     0.0988353      0.136194     0.0135262     0.0283717     0.0544868   0.000987913  -9.54013e-12   1.47339e-14       0.19461     0.0973048    -0.0973048      0.200293
      0.107583      0.148205     0.0152346     0.0308481     0.0600971     0.0011837  -1.68382e-11   5.22542e-15      0.228356      0.114178     -0.114178      0.232509
      0.116178      0.160012     0.0169867     0.0331995     0.0651226    0.00139075  -1.71652e-11  -4.59318e-14      0.264244      0.132122     -0.132122      0.267507
      0.124585      0.171539     0.0188168     0.0355359     0.0696404    0.00161687   8.60158e-12  -3.07261e-14      0.300663      0.150331     -0.150331      0.303227
      0.132939      0.182982      0.020758     0.0378488     0.0736921    0.00186343   4.07415e-11  -3.73657e-14      0.337902      0.168951     -0.168951       0.34007
      0.128794      0.177309     0.0197749     0.0366902     0.0716027    0.00173722   3.72041e-11  -4.69613e-14      0.319817      0.159908     -0.159908      0.320793
       0.13291      0.182952     0.0207494     0.0377941     0.0734725    0.00185893   7.84392e-12  -7.04697e-15      0.337928      0.168964     -0.168964      0.339165
      0.137004      0.188557     0.0217249     0.0389182     0.0753054    0.00198659  -9.58152e-12   -1.9582e-14       0.35626       0.17813      -0.17813      0.357628
      0.132934       0.18299     0.0207583     0.0377707      0.073414    0.00185753  -1.99087e-11   2.00387e-14      0.337924      0.168962     -0.168962      0.339265
      0.134777      0.185511     0.0211965     0.0382903     0.0742517    0.00191544  -9.34283e-12   2.53792e-14        0.3463       0.17315      -0.17315      0.347363
      0.132909      0.182954     0.0207635     0.0377691     0.0733663    0.00185763  -1.64392e-11   1.94761e-14      0.337975      0.168988     -0.168988      0.338998
      0.134766      0.185495     0.0212021     0.0382901     0.0742353    0.00191566  -1.53792e-11   2.97935e-14      0.346348      0.173174     -0.173174      0.347355
      0.132903      0.182945     0.0207644      0.037769      0.073363    0.00185766  -2.05883e-11   1.81695e-14      0.337989      0.168995     -0.168995      0.339002
      0.134763       0.18549     0.0212014     0.0382895     0.0742354    0.00191559  -2.45565e-11   -3.3609e-15       0.34635      0.173175     -0.173175      0.347359
      0.132895      0.182933     0.0207647      0.037769     0.0733647    0.00185767  -3.02316e-11  -1.10266e-14      0.338024      0.169012     -0.169012      0.338989
      0.134755      0.185478     0.0212013     0.0382895     0.0742374    0.00191558   -3.3125e-11  -1.54815e-14      0.346379      0.173189     -0.173189      0.347347
      0.133757      0.184113     0.0209696     0.0380118     0.0737676    0.00188462  -2.54449e-11   7.33429e-15      0.341947      0.170974     -0.170974      0.342833
      0.134743      0.185461     0.0212034     0.0382885     0.0742272    0.00191559  -2.38846e-11  -1.01888e-15      0.346419       0.17321      -0.17321      0.347267
      0.133751      0.184103     0.0209695     0.0380113     0.0737655    0.00188458  -2.13394e-11    1.8198e-15      0.341965      0.170983     -0.170983      0.342808
      0.134741      0.185459     0.0212027     0.0382882     0.0742273    0.00191554  -2.17818e-11  -2.58213e-15       0.34642       0.17321      -0.17321      0.347263
