            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0931811      0.128493     0.0122876      0.026535     0.0495125    0.00085509             0             0       0.19337     0.0966848    -0.0966848      0.177583
     0.0955941      0.131613     0.0132777     0.0278982     0.0537922   0.000954608  -1.45129e-12  -4.53735e-14      0.184833     0.0924166    -0.0924166      0.190329
      0.104186      0.143366     0.0150234     0.0304924     0.0595078    0.00115549   7.73578e-12  -7.23771e-15      0.217792      0.108896     -0.108896      0.221492
      0.112706      0.155045     0.0168028      0.032929     0.0645724    0.00136665   3.03312e-11  -4.53085e-14       0.25267      0.126335     -0.126335      0.255576
      0.121047      0.166451     0.0186688     0.0353618     0.0691267    0.00159898   2.75515e-12   1.42123e-14      0.287904      0.143952     -0.143952       0.29042
      0.129399      0.177864     0.0206362     0.0377719     0.0732388    0.00185257    6.5099e-11  -2.46504e-14      0.324065      0.162033     -0.162033      0.326441
      0.121042      0.166465     0.0186174     0.0352896      0.069034    0.00159196   1.34973e-11    7.0344e-14      0.287303      0.143651     -0.143651      0.290001
      0.125373      0.172375     0.0196921     0.0365468     0.0711098    0.00172345   6.36364e-12   3.61487e-14      0.306729      0.153364     -0.153364      0.307882
      0.120953      0.166341     0.0186776     0.0352331     0.0687837    0.00159022  -8.11257e-12   2.02183e-14        0.2881       0.14405      -0.14405      0.289159
      0.125425      0.172457     0.0196813     0.0365258     0.0710733    0.00172149  -1.29781e-11    6.2447e-14      0.306818      0.153409     -0.153409      0.308334
      0.127196      0.174872     0.0201235     0.0370471     0.0719122    0.00177744  -5.64595e-12   4.75885e-14      0.314955      0.157478     -0.157478      0.315839
      0.125355      0.172357     0.0196907     0.0365114     0.0709936    0.00172081  -1.52063e-11   5.45375e-14      0.307058      0.153529     -0.153529      0.307793
      0.127174      0.174839     0.0201255     0.0370485     0.0718936    0.00177763  -1.89929e-11   4.94737e-14      0.315044      0.157522     -0.157522      0.315762
      0.126354      0.173721     0.0199286     0.0368078     0.0714865    0.00175196  -1.99244e-11   4.55684e-14      0.311509      0.155754     -0.155754      0.312129
      0.125536      0.172603     0.0197352     0.0365699     0.0710774    0.00172684  -1.85135e-11   5.05342e-14      0.307985      0.153992     -0.153992      0.308584
       0.12635      0.173714     0.0199307     0.0368104     0.0714809    0.00175224  -1.56562e-11   4.86483e-14      0.311542      0.155771     -0.155771      0.312143
      0.125535      0.172601     0.0197365     0.0365713     0.0710742    0.00172699  -1.04344e-11   5.32296e-14      0.308003      0.154002     -0.154002      0.308598
      0.126347      0.173709     0.0199318      0.036811     0.0714786    0.00175232  -1.08678e-11   4.15033e-14      0.311552      0.155776     -0.155776      0.312133
      0.125533      0.172599     0.0197369      0.036572     0.0710736    0.00172705  -8.07127e-12   4.25125e-14      0.307995      0.153997     -0.153997      0.308583
      0.126349      0.173712     0.0199368       0.03681     0.0714679    0.00175245  -4.41149e-12   3.58651e-14      0.311492      0.155746     -0.155746      0.312137
      0.125415      0.172437     0.0197143     0.0365358     0.0710012    0.00172352  -3.03592e-12   2.72415e-14       0.30742       0.15371      -0.15371       0.30809
