            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0960335      0.132504     0.0126159     0.0269894     0.0504686   0.000887587             0             0      0.203576      0.101788     -0.101788      0.187057
     0.0988353      0.136194     0.0135262     0.0283717     0.0544868   0.000987913  -7.27933e-13  -1.07437e-14       0.19461     0.0973048    -0.0973048      0.200293
      0.107583      0.148205     0.0152346     0.0308481     0.0600971     0.0011837   2.30641e-11   1.63721e-14      0.228356      0.114178     -0.114178      0.232509
      0.116178      0.160012     0.0169867     0.0331995     0.0651226    0.00139076  -1.91408e-11  -4.61167e-14      0.264244      0.132122     -0.132122      0.267507
      0.124506      0.171429       0.01884     0.0355104     0.0695758    0.00161594  -9.92219e-12  -4.86046e-14       0.30105      0.150525     -0.150525      0.303218
      0.128469      0.176864     0.0197271     0.0365892     0.0713818    0.00172793   2.14464e-11  -3.31796e-15      0.318286      0.159143     -0.159143      0.319383
      0.132573      0.182493     0.0206293     0.0377092     0.0732983    0.00184755   -6.0084e-12   -2.4592e-14      0.335474      0.167737     -0.167737      0.337056
      0.131197      0.180608     0.0203132     0.0373266      0.072618     0.0018059  -5.94123e-12  -2.67587e-14      0.329617      0.164809     -0.164809       0.33078
      0.129846      0.178761     0.0199944     0.0369424     0.0719463    0.00176452  -2.58394e-12  -2.76192e-14      0.323454      0.161727     -0.161727      0.324673
      0.131209      0.180625     0.0203157      0.037324     0.0726041    0.00180581  -1.50571e-12  -2.16302e-14      0.329487      0.164743     -0.164743      0.330684
       0.13262      0.182563     0.0206294     0.0377023     0.0732537    0.00184704  -6.72395e-12  -1.51969e-14      0.335626      0.167813     -0.167813      0.336865
      0.131056       0.18042     0.0202681     0.0372713     0.0725222    0.00179995  -5.66026e-12  -2.86774e-14      0.328742      0.164371     -0.164371      0.330006
      0.132578      0.182502     0.0206437     0.0376951     0.0732357    0.00184708   5.89506e-13  -2.49198e-14      0.335656      0.167828     -0.167828      0.336828
      0.130941      0.180265     0.0202543     0.0372186     0.0724201    0.00179546  -6.29145e-12  -3.47049e-14       0.32821      0.164105     -0.164105       0.32955
      0.132944      0.183004     0.0207557     0.0377745     0.0733494    0.00185771  -6.76495e-12  -2.98892e-14      0.337342      0.168671     -0.168671       0.33876
      0.130901      0.180208     0.0202844     0.0371991      0.072364    0.00179523  -3.20623e-11  -3.84603e-15      0.328375      0.164187     -0.164187      0.329776
      0.131755      0.181377     0.0204841     0.0374395     0.0727744    0.00182131  -3.83049e-11   -5.2294e-15      0.332273      0.166136     -0.166136      0.333575
      0.132614      0.182552     0.0206855     0.0376801     0.0731809    0.00184768  -3.55813e-11  -8.39803e-15      0.336158      0.168079     -0.168079      0.337418
      0.133467      0.183718     0.0208924     0.0379206     0.0735803    0.00187447  -3.16718e-11  -3.35904e-15      0.340039       0.17002      -0.17002      0.341255
      0.132494      0.182386     0.0206631     0.0376484      0.073123    0.00184437   -3.3842e-11  -5.85847e-15      0.335702      0.167851     -0.167851      0.336897
      0.132804      0.182811     0.0207355     0.0377356     0.0732712    0.00185394  -3.23669e-11  -8.32229e-15       0.33711      0.168555     -0.168555      0.338282
