                     %Lz                     obs                       s                guesserr                   error     directory
               2.6205246               1.9458937                       0                       0           4.5250176e-14  ./initial-2/
               2.6305246               1.9720121                       0                       0           9.4201771e-15  ./initial-1/
               2.6405246               1.9963319                       0                       0           3.1349884e-14  ./initial-0/
               2.6771664               2.0750326             0.055175029           1.1342134e-05           2.2327496e-15   search-0/
               2.7137227               2.1426466             0.092171108           1.6714989e-05           2.6623338e-15   search-1/
               2.7544667               2.2091564              0.12928457           1.7300782e-05           3.6925987e-15   search-2/
               2.7992889               2.2739386              0.16629149           1.4427747e-05           2.4235053e-15   search-3/
               2.8483001               2.3365267              0.20309437           1.3176386e-05           2.1957277e-15   search-4/
               2.9017353               2.3965374              0.23968259           1.2637526e-05           2.0126015e-15   search-5/
               2.9598665               2.4536606              0.27611664           1.2700997e-05            5.805623e-15   search-6/
               3.0229085               2.5076781               0.3125127           1.3168656e-05             3.16581e-15   search-7/
               3.0909194               2.5584962              0.34901652           1.3892557e-05           3.5622008e-15   search-8/
               3.1637195               2.6061714              0.38576417            1.487528e-05            3.265047e-15   search-9/
