                     %Lx                     obs                       s                guesserr                   error     directory
                 12.4676               1.6503053                       0                       0           4.5778855e-15  ./initial-2/
                 12.4776               1.6581708                       0                       0           3.2444163e-15  ./initial-1/
                 12.4876               1.6696562                       0                       0           1.5710211e-16  ./initial-0/
               12.446934               1.7421576             0.050817772            1.188686e-05           1.9931409e-15   search-0/
               12.346646               1.7896589             0.080570808           1.7522393e-05           2.9800092e-16   search-1/
               12.220186               1.8327569              0.10846818           1.8262501e-05           4.2908255e-16   search-2/
               12.062345               1.8774497              0.13824217           1.4758468e-05           5.6283823e-14   search-3/
               11.880883               1.9229067              0.16927476           1.3261682e-05           7.0453608e-14   search-4/
               11.682124               1.9687316              0.20117277           1.1720184e-05           8.3605698e-15   search-5/
               11.470958               2.0147142              0.23365987            1.002809e-05           1.4343413e-14   search-6/
               11.209984               2.0691807              0.27260087            1.160531e-05           7.9675914e-15   search-7/
               10.940443               2.1237277              0.31195548           1.1256039e-05           7.2427219e-15   search-8/
               10.665075               2.1783309              0.35159646            1.012866e-05           1.8780567e-15   search-9/
               10.337564               2.2423292              0.39827175           1.1721973e-05            2.851511e-15   search-10/
               10.006506               2.3063111              0.44509938           1.1723403e-05           1.7138249e-15   search-11/
                9.672966               2.3702035               0.4919956           1.1185161e-05           2.4429974e-15   search-12/
               9.3374273               2.4338949              0.53888396           1.0629208e-05           9.1422919e-16   search-13/
               8.9998342               2.4972015              0.58567742           1.0743199e-05            1.145774e-15   search-14/
               8.6595105               2.5597627              0.63223267           1.1639437e-05           4.2698121e-15   search-15/
               8.3147487               2.6208434              0.67827992           1.3583139e-05           1.1149408e-14   search-16/
               7.9618802               2.6789816              0.72332531           1.7150436e-05           1.0218608e-14   search-17/
               7.6526344               2.7237235               0.7599629            1.734738e-05           1.0941105e-14   search-18/
               7.3721142               2.7567131              0.78998382           1.7056485e-05           1.0622163e-14   search-19/
