                     %Lx                     obs                       s                guesserr                   error     directory
               6.3201362                1.774097                       0                       0           1.5823322e-16  ./initial-2/
               6.3176362               1.7792042                       0                       0           3.1441986e-16  ./initial-1/
               6.3151362               1.7848096                       0                       0           4.2991705e-16  ./initial-0/
               6.3132728               1.9144529             0.076041738           1.2884612e-05           6.1631068e-16   search-0/
               6.3460518               1.9918629              0.11985824           1.9243691e-05           1.2430828e-14   search-1/
                6.390182               2.0693039              0.16394084           1.9058888e-05           1.2846361e-15   search-2/
               6.4376759                2.149299              0.20952614           1.6729236e-05           3.0357845e-16   search-3/
               6.4782846               2.2296845              0.25516172           1.7849995e-05           5.8755344e-16   search-4/
               6.5047328               2.3153843              0.30351078           1.9595372e-05           5.2381038e-14   search-5/
               6.5090339               2.3552657              0.32593643           6.5381825e-06           1.0321611e-15   search-7/
               6.5081775               2.3909762              0.34600794           9.6020821e-06            3.020295e-15   search-8/
               6.5013036               2.4355658              0.37109307           8.1187473e-06           2.1584183e-14   search-9/
               6.4879817               2.4850909              0.39900839           1.0900627e-05           3.6232085e-14   search-10/
               6.4686846                2.544563              0.43257387           1.5675765e-05           1.0191006e-15   search-11/
               6.4501832                2.607435              0.46803218           1.8024787e-05            3.708231e-16   search-12/
                6.437243               2.6740307              0.50551821            1.959192e-05           8.2770075e-15   search-13/
               6.4346049               2.7017697              0.52111448           6.0664652e-06           4.5657039e-15   search-15/
               6.4341071               2.7123777               0.5270772           8.5757152e-07           4.2856503e-16   search-18/
               6.4339593                2.728452              0.53611181           1.2736198e-06           6.7839095e-16   search-19/
               6.4358554               2.7574618               0.5524195            3.372752e-06           2.7601169e-16   search-20/
               6.4418729               2.7882059              0.56972542             8.16478e-06           3.7971536e-16   search-21/
               6.4520146               2.8145893              0.58464082           1.0639798e-05           2.0314329e-16   search-22/
               6.4667442               2.8371366              0.59752617           1.1203272e-05           6.9325053e-16   search-23/
               6.4870061               2.8562616              0.60874363           1.1668823e-05            6.524637e-14   search-24/
               6.5141921                2.872188              0.61867567           1.2451565e-05           6.9332969e-14   search-25/
               6.5500623               2.8850248              0.62785675           1.3034347e-05           3.7623384e-14   search-26/
                 6.59625               2.8948513              0.63701932           1.2279878e-05           1.4885359e-14   search-27/
               6.6609901               2.9026477               0.6481644           1.2280844e-05           3.0774579e-15   search-28/
               6.7351243               2.9078658              0.66025984           1.4977198e-05           9.7967015e-15   search-29/
               6.8132906               2.9118993              0.67283853           1.8352479e-05           4.6067796e-14   search-30/
                6.892548               2.9158317              0.68557716           1.5241934e-05           8.6015123e-15   search-31/
               6.9719033                2.920158              0.69837128           1.1763321e-05           9.0353014e-15   search-32/
               7.0616205               2.9256129              0.71289953           1.2151289e-05           3.7011645e-15   search-33/
               7.1509187               2.9314417              0.72740897           1.1344408e-05           9.2464384e-15   search-34/
               7.2512033               2.9381285              0.74372157           1.2237829e-05           1.4878002e-14   search-35/
               7.3513703               2.9446556              0.75999559           1.0822206e-05           5.7877713e-15   search-36/
               7.4686045               2.9518245              0.77898466            1.172505e-05            5.331394e-15   search-37/
               7.5862222               2.9583208              0.79795668           1.0142282e-05           6.6133714e-15   search-38/
               7.7282388               2.9650891              0.82075568           1.1354224e-05           4.7093358e-15   search-39/
               7.8890554               2.9712436              0.84644482           1.2274863e-05           5.0259325e-15   search-40/
               8.0507166               2.9758025              0.87216166           1.0691631e-05           3.4261203e-15   search-41/
               8.2433532               2.9791757              0.90271242           1.1527429e-05           1.9988222e-15   search-42/
               8.4366287               2.9804506              0.93331382           1.0298661e-05           3.4013097e-15   search-43/
               8.6620003               2.9794807               0.9689914           1.1794285e-05           7.6715443e-15   search-44/
               8.8874102               2.9760401               1.0047232           1.1532108e-05           8.6542446e-15   search-45/
               9.1125154               2.9701872                1.040506           1.1085587e-05           7.9980901e-15   search-46/
               9.3369941               2.9618396               1.0763465           1.0676144e-05           8.3558765e-15   search-47/
               9.5604824                2.950815               1.1122604           1.0807471e-05            6.647865e-15   search-48/
               9.7825191               2.9369066               1.1482648           1.1479029e-05           7.5771841e-15   search-49/
               10.002538               2.9199616               1.1843698           1.2513037e-05           1.0458314e-14   search-50/
               10.219916               2.8999451               1.2205704           1.3434619e-05           1.1646691e-14   search-51/
               10.434066               2.8770029               1.2568372           1.3644747e-05           1.6392637e-14   search-52/
               10.644586               2.8515203               1.2931075           1.2756564e-05           1.7401993e-14   search-53/
               10.851456               2.8241007               1.3292977           1.0947672e-05            1.502972e-14   search-54/
               11.088548               2.7905992               1.3712851           1.1796539e-05           1.3410574e-14   search-55/
               11.322507               2.7562848               1.4130389           1.0602584e-05            1.656285e-14   search-56/
                11.59171                2.716249               1.4612268           1.1853298e-05           9.2712373e-15   search-57/
               11.860047                2.676526               1.5092115           1.1213189e-05           1.1739706e-14   search-58/
               12.128653               2.6374976               1.5570536           1.0330417e-05           1.1488973e-14   search-59/
               12.441292               2.5934444               1.6123889            1.186942e-05           2.2520128e-14   search-60/
               12.756036               2.5507914               1.6676766           1.1335853e-05             1.82062e-14   search-61/
               13.073154               2.5095112               1.7229749               1.041e-05           7.8183349e-15   search-62/
               13.440265                2.463691               1.7865349           1.1994442e-05           8.1836202e-15   search-63/
               13.810174               2.4195183               1.8501329            1.136511e-05           9.2151506e-15   search-64/
               14.229937               2.3717237               1.9218009           1.2264924e-05           1.3482205e-14   search-65/
                14.65279               2.3260069               1.9934958           1.1391806e-05           2.9633995e-15   search-66/
               15.078576               2.2823216               2.0652254           1.0187837e-05           6.9594375e-15   search-67/
               15.580066               2.2336573               2.1491848           1.1748518e-05           5.0838984e-15   search-68/
               16.084906               2.1873883               2.2332197           1.1360955e-05           9.1596433e-15   search-69/
                16.59265               2.1432639               2.3173282           1.0012081e-05           2.1627204e-15   search-70/
               17.199528               2.0932861               2.4174119           1.1438885e-05           4.4506654e-15   search-71/
               17.809336               2.0457048               2.5175729            1.087689e-05           4.1365338e-15   search-72/
               18.420621               2.0002928               2.6176413            9.627364e-06           7.3752146e-15   search-73/
               19.033526                 1.95669               2.7177037           8.3564429e-06           8.2378594e-15   search-74/
               19.647704               1.9145382               2.8177652           7.7284245e-06           2.5690601e-15   search-75/
               20.262781               1.8734024               2.9178315           7.7765519e-06           4.0056352e-15   search-76/
               20.878319               1.8327014               3.0179127            8.654312e-06           6.3850461e-15   search-77/
               21.494227               1.7915561               3.1181082           1.0831251e-05           1.4372204e-14   search-78/
               22.109801               1.7486394                3.218487            1.545835e-05           5.2969721e-14   search-79/
