                     %Lz                     obs                       s                guesserr                   error     directory
               4.8297917               2.0742447                       0                       0           4.1371075e-16  ./initial-2/
               4.8397917               2.0563558                       0                       0           4.3353843e-16  ./initial-1/
               4.8497917               2.0386672                       0                       0           5.1253659e-16  ./initial-0/
               4.9056427               1.9373498             0.059450355           1.1424022e-05           6.0252133e-14   search-0/
               4.9456652               1.8404699              0.10728303           1.9966493e-05           1.7810162e-14   search-1/
               4.9550076               1.7882515              0.13274994           6.4446516e-06           3.3169002e-14   search-3/
               4.9553154                1.781137               0.1362103           2.5806277e-07           2.7277102e-14   search-8/
               4.9552408               1.7696818              0.14178094           2.3556413e-07           1.1026219e-15   search-9/
               4.9529819               1.7479352              0.15236655           3.6409183e-07           4.6317342e-15   search-10/
               4.9401404               1.7075466              0.17218581           2.4903135e-06            4.788333e-14   search-11/
               4.9050014               1.6580664              0.19731941           7.2458447e-06           3.3920028e-14   search-12/
               4.8467323               1.6118651              0.22280947           9.6473255e-06           6.4568674e-15   search-13/
               4.7656722                1.569875              0.24921935           1.0706364e-05            1.976495e-15   search-14/
                4.663557               1.5322404              0.27714998           1.2377188e-05           5.5920348e-15   search-15/
               4.5445958               1.4992677              0.30649744           1.3057991e-05           9.7000322e-15   search-16/
               4.4136799               1.4709287              0.33685559           1.1791562e-05           2.2631306e-14   search-17/
               4.2548006               1.4438345              0.37222878           1.2089724e-05           1.0575606e-14   search-18/
                4.089101               1.4216836               0.4081203           1.0292438e-05           9.7947051e-15   search-19/
