                     %Lz                     obs                       s                guesserr                   error     directory
               2.5804835                1.489053                       0                       0           1.7786874e-14  ./initial-2/
               2.5779835               1.4906139                       0                       0           1.2365326e-16  ./initial-1/
               2.5754835                1.492201                       0                       0           7.9626008e-15  ./initial-0/
                2.516937               1.5393593             0.026387277           1.3981201e-05           3.0154624e-15   search-0/
               2.4907481               1.5703245             0.038674239           1.8310425e-05           1.4273294e-14   search-1/
               2.4704465               1.6027467             0.049153669           1.7569637e-05            1.070173e-14   search-2/
               2.4528892               1.6428105              0.05977978           1.8798963e-05           9.7713855e-15   search-3/
               2.4417736               1.6825385             0.068629231            1.812256e-05           1.0200794e-14   search-4/
               2.4354303               1.7237972             0.076710952           1.6356885e-05           1.2838741e-14   search-5/
               2.4334012               1.7704566             0.085101672           1.5491846e-05            7.602068e-15   search-6/
               2.4362771                1.821319             0.093903385           1.3301942e-05           1.6621181e-15   search-7/
               2.4439811               1.8745602               0.1031647           1.0978366e-05           5.6868144e-16   search-8/
               2.4558364               1.9283451              0.11283582           1.3465159e-05           7.6210708e-15   search-9/
               2.4709188               1.9813442              0.12280752           1.6126089e-05           1.0273329e-14   search-10/
                2.488386               2.0328479              0.13297599           1.5772712e-05            7.960739e-15   search-11/
               2.5076062               2.0825737              0.14326953           1.3712695e-05            3.998092e-15   search-12/
