                     %Lx                     obs                       s                guesserr                   error     directory
                8.572601               1.8386611                       0                       0            7.290471e-14  ./initial-2/
                8.570101               1.8346752                       0                       0           5.3901989e-14  ./initial-1/
                8.567601               1.8305177                       0                       0           8.6158781e-14  ./initial-0/
               8.5481696               1.7382016             0.018926979           1.0256035e-05           6.0700072e-14   search-0/
               8.5849446               1.6808017              0.03130922            1.655923e-05           1.7243822e-16   search-1/
               8.6661324               1.6292164             0.045664617           1.9353353e-05           4.4645562e-15   search-2/
               8.7347157                1.601509             0.055633896           1.7290883e-05           1.2162265e-14   search-3/
               8.8109741               1.5777279             0.065937416           1.0897798e-05           1.1720426e-14   search-4/
                8.918544               1.5512427             0.079803667           1.0134533e-05           1.0107282e-14   search-5/
               9.0536588               1.5249714             0.096660769           1.1372803e-05           1.6165112e-14   search-6/
               9.2161947               1.4997206              0.11651087           1.1726138e-05           1.6704235e-14   search-7/
               9.4127114               1.4751182               0.1401734           1.1516348e-05           1.3853381e-14   search-8/
               9.6500179               1.4511169              0.16847213           1.1451469e-05           3.8309335e-14   search-9/
               9.9346019               1.4278901              0.20218163           1.1487612e-05           1.1719108e-14   search-10/
               10.274053                1.405628                0.242202            1.151802e-05           1.0851039e-14   search-11/
               10.677505               1.3845386              0.28961122           1.1534824e-05           2.4956809e-14   search-12/
               11.155787               1.3648744              0.34568294           1.1545144e-05           3.7420197e-14   search-13/
                11.72188                1.346939              0.41194064           1.1546329e-05           1.2194788e-14   search-14/
               12.391609               1.3310934               0.4902393           1.1535216e-05           2.2521159e-14   search-15/
               13.184435               1.3177665              0.58285831           1.1513145e-05           2.3622553e-14   search-16/
               14.041088               1.3081831              0.68288628           9.7190185e-06           1.8626093e-14   search-17/
               14.897874               1.3023089              0.78290425           6.7992736e-06           5.4357734e-15   search-18/
               15.754706               1.2992641              0.88291507           4.6007539e-06           4.3832601e-15   search-19/
               16.611545               1.2984361              0.98292172           3.3199121e-06           2.2723907e-15   search-20/
               17.468368               1.2993818                1.082926           2.6518504e-06           1.5926806e-15   search-21/
               18.325164               1.3017691               1.1829288           2.3146809e-06           1.2106485e-15   search-22/
               19.181924               1.3053423               1.2829307           2.1534191e-06           8.2667791e-16   search-23/
               20.038646               1.3098992                1.382932           2.0832042e-06           9.7671916e-16   search-24/
               20.895327               1.3152771               1.4829329           2.0606987e-06           4.5228469e-16   search-25/
               21.751968               1.3213456               1.5829337           2.0681127e-06           1.1745097e-15   search-26/
               22.608566               1.3280043               1.6829342            2.105275e-06           1.1663274e-15   search-27/
               23.465121               1.3351871               1.7829348           2.1865759e-06            3.343937e-16   search-28/
               24.321628                1.342874               1.8829353            2.341224e-06           1.2247031e-15   search-29/
               25.178075               1.3511189               1.9829359           2.6197657e-06           1.0156004e-15   search-30/
                26.03444               1.3601233               2.0829367           3.1217536e-06           9.2400062e-16   search-31/
               26.890664               1.3705011               2.1829379           4.1071031e-06           8.3791036e-15   search-32/
               27.746403                1.385584               2.2829404           6.6016133e-06           2.8349808e-15   search-33/
               27.911275               1.3929755               2.3023107            1.763581e-06           2.1703067e-15   search-36/
               27.917502               1.3939345               2.3030901           8.0217549e-08           2.5757039e-16   search-42/
                27.92004               1.3948019               2.3034806           2.2343182e-08           2.5605584e-16   search-45/
               27.918475                 1.39607               2.3038954            5.499694e-08           1.5361459e-14   search-47/
               27.900689               1.3983056               2.3060738           3.7353723e-07             7.80855e-16   search-48/
                27.80958                1.387546               2.3171669           5.9785782e-06           1.9504391e-16   search-49/
               27.747597               1.3856176               2.3244255           1.9013896e-05           3.6407604e-15   search-50/
               27.528723               1.4103637               2.3509847           1.0507059e-05           1.5511378e-16   search-51/
               27.466854               1.4117019               2.3582192           1.7714977e-05           4.0330438e-16   search-52/
                27.37805               1.4135366               2.3686017           3.9798994e-06           6.8482478e-15   search-54/
               27.200412               1.4170112               2.3893673           1.7646979e-07           3.0942562e-16   search-55/
               26.845067                1.423606               2.4308996            8.987065e-07           1.9167307e-15   search-56/
               26.134291               1.4367866               2.5139677           4.0958393e-06           3.8263527e-14   search-57/
               25.278697               1.4542162               2.6139695            5.202451e-06           2.6741404e-14   search-58/
               24.423347               1.4746625               2.7139717            4.007317e-06           1.9812851e-14   search-59/
               23.568475               1.4997816               2.8139768           6.0485508e-06           3.2823314e-14   search-60/
               22.714702               1.5332651               2.9139934           1.1765532e-05           2.6908776e-16   search-61/
               22.055505               1.5806997               2.9918345           1.9033701e-05           1.2000209e-14   search-62/
               22.033659               1.5867094               2.9948104           1.5563353e-06           5.1845288e-14   search-66/
               22.031927               1.5915917                2.996099           5.7170981e-07           9.2553956e-15   search-69/
               22.056996               1.5979748               2.9994935           5.3631175e-06           2.4936207e-15   search-70/
               22.089226               1.6016554               3.0033958           2.8896416e-06           1.0846495e-14   search-72/
               22.144465               1.6057382               3.0099556           5.6032605e-06           3.3386216e-14   search-73/
               22.240064               1.6104249               3.0212141            5.358975e-06           1.9386757e-15   search-74/
               22.384339                1.615213               3.0381411           6.2247462e-06           4.9678183e-16   search-75/
               22.590191               1.6200071               3.0622514            6.630314e-06           2.8462593e-16   search-76/
               22.874887               1.6248639               3.0955706           6.8846864e-06           9.3175807e-14   search-77/
               23.253816               1.6298054               3.1399063           7.1925533e-06           2.6183944e-14   search-78/
               23.725262               1.6344514                3.195072           7.7641122e-06           2.0121865e-14   search-79/
