                     %Lz                     obs                       s                guesserr                   error     directory
               6.5959213                1.594933                       0                       0           3.0353436e-14  ./initial-2/
               6.6009213                1.597299                       0                       0           7.4325689e-14  ./initial-1/
               6.6059213               1.5997148                       0                       0           2.0854379e-14  ./initial-0/
               6.7212742               1.6816878             0.055904973           1.3280146e-05           7.5718436e-15   search-0/
               6.7485648               1.7247654             0.083189048           1.6784606e-05           8.9497134e-15   search-1/
               6.7544314               1.7409659             0.093370384           1.1788261e-05            4.197724e-16   search-2/
               6.7526441               1.8436905              0.15768237           1.0479091e-05           2.8111583e-16   search-3/
               6.7243464               1.9206259               0.2060387           1.8006581e-05            5.421138e-15   search-4/
               6.6929567                1.985669              0.24703614           1.6841306e-05           1.2242747e-15   search-5/
               6.6547778               2.0637085              0.29623442           1.8936269e-05           3.0736406e-16   search-6/
               6.6248094               2.1382933              0.34314894           1.9291937e-05           7.5849825e-16   search-7/
               6.6081839               2.2043526              0.38458246           1.6479704e-05           8.4292257e-15   search-8/
               6.6041999               2.2392835              0.40645953           6.3843727e-06           2.4069521e-14   search-10/
               6.6036828               2.2673616               0.4240382           8.6337852e-06           2.7041935e-15   search-11/
               6.6068979               2.3050871               0.4476615           6.9758574e-06           1.0317716e-14   search-12/
               6.6146645               2.3440617              0.47209017           9.9235573e-06           3.0402577e-14   search-13/
               6.6269473               2.3881048              0.49972635           1.5341447e-05           7.7701999e-16   search-14/
               6.6389848               2.4435173              0.53446566           1.9278018e-05           4.8512084e-14   search-15/
               6.6394343               2.4495427              0.53823853           1.3906813e-06           5.7297759e-15   search-19/
                6.639596               2.4534125              0.54066135           2.3132489e-07           7.7834952e-14   search-22/
               6.6396216                2.460466              0.54507722             2.53868e-07           8.5465051e-14   search-23/
               6.6386301                2.474151              0.55364614           1.2718785e-06           2.9776273e-15   search-24/
               6.6341433               2.4960417              0.56736779           6.2427334e-06            2.982746e-14   search-25/
                6.626087               2.5188378              0.58169155           1.1305137e-05            2.438196e-14   search-26/
               6.6145859               2.5437672              0.59739571           1.5746828e-05           2.4213346e-16   search-27/
               6.6022163               2.5684534              0.61296386            1.655686e-05           2.4917334e-16   search-28/
               6.5905244               2.5938278              0.62894812           1.6487334e-05            1.287626e-15   search-29/
               6.5811721               2.6221031              0.64670667           1.6722734e-05           1.6175593e-14   search-30/
               6.5785205               2.6382049              0.65679532           6.2140348e-06           7.5572185e-14   search-32/
               6.5781216               2.6449162              0.66099742           1.0109062e-06           4.1815091e-14   search-35/
               6.5785682               2.6569377               0.6685239           2.2849166e-06            4.499339e-16   search-36/
               6.5825468               2.6756198              0.68023543           6.0770629e-06           3.2071948e-14   search-37/
               6.5906323               2.6935206              0.69150915           9.8789046e-06           3.9176818e-14   search-38/
               6.6028923               2.7105357              0.70232225           1.1936745e-05           1.8662526e-14   search-39/
