                     %Re                     obs                       s                guesserr                   error     directory
                  300.02               1.8550643                       0                       0           2.6756977e-15  ./initial-2/
                     300               1.8564542                       0                       0           2.4131056e-15  ./initial-1/
                  299.98               1.8579045                       0                       0           2.6780582e-15  ./initial-0/
               301.00105               1.9795938              0.06642167           1.2991276e-05           2.9167295e-15   search-0/
                303.4252               2.0476306              0.10395071           1.8770146e-05           3.5222348e-16   search-1/
               306.49159               2.1092646              0.13868834            1.788637e-05           3.8695695e-16   search-2/
               310.34874               2.1724191              0.17505582           1.2930362e-05            3.003849e-14   search-3/
               314.86762               2.2361791              0.21255881           1.1686675e-05           6.5986874e-15   search-4/
               319.93612                2.300043              0.25088461           1.0554647e-05           7.5604912e-15   search-5/
                326.3254               2.3732444              0.29569951           1.1988142e-05           6.4002843e-15   search-6/
               333.21342               2.4459903              0.34111603           1.1575585e-05           6.7983468e-15   search-7/
               340.51714               2.5181404              0.38697625           1.0348658e-05           9.1448763e-15   search-8/
               349.49787               2.6016016              0.44098841           1.1768224e-05           2.4901098e-15   search-9/
               358.88826                 2.68404               0.4953179           1.1361778e-05           3.7968128e-15   search-10/
               368.63656               2.7653911              0.54987189           1.0198143e-05           4.3639104e-15   search-11/
               380.45708               2.8591909              0.61394532           1.1753296e-05           3.3893309e-15   search-12/
               392.67856               2.9513594              0.67816753           1.1573629e-05           5.3073377e-15   search-13/
               405.27398               3.0418419              0.74249673           1.0657014e-05           3.7759852e-15   search-14/
               420.09641               3.1430973              0.81609043            1.209591e-05           2.5963783e-15   search-15/
               435.35964               3.2420714              0.88978466           1.2103926e-05           7.6319489e-15   search-16/
                451.0437                3.338762              0.96358109           1.1484489e-05           1.4211501e-15   search-17/
               467.12772               3.4331743                1.037478           1.0547918e-05           2.3958757e-15   search-18/
               485.77115               3.5371674               1.1211433           1.2241478e-05           6.1087126e-15   search-19/
               504.87472               3.6380928               1.2048718            1.235479e-05           8.9175292e-15   search-20/
                524.4245               3.7356195               1.2885761           1.1377179e-05            7.666644e-15   search-21/
               547.15268               3.8415003               1.3834051           1.2184165e-05            6.510743e-15   search-22/
               570.49713               3.9415262               1.4780529            1.118977e-05           9.6185986e-15   search-23/
               594.50066               4.0351466               1.5726311           1.0123669e-05           1.0447607e-14   search-24/
               620.61545               4.1271273               1.6727931             1.03215e-05            4.736468e-15   search-25/
               647.40028               4.2123714               1.7731916           9.7970459e-06           6.2994246e-15   search-26/
                674.6843                4.291803               1.8737004           8.5747709e-06           7.1131982e-15   search-27/
               702.29667               4.3664607               1.9741436           7.0906536e-06           8.3962846e-15   search-28/
                730.1309               4.4366291               2.0743279           6.0513473e-06           1.7290606e-14   search-29/
               758.20583               4.5008816                2.174106           6.7631811e-06           3.4006468e-14   search-30/
               786.63358               4.5573699               2.2736307           1.1039375e-05           3.1105947e-14   search-31/
                815.4849               4.6092988               2.3737871           1.4018071e-05           9.7020845e-16   search-32/
               844.58013               4.6573566               2.4741666           1.7490199e-05           2.6509708e-15   search-33/
                861.3342               4.6724539               2.5306025           1.7585901e-05           4.5191806e-16   search-34/
                878.3733               4.6695756               2.5874207           1.2421284e-05           7.0671839e-16   search-35/
               895.58453               4.6492028               2.6458316           1.0985138e-05           4.7120561e-16   search-36/
               912.48601               4.6186914               2.7045182           1.2048533e-05            8.104454e-14   search-37/
