                     %Re                     obs                       s                guesserr                   error     directory
                   300.1               1.3275659                       0                       0           4.9264337e-16  ./initial-2/
                     300               1.3276187                       0                       0            3.281109e-15  ./initial-1/
                   299.9               1.3276715                       0                       0           2.6705072e-16  ./initial-0/
               270.17695               1.3462893              0.10040005           1.1440077e-05           8.4254829e-15   search-0/
               254.48205                1.359204              0.15361311           1.7440151e-05           1.5113384e-14   search-1/
               241.02958               1.3727329              0.19959796           1.7092429e-05           1.0326525e-14   search-2/
               227.67958               1.3892154              0.24579736           1.7247531e-05           1.3508849e-14   search-3/
                216.4377                1.406321              0.28542349           1.7148584e-05           5.2358021e-15   search-4/
               206.68703                1.424456               0.3206795           1.6487397e-05           1.9137238e-15   search-5/
                197.1731               1.4463122              0.35641102           1.9099581e-05           3.2639051e-14   search-6/
               189.53506               1.4681721              0.38673148           1.7676266e-05           3.9232212e-14   search-7/
               182.29651               1.4943619              0.41789772           1.9762368e-05           1.9451943e-14   search-8/
                176.6694               1.5207547              0.44522965           1.7362964e-05           4.2129086e-15   search-9/
               171.71594               1.5520761              0.47402583            1.780807e-05           6.2150425e-15   search-10/
               167.76303               1.5892232              0.50495334           1.8143476e-05           1.0737922e-14   search-11/
               165.22608               1.6316807              0.53803275             1.72069e-05           7.3387573e-15   search-12/
               164.43699               1.6613514               0.5605358           1.7416029e-05            2.096343e-15   search-13/
               164.48969               1.7095625               0.5968502           1.1267779e-05           9.5938144e-16   search-14/
               165.73473               1.7554675              0.63167532           1.8453062e-05           3.3839702e-16   search-15/
                167.6324               1.7969562              0.66355956           1.8259839e-05           1.0601714e-16   search-16/
               170.25443               1.8405491              0.69753823           1.7071171e-05           5.1217312e-14   search-17/
               173.49524               1.8853355              0.73296011           1.6000902e-05           9.2662513e-15   search-18/
               177.25401               1.9307749              0.76940756           1.4813619e-05           1.1387721e-14   search-19/
               181.44296               1.9765057              0.80657582           1.3158817e-05           6.9935172e-15   search-20/
               185.99124               2.0223014              0.84425513           1.1465244e-05           5.5039319e-15   search-21/
               191.46589               2.0737035              0.88705778           1.2307732e-05           6.2498745e-15   search-22/
               197.26806               2.1249386              0.93022467           1.1665303e-05           9.0817283e-15   search-23/
               203.35237               2.1759522               0.9736734           1.0437464e-05           3.6066585e-15   search-24/
               210.72101                2.234844               1.0243786           1.1863784e-05           3.6495756e-15   search-25/
               218.37851               2.2933784                1.075324           1.1542093e-05           4.4246229e-15   search-26/
               226.29057               2.3515461               1.1264629           1.0450111e-05           3.5069678e-15   search-27/
               235.73979               2.4184739               1.1859057           1.1889388e-05           1.9958484e-15   search-28/
               245.46039               2.4848982               1.2455141           1.1669096e-05           2.5510638e-15   search-29/
                255.4264               2.5508074               1.3052482           1.0787835e-05            7.905627e-15   search-30/
               266.97713               2.6247454               1.3729539           1.2224798e-05           1.3172927e-14   search-31/
               278.79857               2.6979111               1.4407027           1.2534414e-05           6.7121589e-15   search-32/
               290.88342               2.7701462               1.5084013           1.2431981e-05           5.1484125e-15   search-33/
               303.24036                2.841149               1.5759058            1.204948e-05           8.4174301e-15   search-34/
                315.9036               2.9104186               1.6430181           1.1693048e-05           4.7335977e-15   search-35/
               328.94381               2.9772949               1.7095528           1.1306132e-05             5.50726e-15   search-36/
               342.46788               3.0412422               1.7755246           1.1070665e-05           8.2034325e-15   search-37/
               356.58363               3.1023107               1.8413258           1.1205425e-05           1.6333496e-14   search-38/
                371.3252               3.1612345               1.9075411           1.1080355e-05           2.0221213e-14   search-39/
               386.60547               3.2188978               1.9744797           1.0052133e-05           2.7552844e-14   search-40/
               404.45927                3.283753               2.0514742           1.2119691e-05           2.4306931e-14   search-41/
               422.61055               3.3482128                2.129051           1.3297986e-05           8.0140047e-15   search-42/
               440.92489               3.4125353               2.2069881           1.2830028e-05           1.4340799e-14   search-43/
               459.31817               3.4768259               2.2851166           1.1208747e-05           1.4171408e-14   search-44/
                 480.289               3.5498131               2.3740478           1.2132335e-05           3.7168377e-14   search-45/
                501.2964                3.622174               2.4627843           1.1695471e-05              2.6375e-14   search-46/
               522.38617               3.6933694               2.5512025           1.1184263e-05           7.8981209e-15   search-47/
               543.63339                3.763056               2.6393571             1.05939e-05           9.0039687e-15   search-48/
               565.10061               3.8311607               2.7274025           1.0172957e-05           1.6713562e-14   search-49/
