group,ix,iz,target_Lx,target_Lz,point_Lx,point_Lz,point_source,point_label,point_tag,point_ubest,min_Re,status,re_out_dir
E,1,1,5.00000000,2.00000000,5.00000000,2.07295033,existing_grid_geom,i01_j02,to_i01_j01_Lz:search-12,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i01_j02/to_i01_j01_Lz/search-12/ubest.nc,299.90000000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i01_j01
E,2,1,5.71428571,2.00000000,5.73695527,2.00000000,existing_grid_geom,i02_j01,to_i01_j01_Lx:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i02_j01/to_i01_j01_Lx/initial-2/ubest.nc,300.00000000,failed,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i02_j01
E,3,1,6.42857143,2.00000000,6.31763616,2.00000000,existing_grid_geom,i03_j01,to_i02_j01_Lx:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i03_j01/to_i02_j01_Lx/initial-2/ubest.nc,300.00000000,failed,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i03_j01
E,4,1,7.14285714,2.00000000,6.93842137,2.00000000,existing_grid_geom,i04_j01,to_i05_j01_Lx:initial-0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i04_j01/to_i05_j01_Lx/initial-0/ubest.nc,300.00000000,failed,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i04_j01
E,5,1,7.85714286,2.00000000,,,,,,,,missing,
E,6,1,8.57142857,2.00000000,,,,,,,,missing,
E,7,1,9.28571429,2.00000000,,,,,,,,missing,
E,8,1,10.00000000,2.00000000,,,,,,,,missing,
E,9,1,10.71428571,2.00000000,,,,,,,,missing,
E,10,1,11.42857143,2.00000000,,,,,,,,missing,
