            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.270379      0.366736     0.0617227     0.0889039      0.116406     0.0117136             0             0       1.22405      0.612027     -0.612027       1.20452
      0.259361      0.352964     0.0557288      0.082745      0.110966    0.00995243   9.27318e-12   5.39903e-13       1.12617      0.563084     -0.563084       1.14488
      0.245512      0.333302      0.052509     0.0818821      0.108274    0.00946188   5.19106e-11   1.87088e-12      0.992126      0.496063     -0.496063       1.06564
      0.229526      0.313186     0.0456817     0.0720555     0.0989283    0.00727881   3.52007e-11  -8.79868e-13      0.875325      0.437663     -0.437663      0.930505
      0.213592      0.291811     0.0421648     0.0656629     0.0914539    0.00608949  -2.76627e-11  -1.02636e-12       0.73758       0.36879      -0.36879      0.800461
      0.210609      0.287054     0.0435592     0.0664442     0.0930951    0.00631224  -3.65801e-11  -3.97506e-13      0.757768      0.378884     -0.378884      0.810846
      0.206614      0.281973     0.0415648     0.0643615     0.0904018    0.00587004  -2.66211e-11   -2.1462e-13      0.719047      0.359524     -0.359524      0.770045
      0.207221      0.283154     0.0407224     0.0636118     0.0894572    0.00570477  -1.87858e-11  -2.11331e-13      0.729672      0.364836     -0.364836       0.77088
      0.208775      0.285109     0.0420692     0.0641627     0.0916152    0.00588668  -3.29713e-11   2.00572e-14      0.774207      0.387104     -0.387104      0.822041
      0.212245        0.2904     0.0417918     0.0633858     0.0911031    0.00576431  -9.93868e-12  -8.99937e-14      0.793331      0.396666     -0.396666       0.83883
