            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.293331      0.392617     0.0803344      0.107161      0.166018     0.0179372             0             0       0.96695      0.483475     -0.483475       1.31958
       0.28948      0.389305     0.0761908      0.101162      0.153559     0.0160388    1.5312e-11  -3.31234e-13       1.13367      0.566837     -0.566837       1.29751
      0.273519      0.371408     0.0659831     0.0856006       0.14234     0.0116812  -1.65565e-11   2.35106e-13       1.16854      0.584272     -0.584272       1.22907
      0.296217      0.397973     0.0779654      0.105017      0.157505     0.0171071   6.62434e-12   3.84757e-13       1.45268      0.726339     -0.726339       1.55136
      0.280131      0.378524     0.0699735     0.0936461      0.147071     0.0136659  -2.10698e-11  -6.71241e-14       1.31747      0.658733     -0.658733        1.3583
       0.26514      0.360044     0.0621667     0.0842701      0.138047     0.0109662   1.80755e-11   1.46097e-13       1.18703      0.593517     -0.593517       1.21189
      0.271443      0.368069     0.0655081     0.0871598      0.140877     0.0118881   4.45654e-12  -3.20515e-14       1.24502      0.622512     -0.622512       1.25096
      0.270139      0.366382     0.0648862     0.0866306      0.140127     0.0117151  -1.51924e-13  -1.42828e-14       1.23626      0.618128     -0.618128       1.23641
      0.270137      0.366374     0.0648884     0.0866434      0.140127     0.0117176   3.35688e-14             0        1.2364      0.618201     -0.618201        1.2364
      0.270137      0.366375     0.0648885     0.0866436      0.140127     0.0117176             0             0        1.2364      0.618202     -0.618202        1.2364
      0.270137      0.366375     0.0648885     0.0866436      0.140127     0.0117176             0             0        1.2364      0.618202     -0.618202        1.2364
