            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0960335      0.132504     0.0126159     0.0269894     0.0504686   0.000887587             0             0      0.203576      0.101788     -0.101788      0.187057
     0.0988353      0.136194     0.0135262     0.0283717     0.0544868   0.000987913  -4.23367e-12   1.46074e-14       0.19461     0.0973048    -0.0973048      0.200293
      0.107583      0.148205     0.0152346     0.0308481     0.0600971     0.0011837   4.26812e-11   3.52813e-14      0.228356      0.114178     -0.114178      0.232509
      0.116178      0.160012     0.0169867     0.0331995     0.0651226    0.00139075   3.01886e-11  -3.11525e-14      0.264244      0.132122     -0.132122      0.267507
      0.124585      0.171539     0.0188168     0.0355359     0.0696404    0.00161687    1.8446e-11   1.44851e-14      0.300663      0.150331     -0.150331      0.303228
      0.132934      0.182975     0.0207613     0.0378459     0.0736914    0.00186335  -2.62927e-12   4.36632e-14      0.337896      0.168948     -0.168948      0.340098
      0.124544      0.171497     0.0187622     0.0354901     0.0695883    0.00161156  -1.19843e-11  -4.78693e-14      0.300264      0.150132     -0.150132      0.302951
      0.128759       0.17727     0.0197623     0.0366413     0.0715267    0.00173313  -3.07531e-12   2.55641e-14      0.319037      0.159518     -0.159518      0.320619
      0.133001       0.18308     0.0207601     0.0378024     0.0734958    0.00186001   3.07882e-11  -3.75731e-14        0.3381       0.16905      -0.16905      0.339557
      0.137264      0.188916      0.021777     0.0389812     0.0754203    0.00199377   2.37181e-11  -5.79586e-14      0.357219      0.178609     -0.178609      0.358757
      0.135154      0.186028     0.0212837     0.0383851     0.0744133    0.00192641   1.75979e-11   -2.2865e-14      0.347882      0.173941     -0.173941      0.349028
      0.133063      0.183167     0.0207894     0.0378026     0.0734395    0.00186124   2.25078e-11  -2.66041e-14      0.338521      0.169261     -0.169261      0.339609
      0.135157      0.186033     0.0212832     0.0383884     0.0744143    0.00192665   2.28355e-11  -2.84928e-14      0.347927      0.173964     -0.173964      0.349032
      0.133067      0.183174      0.020791     0.0378026     0.0734356     0.0018613   1.03283e-11  -9.65286e-15      0.338542      0.169271     -0.169271      0.339628
      0.134142      0.184644     0.0210429      0.038104     0.0739375    0.00189472    1.6552e-11  -1.07066e-14      0.343382      0.171691     -0.171691      0.344406
      0.135202      0.186092     0.0213026     0.0384049     0.0744244    0.00192874   8.66326e-12  -4.87619e-15      0.348265      0.174132     -0.174132      0.349201
      0.133968      0.184404     0.0210116      0.038059     0.0738488    0.00188997   8.74199e-12  -1.06604e-14      0.342718      0.171359     -0.171359      0.343678
      0.135202      0.186092     0.0213036     0.0384045     0.0744203    0.00192875   1.32341e-11  -1.80774e-14      0.348263      0.174131     -0.174131      0.349241
      0.134574      0.185233     0.0211568     0.0382288     0.0741259    0.00190905   1.11505e-11  -2.05761e-14      0.345454      0.172727     -0.172727      0.346405
      0.133621      0.183928     0.0209377     0.0379688      0.073688    0.00188001   2.24047e-12  -1.04518e-14      0.341252      0.170626     -0.170626      0.342186
      0.134555      0.185205     0.0211599     0.0382313     0.0741248    0.00190937  -2.15231e-12    1.0305e-14      0.345463      0.172732     -0.172732       0.34641
