            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.134555      0.185205     0.0211599     0.0382313     0.0741248    0.00190937  -2.15231e-12    1.0305e-14      0.345463      0.172732     -0.172732       0.34641
      0.135037      0.185864     0.0212759     0.0383669     0.0743468    0.00192468   -3.9268e-12   1.35376e-14      0.347667      0.173833     -0.173833       0.34858
       0.13443      0.185034     0.0211337     0.0381976     0.0740658    0.00190569  -1.84586e-13     2.116e-14      0.344956      0.172478     -0.172478      0.345852
      0.135257      0.186165     0.0213294     0.0384292     0.0744499    0.00193174  -2.67965e-12   2.12692e-14      0.348687      0.174343     -0.174343      0.349588
      0.134427      0.185029     0.0211334     0.0381972     0.0740666    0.00190565  -5.25653e-12   2.65945e-14      0.344961      0.172481     -0.172481      0.345852
      0.135469      0.186454     0.0213802     0.0384889     0.0745494    0.00193851  -1.41492e-11   2.94389e-14      0.349656      0.174828     -0.174828      0.350555
      0.134425      0.185026      0.021134     0.0381972     0.0740676    0.00190568    -1.096e-11   3.79033e-14      0.344973      0.172487     -0.172487      0.345853
      0.135465      0.186449     0.0213785     0.0384886     0.0745532    0.00193841  -1.80112e-11   4.12867e-14      0.349675      0.174838     -0.174838      0.350547
      0.134423      0.185023     0.0211315     0.0381969     0.0740721    0.00190554  -1.67487e-11   3.83343e-14      0.344986      0.172493     -0.172493      0.345846
       0.13485      0.185608     0.0212324     0.0383167     0.0742701    0.00191898   -1.6432e-11   3.51264e-14      0.346918      0.173459     -0.173459       0.34776
      0.134201      0.184719     0.0210802     0.0381382     0.0739749    0.00189889  -1.66398e-11   3.57056e-14      0.344062      0.172031     -0.172031      0.344852
