            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.214171      0.289689     0.0315693     0.0825986     0.0912614    0.00781914             0             0      0.562055      0.281028     -0.281028       0.79025
      0.205913      0.280411     0.0290282      0.072989     0.0897085    0.00617004  -1.06464e-10   3.25032e-13      0.607874      0.303937     -0.303937      0.761536
      0.185846       0.25514     0.0247484     0.0580423      0.083011    0.00398139  -4.37642e-11  -8.55812e-12      0.490807      0.245403     -0.245403      0.623475
      0.167348      0.226818     0.0246855     0.0628882     0.0769341     0.0045643  -3.17071e-11   2.06171e-12      0.416811      0.208405     -0.208405      0.513372
      0.163794      0.223062     0.0234128     0.0579002      0.075157    0.00390059   2.93085e-11   6.70399e-12      0.410615      0.205307     -0.205307      0.474444
      0.156341      0.214198     0.0212632     0.0505161     0.0715469      0.003004   8.77192e-11   5.53614e-12      0.378067      0.189034     -0.189034      0.424443
      0.164067      0.224252     0.0237384     0.0546195     0.0759273    0.00354681   4.83646e-11   3.32476e-12      0.431961       0.21598      -0.21598      0.471518
       0.16737      0.228372     0.0247375     0.0570974      0.077747    0.00387206   1.09365e-11    1.9762e-12      0.454883      0.227441     -0.227441      0.491259
      0.170649       0.23237      0.025817     0.0598318     0.0796052    0.00424636   1.12174e-11  -1.82348e-13      0.477464      0.238732     -0.238732      0.512243
      0.172305      0.233996        0.0268     0.0624972     0.0810253    0.00462414  -1.43126e-11   1.28466e-12      0.491136      0.245568     -0.245568      0.522933
       0.17531      0.237312     0.0282441     0.0659705     0.0835057    0.00514983  -4.40296e-11   1.96638e-12      0.513681       0.25684      -0.25684       0.54381
       0.17889      0.241548     0.0298142     0.0690579     0.0860831    0.00565789  -9.07098e-11   2.81106e-12      0.539026      0.269513     -0.269513      0.568688
      0.176667      0.239496     0.0284175     0.0652443     0.0846139    0.00506438  -6.59088e-11   1.57384e-12      0.520398      0.260199     -0.260199        0.5511
      0.177349      0.240044     0.0289271     0.0666922     0.0852145    0.00528463   -5.5293e-11   1.89339e-12      0.527266      0.263633     -0.263633      0.556684
      0.178668      0.241505     0.0295824     0.0681524     0.0860747    0.00551986  -4.86852e-11   1.80066e-12      0.536794      0.268397     -0.268397      0.566037
      0.180401      0.243613     0.0302847     0.0694612     0.0870796    0.00574201   -1.2386e-11   2.49683e-12      0.548533      0.274267     -0.274267      0.577485
      0.182538      0.246087     0.0313034     0.0714224     0.0886034    0.00608106   -2.7724e-11    4.5559e-13      0.566536      0.283268     -0.283268      0.592606
      0.179775      0.243034     0.0298921     0.0684034     0.0869962    0.00557256   4.90072e-12   1.66057e-12      0.547842      0.273921     -0.273921       0.57263
      0.181648      0.244714     0.0310825     0.0716992     0.0886273     0.0061069  -1.18199e-12   1.01324e-12      0.563855      0.281927     -0.281927      0.587794
      0.185069      0.248769     0.0325518      0.074535     0.0908202    0.00661508  -2.34803e-11   4.85568e-13      0.587552      0.293776     -0.293776      0.612515
      0.183807      0.247375      0.031907     0.0731984     0.0900366    0.00637606  -8.42076e-12  -5.44816e-13      0.578288      0.289144     -0.289144      0.603208
