            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.099131      0.137024     0.0109984     0.0275215     0.0446003   0.000878396             0             0      0.157438     0.0787191    -0.0787191      0.181447
     0.0897524      0.123909     0.0112306     0.0251278     0.0464518   0.000757532   3.76469e-11  -1.87464e-15       0.14305     0.0715248    -0.0715248      0.161271
      0.101051      0.139301     0.0137544     0.0287823      0.056093     0.0010176  -3.59495e-11  -5.54878e-15      0.200432      0.100216     -0.100216      0.208413
      0.113991      0.157038     0.0164162       0.03252     0.0639904    0.00132705   -1.1058e-10   8.91815e-14       0.25276       0.12638      -0.12638      0.259393
      0.126441      0.174102      0.019145     0.0360063     0.0707721    0.00166298  -9.64829e-11   6.58187e-14       0.30675      0.153375     -0.153375      0.312291
      0.113938      0.156989     0.0163439     0.0324189      0.063829    0.00131811  -7.04156e-11     2.043e-13      0.251845      0.125922     -0.125922      0.258429
      0.120159      0.165501     0.0177621     0.0342125     0.0671207    0.00148599  -1.41263e-11   5.71877e-14      0.279874      0.139937     -0.139937      0.282987
      0.126538      0.174237     0.0192166     0.0360028     0.0704381    0.00166548  -1.17622e-11  -3.00588e-14      0.308315      0.154157     -0.154157      0.310721
      0.132954      0.183021      0.020706     0.0377883     0.0734826    0.00185669   2.77297e-11   5.54422e-15      0.336966      0.168483     -0.168483      0.339387
      0.130843       0.18013     0.0202188      0.037203      0.072432    0.00179286   2.51708e-11   6.12719e-15      0.328112      0.164056     -0.164056      0.329441
      0.129686      0.178544     0.0199569     0.0368853     0.0718762     0.0017588   2.28613e-11  -4.60716e-15      0.322941       0.16147      -0.16147      0.324265
      0.129781      0.178677     0.0199797     0.0368985     0.0719049    0.00176069   1.98016e-11  -1.53713e-14      0.323205      0.161603     -0.161603      0.324645
      0.130757      0.180016     0.0202135     0.0371563     0.0723673    0.00178917   9.48745e-12  -2.14608e-14      0.327531      0.163766     -0.163766      0.329088
      0.132253      0.182068     0.0205671     0.0375528     0.0730535    0.00183322   7.76584e-12   1.02121e-14      0.334354      0.167177     -0.167177      0.335803
      0.134134      0.184646     0.0210113     0.0380552     0.0739032    0.00188968  -9.65482e-13  -4.68909e-15      0.342936      0.171468     -0.171468      0.344255
      0.136296       0.18761     0.0215264     0.0386359     0.0748643    0.00195612  -2.79674e-12  -8.18947e-15      0.352836      0.176418     -0.176418      0.354015
      0.138642      0.190823     0.0220933     0.0392665     0.0758818    0.00202997  -1.19468e-11  -1.52491e-14      0.363603      0.181801     -0.181801      0.364686
      0.141142      0.194247     0.0227019     0.0399375     0.0769395    0.00211038  -1.03977e-11             0      0.375122      0.187561     -0.187561      0.376153
      0.143705      0.197755     0.0233405     0.0406272     0.0779853    0.00219535  -1.27583e-11  -1.93996e-14      0.386998      0.193499     -0.193499       0.38804
      0.146323      0.201337     0.0239991     0.0413302     0.0790265    0.00228414   1.91619e-12    1.0643e-14      0.399234      0.199617     -0.199617      0.400297
      0.148962      0.204948     0.0246678     0.0420384     0.0800533    0.00237573   5.36164e-12   1.38708e-14      0.411716      0.205858     -0.205858      0.412762
