            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.242344      0.334652     0.0331647     0.0660981       0.10804    0.00546885             0             0      0.672364      0.336182     -0.336182      0.948969
      0.207344      0.286565     0.0294964     0.0547122      0.095646    0.00386346   6.54669e-11   3.16074e-13      0.580901      0.290451     -0.290451      0.667348
      0.199838      0.274689     0.0342539     0.0569466     0.0965315    0.00441625   6.03954e-11  -8.32407e-14       0.64261      0.321305     -0.321305      0.645683
      0.171559      0.235349     0.0305999     0.0503918     0.0896203    0.00347568  -9.73293e-11  -1.57236e-13       0.50149      0.250745     -0.250745      0.520308
       0.14519      0.199443      0.024347     0.0423063      0.081257     0.0023826   2.05612e-10  -1.19766e-13      0.384082      0.192041     -0.192041      0.409609
      0.132743      0.182439     0.0215622     0.0386315     0.0746496    0.00195732  -3.38328e-11   4.16149e-14      0.339006      0.169503     -0.169503      0.344521
      0.137301      0.188623     0.0227403     0.0400942     0.0766435    0.00212466  -5.78682e-12  -1.64465e-14      0.361173      0.180586     -0.180586      0.362677
      0.132415      0.181964      0.021496     0.0386556     0.0744278    0.00195634  -1.67839e-11   4.24216e-14      0.339166      0.169583     -0.169583      0.340295
      0.130089      0.178784     0.0209474     0.0380004     0.0733194    0.00188283  -1.99845e-11   1.67055e-14      0.329054      0.164527     -0.164527      0.329619
       0.12781      0.175671     0.0203977     0.0373414     0.0722136    0.00181045   -2.2881e-11   2.94811e-14      0.318933      0.159466     -0.159466      0.319506
      0.128708      0.176895     0.0206177     0.0376101     0.0726394    0.00183961  -2.28937e-11   2.39139e-14      0.322895      0.161447     -0.161447      0.323362
      0.127806      0.175662     0.0204064     0.0373502     0.0721934    0.00181146  -2.62481e-11   2.51698e-14      0.318937      0.159468     -0.159468      0.319429
       0.12872       0.17691     0.0206244     0.0376207     0.0726352    0.00184068  -2.19487e-11    2.9656e-14      0.322919      0.161459     -0.161459      0.323414
      0.127807      0.175663     0.0204062      0.037356     0.0721954    0.00181188  -2.16543e-11   3.91335e-14      0.318934      0.159467     -0.159467       0.31941
      0.128209      0.176211     0.0205043     0.0374763     0.0723897     0.0018249   -2.1028e-11   4.42679e-14      0.320707      0.160353     -0.160353      0.321174
      0.127807      0.175661     0.0204075     0.0373614     0.0721944    0.00181234  -1.67226e-11   4.48592e-14      0.318944      0.159472     -0.159472      0.319417
      0.128209       0.17621     0.0205043     0.0374805     0.0723906    0.00182522  -1.93692e-11   4.64617e-14      0.320717      0.160358     -0.160358       0.32118
      0.128015      0.175945     0.0204572     0.0374238     0.0722966    0.00181904  -2.05731e-11   4.57727e-14      0.319864      0.159932     -0.159932      0.320324
      0.128209       0.17621     0.0205043     0.0374818     0.0723904    0.00182531  -1.88953e-11    4.3438e-14      0.320719      0.160359     -0.160359      0.321178
      0.128103      0.176064     0.0204784     0.0374505     0.0723388    0.00182191  -1.89301e-11   4.32574e-14      0.320251      0.160125     -0.160125      0.320708
      0.127996      0.175919     0.0204528     0.0374196     0.0722872    0.00181854  -1.87591e-11   4.41884e-14      0.319783      0.159892     -0.159892      0.320241
