            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0960335      0.132504     0.0126159     0.0269894     0.0504686   0.000887587             0             0      0.203576      0.101788     -0.101788      0.187057
     0.0988353      0.136194     0.0135262     0.0283717     0.0544868   0.000987913   2.83427e-11   3.06791e-14       0.19461     0.0973048    -0.0973048      0.200293
      0.107583      0.148205     0.0152346     0.0308481     0.0600971     0.0011837  -4.75548e-12   4.40131e-15      0.228356      0.114178     -0.114178      0.232509
      0.116178      0.160012     0.0169867     0.0331995     0.0651226    0.00139075   5.48145e-11   3.41284e-15      0.264244      0.132122     -0.132122      0.267507
      0.124585      0.171539     0.0188168     0.0355359     0.0696404    0.00161687  -2.87067e-11  -9.31475e-15      0.300663      0.150331     -0.150331      0.303227
      0.132936      0.182977     0.0207581     0.0378479      0.073693    0.00186336   4.18747e-12   3.87131e-14      0.337897      0.168948     -0.168948      0.340072
      0.128842      0.177373     0.0197981     0.0367085      0.071619    0.00173948   8.13776e-12   2.61456e-14      0.320094      0.160047     -0.160047       0.32103
      0.132916      0.182959     0.0207271     0.0378091     0.0735093    0.00185914   1.23782e-11   7.47849e-14      0.337432      0.168716     -0.168716      0.338836
      0.128947      0.177527     0.0198384     0.0366753     0.0715148    0.00173863  -1.73176e-11    4.6302e-14      0.320238      0.160119     -0.160119      0.321534
      0.132998      0.183077     0.0207679     0.0377937     0.0734439    0.00185967   -2.7146e-11  -6.42468e-15      0.338067      0.169034     -0.169034      0.339547
      0.137016      0.188576     0.0217208     0.0389115      0.075285     0.0019859  -8.47314e-12   1.64543e-14      0.356117      0.178059     -0.178059      0.357649
         0.133      0.183084     0.0207639     0.0377807     0.0734244    0.00185852   1.28681e-11   5.06354e-14       0.33802       0.16901      -0.16901      0.339532
      0.134815      0.185565     0.0211993     0.0382947     0.0742593     0.0019159   3.87617e-12   1.30817e-14      0.346346      0.173173     -0.173173      0.347505
      0.132953      0.183015     0.0207732      0.037779     0.0733825    0.00185878   2.68574e-11   2.29449e-14      0.338141       0.16907      -0.16907      0.339192
      0.134795      0.185534     0.0212063     0.0382952     0.0742446    0.00191623   2.27864e-11   1.77035e-14      0.346417      0.173209     -0.173209      0.347472
      0.132945      0.183003     0.0207748     0.0377789     0.0733786    0.00185883   9.30962e-12  -1.32259e-15      0.338157      0.169078     -0.169078      0.339176
      0.133794      0.184164     0.0209751     0.0380173     0.0737752    0.00188526   1.19422e-11             0      0.341995      0.170998     -0.170998      0.342954
      0.134643      0.185325     0.0211776     0.0382553     0.0741677    0.00191196   1.39185e-11  -1.22622e-14       0.34584       0.17292      -0.17292      0.346765
      0.133787      0.184154     0.0209766     0.0380161     0.0737676    0.00188524   5.65959e-12  -7.26765e-15      0.341997      0.170998     -0.170998      0.342925
      0.134638      0.185318     0.0211786     0.0382548     0.0741646    0.00191196   6.26474e-12   3.91871e-15      0.345846      0.172923     -0.172923      0.346756
      0.133781      0.184146     0.0209759     0.0380156     0.0737686    0.00188517   2.02591e-12   1.57277e-14      0.342006      0.171003     -0.171003      0.342916
