            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.242344      0.334652     0.0331647     0.0660981       0.10804    0.00546885             0             0      0.672364      0.336182     -0.336182      0.948969
      0.207301       0.28651     0.0294769     0.0546885     0.0956561    0.00385972  -1.28367e-10  -8.77602e-14      0.580254      0.290127     -0.290127      0.667155
      0.199593       0.27442     0.0341616      0.056578     0.0962076    0.00436809  -2.02889e-11  -2.74885e-14      0.628286      0.314143     -0.314143      0.644749
      0.170749      0.234366      0.029874     0.0499079     0.0893428    0.00338326  -8.99249e-11  -1.11314e-14      0.496151      0.248076     -0.248076      0.513381
      0.143693      0.197418     0.0238955     0.0418363     0.0803883    0.00232127   1.19535e-11  -6.00192e-14      0.378966      0.189483     -0.189483      0.402145
      0.131242       0.18039     0.0211993     0.0381931     0.0739038    0.00190812   4.42434e-11   4.81912e-14      0.333147      0.166574     -0.166574      0.337173
      0.136395      0.187391     0.0225139     0.0398149     0.0762271     0.0020921  -2.44513e-11  -3.82268e-14      0.357135      0.178567     -0.178567       0.35866
      0.133878      0.183955     0.0218849     0.0390942     0.0750585    0.00200731  -1.69336e-11  -3.20955e-14      0.346033      0.173016     -0.173016       0.34674
      0.131382      0.180548     0.0212718     0.0383731      0.073905    0.00192499  -2.53864e-11  -3.31783e-14      0.334885      0.167443     -0.167443      0.335507
      0.130249      0.178999     0.0210011     0.0380511     0.0733677    0.00188893  -2.79847e-11  -1.66228e-14      0.329915      0.164958     -0.164958      0.330385
       0.12912      0.177457     0.0207291      0.037725     0.0728294    0.00185288  -2.64146e-11  -1.02583e-14      0.324937      0.162469     -0.162469      0.325382
       0.12961      0.178124     0.0208496     0.0378721     0.0730625      0.001869  -2.47695e-11  -6.49988e-15      0.327108      0.163554     -0.163554      0.327526
      0.129125      0.177463     0.0207288     0.0377321     0.0728327     0.0018534  -2.46662e-11  -8.80712e-15      0.324949      0.162475     -0.162475      0.325355
      0.129772      0.178346     0.0208857     0.0379257     0.0731414    0.00187457  -2.17379e-11   -8.5617e-15      0.327786      0.163893     -0.163893      0.328197
       0.12913      0.177469     0.0207285     0.0377377      0.072836     0.0018538  -1.94556e-11  -1.11119e-14      0.324946      0.162473     -0.162473       0.32535
      0.128491      0.176598     0.0205679     0.0375495     0.0725357      0.001833  -2.42163e-11  -1.43532e-14      0.322142      0.161071     -0.161071      0.322489
      0.128734       0.17693     0.0206271     0.0376223      0.072653    0.00184092  -2.45486e-11  -1.35306e-14      0.323215      0.161608     -0.161608      0.323554
      0.128978      0.177262      0.020686     0.0376943     0.0727698    0.00184877  -2.58798e-11  -1.36835e-14      0.324289      0.162145     -0.162145       0.32462
      0.129222      0.177595     0.0207442      0.037766     0.0728871    0.00185659  -2.69404e-11  -1.26042e-14      0.325368      0.162684     -0.162684      0.325684
      0.128979      0.177263     0.0206851     0.0376946     0.0727705    0.00184876  -2.71469e-11  -1.31519e-14      0.324296      0.162148     -0.162148      0.324608
      0.129109      0.177441     0.0207163     0.0377331     0.0728335    0.00185295  -2.66699e-11  -1.46255e-14      0.324878      0.162439     -0.162439      0.325179
