            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.104602      0.144636     0.0118288      0.028695     0.0454692   0.000963321             0             0      0.175919     0.0879595    -0.0879595       0.20396
     0.0929538      0.128395     0.0115541     0.0257293     0.0456333   0.000795496  -6.67101e-12   1.62678e-14      0.148297     0.0741486    -0.0741486      0.172662
      0.101814      0.140338     0.0140688     0.0289772     0.0551901    0.00103761   1.01607e-10   1.12462e-13      0.204924      0.102462     -0.102462      0.214972
      0.114925      0.158297     0.0167541     0.0328196     0.0627826    0.00135783   8.44914e-11   5.01739e-14      0.258215      0.129108     -0.129108      0.266119
      0.127335      0.175294     0.0194369     0.0363682     0.0693951    0.00170044   5.65394e-11  -9.23855e-14      0.312618      0.156309     -0.156309       0.31873
      0.139845      0.192423     0.0223177     0.0398555     0.0751273    0.00208654   3.92766e-12  -1.33655e-13      0.368381       0.18419      -0.18419      0.374312
      0.132949      0.182982     0.0207729     0.0379069     0.0717406    0.00186845   -5.1823e-11  -9.22815e-14      0.339324      0.169662     -0.169662       0.34158
      0.139657      0.192165      0.022393     0.0397358     0.0745987    0.00208038  -2.04644e-11  -4.37934e-14      0.369762      0.184881     -0.184881      0.371976
      0.133033      0.183115     0.0208117     0.0378354     0.0715594    0.00186464  -2.10645e-11  -4.83265e-14      0.339697      0.169849     -0.169849      0.342356
      0.135556       0.18656      0.021411     0.0385706     0.0726782    0.00194612  -2.03974e-11  -1.41599e-14      0.351601      0.175801     -0.175801      0.353285
      0.138121      0.190066     0.0220335     0.0392964     0.0737908    0.00202968  -2.15562e-11   -2.9629e-14      0.363473      0.181736     -0.181736      0.364933
      0.140716      0.193615     0.0226553     0.0400231     0.0749057    0.00211511  -4.30061e-11  -1.06035e-14      0.375301       0.18765      -0.18765      0.376713
      0.138138      0.190093     0.0220235     0.0392889     0.0737864    0.00202866  -4.20378e-11  -5.17806e-15      0.363465      0.181733     -0.181733      0.364837
      0.139102      0.191411     0.0222531     0.0395643     0.0742069    0.00206054  -3.82373e-11             0      0.367913      0.183957     -0.183957      0.369186
      0.138621      0.190753     0.0221351     0.0394283      0.073995    0.00204456  -3.78836e-11  -4.90455e-15      0.365736      0.182868     -0.182868      0.366966
      0.138137      0.190092       0.02202      0.039293     0.0737828    0.00202882  -3.66426e-11  -1.06302e-14      0.363549      0.181774     -0.181774      0.364747
      0.138365      0.190404     0.0220746     0.0393576     0.0738834    0.00203631   -3.6557e-11  -9.28162e-15      0.364596      0.182298     -0.182298       0.36578
      0.139536      0.192004     0.0223631     0.0396817     0.0743673    0.00207475  -3.43718e-11  -6.83422e-15      0.369715      0.184858     -0.184858      0.371099
      0.138385      0.190433     0.0220821     0.0393536     0.0738591    0.00203633  -3.22574e-11   -2.0735e-14      0.364384      0.182192     -0.182192      0.365842
      0.139545      0.192017     0.0223649     0.0396812      0.074362    0.00207478  -3.22797e-11  -1.82602e-14      0.369666      0.184833     -0.184833      0.371144
      0.139016      0.191294     0.0222363     0.0395316     0.0741309    0.00205721  -3.09859e-11  -2.09734e-14      0.367263      0.183631     -0.183631      0.368715
