            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.240703      0.332496     0.0325724     0.0652792      0.107185    0.00532234             0             0      0.660299      0.330149     -0.330149      0.937344
      0.206151      0.284993     0.0292681     0.0540224     0.0953458    0.00377504   2.10212e-11  -2.55413e-13      0.574275      0.287137     -0.287137      0.661123
      0.198074      0.272449     0.0336633     0.0557248     0.0959005    0.00423847   2.58776e-11  -3.74743e-13      0.620896      0.310448     -0.310448      0.638501
      0.170221      0.233728     0.0297373     0.0493688     0.0893016    0.00332158  -1.08911e-10   2.11115e-13      0.495924      0.247962     -0.247962      0.512269
      0.145881      0.200423     0.0245712     0.0423055     0.0811337     0.0023935   1.64269e-10  -1.38068e-13      0.392524      0.196262     -0.196262      0.410818
      0.127803      0.175786     0.0200456      0.036939     0.0726911    0.00176632  -1.41807e-10  -1.00454e-13      0.312978      0.156489     -0.156489      0.324257
      0.132371      0.181943     0.0213831     0.0385156     0.0744947    0.00194069  -5.50357e-11             0      0.337622      0.168811     -0.168811      0.340114
      0.127285      0.174999     0.0201423     0.0370465     0.0720434    0.00177815  -2.97059e-11   4.87919e-14      0.315563      0.157782     -0.157782      0.317207
      0.129547      0.178083     0.0206913     0.0377244     0.0731142    0.00185126  -2.67039e-11   4.29375e-14       0.32581      0.162905     -0.162905      0.326732
      0.127256      0.174954     0.0201451     0.0370613     0.0719964    0.00177936    -3.915e-11   2.88056e-14      0.315837      0.157918     -0.157918      0.316588
      0.129547      0.178081     0.0206937     0.0377315      0.073107     0.0018519  -2.64326e-11   2.07608e-14      0.325878      0.162939     -0.162939      0.326638
      0.127246      0.174936      0.020157     0.0370679     0.0719818    0.00178033  -9.96857e-12   1.92899e-14      0.315865      0.157932     -0.157932      0.316584
      0.129533      0.178058     0.0207079     0.0377389      0.073094    0.00185304  -1.30645e-11   1.96076e-14       0.32594       0.16297      -0.16297      0.326621
      0.127253      0.174946     0.0201536     0.0370714     0.0719894    0.00178045   2.60429e-12   2.64422e-14      0.315867      0.157934     -0.157934      0.316562
      0.128348       0.17644     0.0204227     0.0373961     0.0725172    0.00181556   6.46179e-12   2.58443e-14      0.320758      0.160379     -0.160379      0.321324
      0.127241      0.174927     0.0201592     0.0370746     0.0719755    0.00178092   8.41578e-12   2.01674e-14      0.315929      0.157965     -0.157965      0.316455
      0.128345      0.176434     0.0204242     0.0373975     0.0725133    0.00181572   1.44726e-12    2.7265e-14      0.320776      0.160388     -0.160388      0.321291
      0.127237      0.174922     0.0201608     0.0370759     0.0719737    0.00178108  -4.70809e-12   2.91881e-14      0.315936      0.157968     -0.157968      0.316442
      0.128341      0.176428     0.0204262     0.0373989     0.0725117    0.00181591  -1.30015e-12   3.17888e-14      0.320781      0.160391     -0.160391      0.321282
      0.127237      0.174921     0.0201618      0.037077     0.0719727     0.0017812  -5.67628e-12   3.21919e-14      0.315939      0.157969     -0.157969      0.316437
      0.128344      0.176432      0.020425     0.0373992     0.0725135    0.00181589  -6.69327e-12   3.56512e-14      0.320778      0.160389     -0.160389      0.321285
