            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.099131      0.137024     0.0109984     0.0275215     0.0446003   0.000878396             0             0      0.157438     0.0787191    -0.0787191      0.181447
     0.0897524      0.123909     0.0112306     0.0251278     0.0464518   0.000757532  -2.69395e-11  -8.45948e-15       0.14305     0.0715248    -0.0715248      0.161271
      0.101051      0.139301     0.0137544     0.0287823      0.056093     0.0010176  -8.48894e-11   9.12075e-15      0.200432      0.100216     -0.100216      0.208413
      0.113991      0.157038     0.0164162       0.03252     0.0639904    0.00132705    2.1361e-11   -2.3754e-14       0.25276       0.12638      -0.12638      0.259393
      0.126441      0.174102      0.019145     0.0360063     0.0707721    0.00166298  -7.18057e-12  -2.71777e-14       0.30675      0.153375     -0.153375      0.312291
      0.113992      0.157066     0.0163442     0.0324248     0.0638226     0.0013185   9.39433e-12  -1.62105e-14      0.251873      0.125936     -0.125936      0.258787
      0.120175      0.165524     0.0177626     0.0342113     0.0671179    0.00148592   3.33585e-11   4.38862e-15      0.280023      0.140011     -0.140011      0.283131
      0.126539      0.174237     0.0192106     0.0360085     0.0704425    0.00166566   2.05651e-11  -7.59567e-14      0.308223      0.154111     -0.154111      0.310695
      0.132976      0.183051     0.0207014     0.0378031     0.0735626    0.00185762   5.89997e-12  -5.83472e-14      0.336822      0.168411     -0.168411      0.339072
      0.129905      0.178841     0.0200121     0.0369564      0.072028    0.00176626    1.0786e-11  -6.67423e-15      0.323855      0.161928     -0.161928      0.325033
      0.132855      0.182878      0.020711     0.0377813     0.0734295    0.00185637   1.38645e-11  -1.34441e-14      0.337087      0.168544     -0.168544      0.338029
      0.129866      0.178787      0.020012     0.0369482     0.0720067    0.00176565   1.62442e-11   4.50215e-14      0.324013      0.162007     -0.162007      0.324886
      0.132815      0.182822     0.0207219     0.0377704     0.0734042      0.001856  -1.84247e-11   2.30591e-14      0.337086      0.168543     -0.168543      0.337977
      0.129828      0.178734     0.0200215     0.0369318     0.0719743    0.00176482  -4.04775e-11   2.57866e-14      0.324074      0.162037     -0.162037      0.324907
      0.132841      0.182862     0.0207394     0.0377467     0.0733553    0.00185493  -1.58182e-11   9.84776e-15      0.337396      0.168698     -0.168698      0.338418
      0.131539       0.18108     0.0204321     0.0373799     0.0727174    0.00181473  -1.00987e-11   1.26791e-15      0.331563      0.165781     -0.165781      0.332514
      0.132832       0.18285     0.0207361     0.0377436     0.0733284    0.00185456  -9.58836e-13   9.23472e-15      0.337341       0.16867      -0.16867      0.338291
      0.130993      0.180333     0.0202973     0.0372332     0.0724629    0.00179829  -2.59014e-12   1.65369e-14      0.329015      0.164508     -0.164508      0.330093
      0.132953      0.183017     0.0207459     0.0377775     0.0733939    0.00185753   4.88147e-13   2.51715e-14      0.337827      0.168913     -0.168913      0.338956
      0.134904      0.185689     0.0212057      0.038318     0.0742873    0.00191795  -3.30843e-12   2.06389e-14      0.346453      0.173226     -0.173226      0.347729
      0.134109      0.184601     0.0210183     0.0380946     0.0739117    0.00189296  -2.60978e-12   1.74576e-14      0.342918      0.171459     -0.171459      0.344109
