            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.242344      0.334652     0.0331647     0.0660981       0.10804    0.00546885             0             0      0.672364      0.336182     -0.336182      0.948969
      0.207527      0.286804     0.0295717     0.0548097      0.095693     0.0038786  -1.34953e-10  -1.67437e-13        0.5829       0.29145      -0.29145      0.668325
      0.200423      0.275546     0.0343724     0.0568473     0.0963313    0.00441308  -5.30474e-11   5.88507e-14      0.633592      0.316796     -0.316796      0.650115
      0.172236      0.236433     0.0301399     0.0502135       0.08981    0.00342981  -4.51363e-11   1.04986e-13      0.504782      0.252391     -0.252391      0.520044
      0.145528      0.199912     0.0243676     0.0424091     0.0811318    0.00239231  -2.29948e-10  -1.73437e-13      0.387449      0.193724     -0.193724      0.410444
      0.133921      0.184036      0.021885     0.0390046     0.0751615    0.00200031   2.85881e-11   2.72053e-14      0.345298      0.172649     -0.172649       0.34933
      0.139039      0.190994     0.0231808     0.0405927     0.0773879    0.00218511  -9.84406e-12   2.80734e-14      0.369165      0.184583     -0.184583      0.370693
      0.133878      0.183964      0.021856     0.0390663     0.0750847    0.00200386   4.67926e-11   6.72627e-14      0.345729      0.172865     -0.172865       0.34706
      0.131109      0.180178     0.0211939     0.0382886     0.0737951     0.0019152   4.47294e-11   4.02874e-14      0.333592      0.166796     -0.166796      0.334301
      0.128393       0.17647     0.0205313     0.0375022     0.0724993    0.00182795   4.76528e-11   3.93278e-14      0.321456      0.160728     -0.160728      0.322142
      0.129396      0.177835     0.0207814     0.0378075     0.0729768    0.00186128   4.02061e-11    4.7042e-14      0.325977      0.162989     -0.162989      0.326439
      0.128387      0.176458     0.0205373     0.0375121     0.0724872    0.00182894   3.11859e-11   3.49412e-14       0.32153      0.160765     -0.160765      0.321948
      0.128755       0.17696     0.0206273     0.0376218     0.0726634    0.00184089    3.0675e-11   3.32365e-14      0.323166      0.161583     -0.161583      0.323547
      0.129122      0.177461     0.0207158     0.0377304     0.0728406    0.00185273   3.20145e-11   3.26995e-14      0.324802      0.162401     -0.162401      0.325156
      0.128753      0.176958     0.0206264     0.0376222     0.0726635    0.00184088   3.28662e-11   2.89751e-14      0.323183      0.161592     -0.161592      0.323528
      0.129122      0.177461     0.0207157     0.0377309     0.0728401    0.00185276   3.42592e-11   3.08127e-14      0.324808      0.162404     -0.162404      0.325149
      0.128929      0.177197      0.020669     0.0376741     0.0727469    0.00184654   3.50654e-11   3.04452e-14      0.323956      0.161978     -0.161978      0.324295
      0.128736      0.176934     0.0206223     0.0376174     0.0726541    0.00184035   3.36918e-11   3.09821e-14      0.323106      0.161553     -0.161553      0.323444
      0.128929      0.177198     0.0206691     0.0376743     0.0727468    0.00184656   3.39071e-11   2.91481e-14      0.323958      0.161979     -0.161979      0.324294
      0.128736      0.176934     0.0206224     0.0376175     0.0726539    0.00184036   3.12799e-11    2.9161e-14      0.323107      0.161554     -0.161554      0.323443
       0.12893      0.177198     0.0206692     0.0376744     0.0727465    0.00184658   3.17055e-11   2.93395e-14      0.323958      0.161979     -0.161979      0.324293
