            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.099131      0.137024     0.0109984     0.0275215     0.0446003   0.000878396             0             0      0.157438     0.0787191    -0.0787191      0.181447
     0.0897524      0.123909     0.0112306     0.0251278     0.0464518   0.000757532  -2.30088e-12   3.42123e-15       0.14305     0.0715248    -0.0715248      0.161271
      0.101051      0.139301     0.0137544     0.0287823      0.056093     0.0010176  -4.43829e-11  -4.71383e-15      0.200432      0.100216     -0.100216      0.208413
      0.113991      0.157038     0.0164162       0.03252     0.0639904    0.00132705   1.62971e-11  -1.01611e-13       0.25276       0.12638      -0.12638      0.259393
      0.126441      0.174102      0.019145     0.0360063     0.0707721    0.00166298    2.4728e-11  -6.14881e-14       0.30675      0.153375     -0.153375      0.312291
      0.113938      0.156989     0.0163439     0.0324189      0.063829    0.00131811   1.20495e-11             0      0.251845      0.125922     -0.125922      0.258429
      0.120178      0.165528     0.0177585      0.034212     0.0671239    0.00148583   2.97118e-11  -8.93678e-15      0.279793      0.139896     -0.139896      0.283016
      0.126505      0.174188     0.0192238      0.035999     0.0704332    0.00166548   4.85314e-11   2.34686e-14      0.308487      0.154244     -0.154244      0.310587
      0.133004       0.18309     0.0207094      0.037807     0.0735758    0.00185825  -3.80155e-12  -2.51015e-14      0.337047      0.168523     -0.168523      0.339125
      0.126469      0.174142      0.019182      0.035992     0.0704307    0.00166337   1.44658e-11  -2.16048e-15      0.308151      0.154076     -0.154076      0.310313
      0.132912      0.182958     0.0207308     0.0377894     0.0735425    0.00185781   1.53809e-11  -7.66289e-14       0.33728       0.16864      -0.16864      0.339058
      0.126471      0.174147      0.019225      0.035956      0.070343    0.00166244  -4.94986e-11  -1.05095e-14      0.308246      0.154123     -0.154123       0.31042
      0.129217      0.177901     0.0198933     0.0367344     0.0716362    0.00174516  -3.43897e-11  -3.43901e-14      0.321351      0.160676     -0.160676       0.32239
      0.132052      0.181782     0.0205701     0.0375174      0.072943    0.00183068  -2.43389e-11   -2.1041e-14      0.333852      0.166926     -0.166926      0.335023
      0.133336      0.183542     0.0208663     0.0378711     0.0735225    0.00186962  -1.95564e-11  -1.69186e-14      0.339537      0.169768     -0.169768      0.340692
      0.132061      0.181795     0.0205618     0.0375216      0.072915    0.00183066  -1.80837e-11  -1.19305e-14       0.33378       0.16689      -0.16689      0.335087
      0.133345      0.183553     0.0208588     0.0378803     0.0735281       0.00187  -1.18426e-11  -2.16164e-14      0.339511      0.169755     -0.169755      0.340802
       0.13524      0.186142      0.021314     0.0384222     0.0744322    0.00193055  -7.59763e-12  -1.61474e-14      0.348268      0.174134     -0.174134      0.349467
      0.133317      0.183512     0.0208592     0.0378808     0.0735339    0.00187006  -9.88189e-12   8.93268e-15      0.339616      0.169808     -0.169808      0.340815
      0.135246      0.186153     0.0213085     0.0384196     0.0744378    0.00193012   -8.9503e-12  -1.20124e-14      0.348235      0.174118     -0.174118      0.349483
      0.134234      0.184768     0.0210703     0.0381347     0.0739598    0.00189821  -9.48719e-12  -2.77666e-15      0.343709      0.171854     -0.171854      0.344879
