            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.395755      0.517952       0.12674      0.170018      0.200597     0.0449692             0             0       1.94688      0.973441     -0.973441       2.29987
      0.377131      0.497037      0.124868      0.147707      0.181013     0.0374092  -8.15357e-11   8.65601e-13       2.04246       1.02123      -1.02123       2.23363
      0.345539       0.45416       0.11474      0.139166      0.170642     0.0325325   7.95102e-11  -1.12709e-12       1.84896      0.924478     -0.924478       2.00314
      0.331516      0.439065      0.105203      0.126329       0.15809     0.0270267   5.25812e-11  -9.82091e-13       1.76164      0.880818     -0.880818       1.81576
      0.313115      0.416351     0.0973718      0.115119      0.148637     0.0227336   2.30572e-11   -1.0499e-12       1.60561      0.802805     -0.802805       1.67107
      0.294457       0.39455      0.085759      0.101909      0.139014       0.01774  -5.90497e-11   5.60479e-14       1.44025      0.720123     -0.720123       1.48713
      0.275202      0.370198     0.0759585     0.0930349      0.132389     0.0144252  -3.56575e-11   2.08606e-13       1.28044      0.640219     -0.640219       1.31896
      0.273084      0.367401     0.0746782      0.092676      0.131372     0.0141657   5.37048e-11  -6.86065e-14       1.26049      0.630243     -0.630243       1.26362
      0.273656      0.368153     0.0748527     0.0929327      0.131593     0.0142394  -1.70602e-12   2.07625e-14        1.2671      0.633552     -0.633552       1.26717
      0.273665      0.368165      0.074853     0.0929343      0.131594     0.0142398  -1.11534e-13             0       1.26719      0.633594     -0.633594       1.26719
      0.273665      0.368165      0.074853     0.0929343      0.131594     0.0142398             0             0       1.26719      0.633594     -0.633594       1.26719
      0.273665      0.368165      0.074853     0.0929343      0.131594     0.0142398             0             0       1.26719      0.633594     -0.633594       1.26719
