            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.099131      0.137024     0.0109984     0.0275215     0.0446003   0.000878396             0             0      0.157438     0.0787191    -0.0787191      0.181447
     0.0897524      0.123909     0.0112306     0.0251278     0.0464518   0.000757532   1.23699e-11   -2.8197e-14       0.14305     0.0715248    -0.0715248      0.161271
      0.101051      0.139301     0.0137544     0.0287823      0.056093     0.0010176  -7.73751e-11  -1.92518e-14      0.200432      0.100216     -0.100216      0.208413
      0.113991      0.157038     0.0164162       0.03252     0.0639904    0.00132705   -3.7203e-11   6.66818e-14       0.25276       0.12638      -0.12638      0.259393
      0.126441      0.174102      0.019145     0.0360063     0.0707721    0.00166298  -7.64558e-12   1.73602e-14       0.30675      0.153375     -0.153375      0.312291
      0.114004      0.157084     0.0163461     0.0324203     0.0638146    0.00131827  -3.19996e-12  -2.90818e-14      0.251861      0.125931     -0.125931       0.25883
      0.120196      0.165553     0.0177657     0.0342164     0.0671229    0.00148638   1.24828e-11   2.46135e-14       0.28008       0.14004      -0.14004      0.283268
      0.126575      0.174287     0.0192246     0.0360133     0.0704566    0.00166654  -5.51208e-11  -4.27196e-14      0.308481       0.15424      -0.15424      0.310867
      0.133049      0.183155     0.0207281     0.0377945      0.073531    0.00185808  -5.78885e-11  -3.82876e-14      0.336915      0.168457     -0.168457      0.339527
      0.130248       0.17932     0.0200799     0.0370203     0.0721312    0.00177371  -3.01865e-11  -4.34448e-15      0.324983      0.162491     -0.162491      0.326596
      0.132954      0.183024      0.020707     0.0377761     0.0734188    0.00185581  -2.30995e-11  -1.76497e-14      0.336992      0.168496     -0.168496      0.338491
      0.130561      0.179748     0.0201509      0.037107     0.0722771    0.00178299   -3.8782e-11  -3.02437e-14      0.326387      0.163193     -0.163193      0.327861
      0.130399      0.179527     0.0201247     0.0370554      0.072198    0.00177811  -6.01414e-11  -1.35295e-15       0.32542       0.16271      -0.16271      0.327237
      0.131193      0.180616      0.020317     0.0372618     0.0725612    0.00180122  -7.39315e-11   -1.9549e-14      0.329029      0.164514     -0.164514      0.330815
      0.132607      0.182555     0.0206509      0.037635      0.073205    0.00184285  -4.76654e-11   -9.5894e-15      0.335513      0.167757     -0.167757      0.337152
      0.134415      0.185034     0.0210782     0.0381183     0.0740193    0.00189729  -5.73591e-11   1.28099e-14       0.34382       0.17191      -0.17191      0.345304
      0.136511      0.187905     0.0215795     0.0386836     0.0749456     0.0019621  -5.15507e-11  -4.42269e-15      0.353452      0.176726     -0.176726      0.354847
      0.138807      0.191051     0.0221305     0.0393006       0.07594     0.0020343  -4.30379e-11  -1.57861e-14      0.364034      0.182017     -0.182017      0.365342
      0.141195      0.194322     0.0227109      0.039939     0.0769429    0.00211091   -6.1591e-11             0      0.375102      0.187551     -0.187551       0.37634
      0.143661      0.197697     0.0233223     0.0406021     0.0779582    0.00219246  -5.82114e-11   4.70873e-14      0.386554      0.193277     -0.193277      0.387756
      0.146267      0.201264     0.0239757     0.0413053     0.0790045    0.00228097  -3.40822e-11   2.40534e-14       0.39873      0.199365     -0.199365      0.399937
