            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.242344      0.334652     0.0331647     0.0660981       0.10804    0.00546885             0             0      0.672364      0.336182     -0.336182      0.948969
      0.206901      0.285909      0.029536     0.0547684     0.0956804    0.00387195   1.20183e-11   5.32923e-13      0.582546      0.291273     -0.291273      0.666014
      0.200889       0.27619     0.0344732       0.05695       0.09628     0.0044317   5.26524e-11  -4.83674e-14      0.630578      0.315289     -0.315289      0.652102
      0.174104      0.238925     0.0308666      0.050857     0.0899764    0.00353918   -5.2288e-11  -5.99232e-13      0.515456      0.257728     -0.257728      0.531363
      0.147738      0.202902     0.0249601     0.0431353     0.0818629    0.00248366  -1.53515e-10   3.38036e-14      0.396764      0.198382     -0.198382      0.419821
      0.140834      0.193448     0.0235459     0.0411297     0.0780827    0.00224607   7.49602e-12  -1.86324e-14      0.374925      0.187462     -0.187462      0.379915
        0.1331      0.182913     0.0215975     0.0388289     0.0747293    0.00197414   2.00841e-11  -3.10111e-14      0.341206      0.170603     -0.170603      0.344028
      0.129497       0.17799     0.0207444     0.0377932     0.0729673    0.00185866   3.28621e-12  -2.60646e-14      0.325784      0.162892     -0.162892       0.32701
      0.126681      0.174146      0.020076     0.0369636     0.0716116    0.00176935  -7.75713e-12  -1.42631e-14      0.312995      0.156498     -0.156498      0.314503
      0.126358      0.173706     0.0200019     0.0368597     0.0714124    0.00175871  -9.15487e-12    1.6457e-15      0.311705      0.155853     -0.155853      0.312722
      0.126602      0.174045     0.0200601     0.0369061     0.0715097    0.00176447  -2.92685e-11   1.04799e-14      0.312733      0.156367     -0.156367      0.313754
      0.127278      0.174972     0.0202262     0.0370828     0.0718298    0.00178423  -1.26112e-11   1.15313e-14      0.315922      0.157961     -0.157961      0.316751
      0.128796      0.177045     0.0206087       0.03751     0.0725623    0.00183172   3.78731e-13   2.35348e-14      0.322678      0.161339     -0.161339      0.323488
      0.130912      0.179937     0.0211332     0.0381061     0.0735397    0.00189869  -1.41988e-11   3.54512e-14      0.332153      0.166077     -0.166077      0.332783
      0.133811      0.183898     0.0218478     0.0389234     0.0748478    0.00199236  -2.82801e-11   2.05482e-14       0.34502       0.17251      -0.17251      0.345725
      0.136855      0.188054     0.0226096     0.0397886     0.0761716    0.00209433  -3.86245e-11   1.77521e-14      0.358678      0.179339     -0.179339      0.359329
      0.139963      0.192295        0.0234      0.040671     0.0774765    0.00220169  -2.17294e-11   3.09178e-14      0.372722      0.186361     -0.186361      0.373386
      0.143086      0.196555     0.0242054     0.0415592     0.0787499    0.00231306  -2.21701e-11   4.53299e-14      0.387014      0.193507     -0.193507      0.387649
      0.146221       0.20083     0.0250251     0.0424536      0.079991    0.00242856  -1.16951e-11  -2.80465e-14      0.401562      0.200781     -0.200781      0.402162
      0.143074       0.19654     0.0241995     0.0415495     0.0787322    0.00231198  -1.98969e-11   -4.1715e-14      0.387013      0.193507     -0.193507       0.38759
       0.14441      0.198361     0.0245528     0.0419368     0.0792542    0.00236153  -1.00204e-11  -1.38392e-14      0.393313      0.196657     -0.196657       0.39363
