2257,2671,2052,2117,2107,2156,2116,2035,2026,2072
2316,2450,2934,2172,2232,2243,2296,2226,2218,2200
1998,2124,2578,2102,2254,2261,2322,2365,2302,2258
1490,2145,2246,1742,2066,2198,2258,2325,2425,2356
1524,2159,2284,2338,1484,1830,2206,2306,2359,2358
1579,1640,2309,2417,2443,1559,1564,2204,2312,2363
1884,1620,1626,2371,2495,2526,1617,1658,1948,2256
1870,1906,1968,2257,2443,2536,2634,1668,1704,1970
1849,1929,1958,1941,2661,2123,2259,2524,1707,1747
1836,1875,1916,1970,2254,2138,2472,2267,2390,1742
