            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.199504      0.209898      0.136178      0.130394      0.107484     0.0355469             0    -0.0145907      0.234719       0.11736      -0.11736      0.560504
      0.197028      0.205906      0.135085      0.130365      0.127992     0.0352429   -4.8236e-10   -0.00548264      0.122677     0.0613383    -0.0613383       1.37901
      0.215567      0.228269      0.141537      0.144218      0.171287     0.0408315  -2.12886e-10   -0.00207988      0.109573     0.0547867    -0.0547867       3.08142
      0.224031      0.250092      0.131431      0.143387      0.185212     0.0378339   -5.8041e-11  -0.000189897     0.0525123     0.0262562    -0.0262561       3.92945
      0.234399      0.271753      0.122959      0.144629       0.20012     0.0360363  -1.92527e-10   0.000938537     0.0651686     0.0325843    -0.0325843       4.46021
      0.242053      0.285335      0.113513      0.151254      0.203339     0.0357631   1.99419e-10    0.00824865     0.0102511    0.00512556   -0.00512556       4.87507
      0.227157      0.273061      0.098527       0.13759      0.182834     0.0286386   1.80579e-10    0.00551468      0.183745     0.0918726    -0.0918726        4.1332
      0.206407      0.250972     0.0795084       0.12609      0.177762     0.0222204   2.81363e-11     0.0129634      0.150281     0.0751404    -0.0751405        3.3044
      0.177773      0.218234     0.0734232      0.100943      0.151134     0.0155804   -4.7311e-10     0.0120592      0.127067     0.0635335    -0.0635336       2.51933
       0.13396      0.176506     0.0379052     0.0574402     0.0828199    0.00473618  -1.28241e-09     0.0196377      0.183989     0.0919945    -0.0919945        1.1731
      0.111367      0.154304     0.0155019     0.0274814     0.0375867   0.000995537   3.40801e-10    0.00903006      0.213364      0.106682     -0.106682      0.472041
       0.07169     0.0998753    0.00738588     0.0157889     0.0161156   0.000303841   6.00009e-11    0.00704378      0.197821     0.0989105    -0.0989105       0.11436
     0.0382241     0.0515594    0.00340645     0.0158806    0.00277029   0.000263799  -2.58859e-12    0.00984532      0.126367     0.0631836    -0.0631836     0.0164065
     0.0260021     0.0364518    0.00320427    0.00363489    0.00072289   2.34798e-05   6.02082e-10  -0.000134112     0.0635483     0.0317742    -0.0317742    0.00635596
     0.0207434     0.0292159    0.00175516    0.00198198   7.79124e-05   7.00883e-06   7.39734e-10  -6.30179e-05    0.00177899   0.000889502  -0.000889484      0.003714
     0.0231985     0.0327857   0.000795823   0.000899868    5.6226e-07    1.4431e-06  -1.36182e-10  -2.80451e-05    0.00277796    0.00138899   -0.00138898    0.00288796
     0.0242593     0.0342857   0.000808639   0.000929287   2.13801e-06   1.51747e-06  -3.47591e-10  -0.000112651    0.00343813    0.00171908   -0.00171905    0.00303798
     0.0266369     0.0376448   0.000782398    0.00113942   1.91389e-06   1.91042e-06  -1.51646e-10  -0.000458429    0.00395034    0.00197518   -0.00197516    0.00363023
     0.0292651     0.0413668   0.000780406    0.00103443   8.10323e-06   1.67908e-06  -5.65366e-11  -0.000341605    0.00460099     0.0023005   -0.00230049    0.00435163
     0.0250142      0.035359   0.000710272   0.000810564   3.45002e-06    1.1615e-06   3.71256e-11  -5.73239e-05    0.00281928    0.00140964   -0.00140964     0.0031907
     0.0260743      0.036856   0.000691805   0.000947716   1.03289e-06   1.37676e-06   1.56719e-12  -0.000338645    0.00299484    0.00149742   -0.00149742    0.00345628
