Model: m=17 (J,K,L)=(1,1,3)
Bifurcation Point: Re_min ≈ 173.2420
Energy Core Size (99%): 12
Nonlinear Closure on Core: 0.7266
Lead Eigenvalue (at Re=200): 0.093958 + -0.163803i

Top 20 Sensitivity Triads:
 1) ( 13,  3,  9) S=3.8155e+14 ijkl=[[3, 1, 0, 2], [1, 0, 1, 0], [5, -1, -1, 0]]
 2) (  8,  3, 17) S=2.7474e+14 ijkl=[[3, -1, 0, 3], [1, 0, 1, 0], [6, 1, -1, 3]]
 3) ( 12,  3,  9) S=2.0653e+14 ijkl=[[3, 1, 0, 0], [1, 0, 1, 0], [5, -1, -1, 0]]
 4) (  8,  3, 14) S=1.9620e+14 ijkl=[[3, -1, 0, 3], [1, 0, 1, 0], [5, 1, -1, 1]]
 5) (  8,  1, 13) S=1.1336e+14 ijkl=[[3, -1, 0, 3], [1, 0, 0, 1], [3, 1, 0, 2]]
 6) (  8,  3, 16) S=1.0982e+14 ijkl=[[3, -1, 0, 3], [1, 0, 1, 0], [6, 1, -1, 1]]
 7) (  8,  3, 15) S=1.0342e+14 ijkl=[[3, -1, 0, 3], [1, 0, 1, 0], [5, 1, -1, 3]]
 8) (  8,  1, 12) S=1.0080e+14 ijkl=[[3, -1, 0, 3], [1, 0, 0, 1], [3, 1, 0, 0]]
 9) (  8,  4, 17) S=1.0049e+14 ijkl=[[3, -1, 0, 3], [1, 0, 1, 2], [6, 1, -1, 3]]
10) (  7,  3, 17) S=9.5984e+13 ijkl=[[3, -1, 0, 1], [1, 0, 1, 0], [6, 1, -1, 3]]
11) ( 13,  3, 10) S=9.4512e+13 ijkl=[[3, 1, 0, 2], [1, 0, 1, 0], [5, -1, -1, 2]]
12) ( 15,  3,  8) S=8.9527e+13 ijkl=[[5, 1, -1, 3], [1, 0, 1, 0], [3, -1, 0, 3]]
13) ( 15,  8,  3) S=8.9527e+13 ijkl=[[5, 1, -1, 3], [3, -1, 0, 3], [1, 0, 1, 0]]
14) ( 13,  4,  9) S=8.1990e+13 ijkl=[[3, 1, 0, 2], [1, 0, 1, 2], [5, -1, -1, 0]]
15) ( 13,  1,  8) S=7.8300e+13 ijkl=[[3, 1, 0, 2], [1, 0, 0, 1], [3, -1, 0, 3]]
16) (  7,  3, 14) S=6.8545e+13 ijkl=[[3, -1, 0, 1], [1, 0, 1, 0], [5, 1, -1, 1]]
17) (  6, 13, 17) S=6.6123e+13 ijkl=[[2, 0, 1, 3], [3, 1, 0, 2], [6, 1, -1, 3]]
18) (  6, 17, 13) S=6.6123e+13 ijkl=[[2, 0, 1, 3], [6, 1, -1, 3], [3, 1, 0, 2]]
19) ( 11,  3, 13) S=6.4819e+13 ijkl=[[6, -1, -1, 2], [1, 0, 1, 0], [3, 1, 0, 2]]
20) ( 11, 13,  3) S=6.4819e+13 ijkl=[[6, -1, -1, 2], [3, 1, 0, 2], [1, 0, 1, 0]]
