Model: m=59 (J,K,L)=(1,3,5)
Bifurcation Point: Re_min ≈ 153.7623
Energy Core Size (99%): 29
Nonlinear Closure on Core: 0.7323
Lead Eigenvalue (at Re=200): 0.061860 + 0.000000i

Top 20 Sensitivity Triads:
 1) ( 42,  4, 24) S=3.4693e-01 ijkl=[[3, 1, 0, 4], [1, 0, 1, 0], [5, -1, -1, 0]]
 2) ( 40,  4, 24) S=1.9350e-01 ijkl=[[3, 1, 0, 0], [1, 0, 1, 0], [5, -1, -1, 0]]
 3) ( 42,  4, 25) S=1.3720e-01 ijkl=[[3, 1, 0, 4], [1, 0, 1, 0], [5, -1, -1, 2]]
 4) ( 23,  4, 43) S=1.1991e-01 ijkl=[[3, -1, 0, 5], [1, 0, 1, 0], [5, 1, -1, 1]]
 5) ( 42,  4, 26) S=8.3369e-02 ijkl=[[3, 1, 0, 4], [1, 0, 1, 0], [5, -1, -1, 4]]
 6) ( 23,  4, 45) S=7.8963e-02 ijkl=[[3, -1, 0, 5], [1, 0, 1, 0], [5, 1, -1, 5]]
 7) ( 40,  4, 25) S=7.6527e-02 ijkl=[[3, 1, 0, 0], [1, 0, 1, 0], [5, -1, -1, 2]]
 8) ( 53,  4, 24) S=7.4076e-02 ijkl=[[6, 1, 2, 4], [1, 0, 1, 0], [5, -1, -1, 0]]
 9) ( 53, 24,  4) S=7.4076e-02 ijkl=[[6, 1, 2, 4], [5, -1, -1, 0], [1, 0, 1, 0]]
10) ( 23,  4, 47) S=7.3291e-02 ijkl=[[3, -1, 0, 5], [1, 0, 1, 0], [6, 1, -1, 3]]
11) ( 45,  4, 22) S=6.9636e-02 ijkl=[[5, 1, -1, 5], [1, 0, 1, 0], [3, -1, 0, 3]]
12) ( 45, 22,  4) S=6.9636e-02 ijkl=[[5, 1, -1, 5], [3, -1, 0, 3], [1, 0, 1, 0]]
13) ( 23,  4, 46) S=6.3975e-02 ijkl=[[3, -1, 0, 5], [1, 0, 1, 0], [6, 1, -1, 1]]
14) ( 23,  1, 40) S=5.9317e-02 ijkl=[[3, -1, 0, 5], [1, 0, 0, 1], [3, 1, 0, 0]]
15) ( 24,  4, 40) S=5.8900e-02 ijkl=[[5, -1, -1, 0], [1, 0, 1, 0], [3, 1, 0, 0]]
16) ( 24, 40,  4) S=5.8900e-02 ijkl=[[5, -1, -1, 0], [3, 1, 0, 0], [1, 0, 1, 0]]
17) ( 27,  4, 40) S=5.2281e-02 ijkl=[[6, -1, -1, 2], [1, 0, 1, 0], [3, 1, 0, 0]]
18) ( 27, 40,  4) S=5.2281e-02 ijkl=[[6, -1, -1, 2], [3, 1, 0, 0], [1, 0, 1, 0]]
19) ( 47,  4, 22) S=5.0621e-02 ijkl=[[6, 1, -1, 3], [1, 0, 1, 0], [3, -1, 0, 3]]
20) ( 47, 22,  4) S=5.0621e-02 ijkl=[[6, 1, -1, 3], [3, -1, 0, 3], [1, 0, 1, 0]]
