 1) (i,j,k)=(  1,  7,  4) flux= 3.963079e-04  ijkl(i,j,k)=[[1, 0, 0, 1], [2, 0, 1, 1], [1, 0, 1, 0]]
 2) (i,j,k)=(  4,  7,  1) flux=-3.963079e-04  ijkl(i,j,k)=[[1, 0, 1, 0], [2, 0, 1, 1], [1, 0, 0, 1]]
 3) (i,j,k)=(  1,  8,  4) flux= 1.188726e-04  ijkl(i,j,k)=[[1, 0, 0, 1], [2, 0, 1, 3], [1, 0, 1, 0]]
 4) (i,j,k)=(  4,  8,  1) flux=-1.188726e-04  ijkl(i,j,k)=[[1, 0, 1, 0], [2, 0, 1, 3], [1, 0, 0, 1]]
 5) (i,j,k)=(  4,  7,  2) flux=-1.119507e-04  ijkl(i,j,k)=[[1, 0, 1, 0], [2, 0, 1, 1], [1, 0, 0, 3]]
 6) (i,j,k)=(  2,  7,  4) flux= 1.119507e-04  ijkl(i,j,k)=[[1, 0, 0, 3], [2, 0, 1, 1], [1, 0, 1, 0]]
 7) (i,j,k)=(  4, 40, 24) flux=-1.057003e-04  ijkl(i,j,k)=[[1, 0, 1, 0], [3, 1, 0, 0], [5, -1, -1, 0]]
 8) (i,j,k)=( 24, 40,  4) flux= 1.057003e-04  ijkl(i,j,k)=[[5, -1, -1, 0], [3, 1, 0, 0], [1, 0, 1, 0]]
 9) (i,j,k)=(  4,  8,  2) flux=-4.952070e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [2, 0, 1, 3], [1, 0, 0, 3]]
10) (i,j,k)=(  2,  8,  4) flux= 4.952070e-05  ijkl(i,j,k)=[[1, 0, 0, 3], [2, 0, 1, 3], [1, 0, 1, 0]]
11) (i,j,k)=(  4, 42, 25) flux=-4.058124e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, 1, 0, 4], [5, -1, -1, 2]]
12) (i,j,k)=( 25, 42,  4) flux= 4.058124e-05  ijkl(i,j,k)=[[5, -1, -1, 2], [3, 1, 0, 4], [1, 0, 1, 0]]
13) (i,j,k)=( 24,  1, 43) flux= 3.865526e-05  ijkl(i,j,k)=[[5, -1, -1, 0], [1, 0, 0, 1], [5, 1, -1, 1]]
14) (i,j,k)=( 43,  1, 24) flux=-3.865526e-05  ijkl(i,j,k)=[[5, 1, -1, 1], [1, 0, 0, 1], [5, -1, -1, 0]]
15) (i,j,k)=( 43, 22,  4) flux= 3.611064e-05  ijkl(i,j,k)=[[5, 1, -1, 1], [3, -1, 0, 3], [1, 0, 1, 0]]
16) (i,j,k)=(  4, 22, 43) flux=-3.611064e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, -1, 0, 3], [5, 1, -1, 1]]
17) (i,j,k)=(  4, 42, 28) flux=-3.596789e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, 1, 0, 4], [6, -1, -1, 4]]
18) (i,j,k)=( 28, 42,  4) flux= 3.596789e-05  ijkl(i,j,k)=[[6, -1, -1, 4], [3, 1, 0, 4], [1, 0, 1, 0]]
19) (i,j,k)=(  4, 22, 48) flux=-3.532449e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, -1, 0, 3], [6, 1, -1, 5]]
20) (i,j,k)=( 48, 22,  4) flux= 3.532449e-05  ijkl(i,j,k)=[[6, 1, -1, 5], [3, -1, 0, 3], [1, 0, 1, 0]]
21) (i,j,k)=(  4, 23, 48) flux=-3.287026e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, -1, 0, 5], [6, 1, -1, 5]]
22) (i,j,k)=( 48, 23,  4) flux= 3.287026e-05  ijkl(i,j,k)=[[6, 1, -1, 5], [3, -1, 0, 5], [1, 0, 1, 0]]
23) (i,j,k)=(  4, 42, 24) flux=-3.209556e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, 1, 0, 4], [5, -1, -1, 0]]
24) (i,j,k)=( 24, 42,  4) flux= 3.209556e-05  ijkl(i,j,k)=[[5, -1, -1, 0], [3, 1, 0, 4], [1, 0, 1, 0]]
25) (i,j,k)=(  1, 46, 24) flux= 2.960506e-05  ijkl(i,j,k)=[[1, 0, 0, 1], [6, 1, -1, 1], [5, -1, -1, 0]]
26) (i,j,k)=( 24, 46,  1) flux=-2.960506e-05  ijkl(i,j,k)=[[5, -1, -1, 0], [6, 1, -1, 1], [1, 0, 0, 1]]
27) (i,j,k)=(  4, 41, 24) flux=-2.761919e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, 1, 0, 2], [5, -1, -1, 0]]
28) (i,j,k)=( 24, 41,  4) flux= 2.761919e-05  ijkl(i,j,k)=[[5, -1, -1, 0], [3, 1, 0, 2], [1, 0, 1, 0]]
29) (i,j,k)=(  4, 40, 25) flux=-2.757778e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, 1, 0, 0], [5, -1, -1, 2]]
30) (i,j,k)=( 25, 40,  4) flux= 2.757778e-05  ijkl(i,j,k)=[[5, -1, -1, 2], [3, 1, 0, 0], [1, 0, 1, 0]]
31) (i,j,k)=(  4, 21, 43) flux=-2.685565e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, -1, 0, 1], [5, 1, -1, 1]]
32) (i,j,k)=( 43, 21,  4) flux= 2.685565e-05  ijkl(i,j,k)=[[5, 1, -1, 1], [3, -1, 0, 1], [1, 0, 1, 0]]
33) (i,j,k)=( 24,  4, 40) flux=-2.642507e-05  ijkl(i,j,k)=[[5, -1, -1, 0], [1, 0, 1, 0], [3, 1, 0, 0]]
34) (i,j,k)=( 40,  4, 24) flux= 2.642507e-05  ijkl(i,j,k)=[[3, 1, 0, 0], [1, 0, 1, 0], [5, -1, -1, 0]]
35) (i,j,k)=(  4, 22, 44) flux=-2.495582e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, -1, 0, 3], [5, 1, -1, 3]]
36) (i,j,k)=( 44, 22,  4) flux= 2.495582e-05  ijkl(i,j,k)=[[5, 1, -1, 3], [3, -1, 0, 3], [1, 0, 1, 0]]
37) (i,j,k)=( 25, 41,  4) flux= 2.358326e-05  ijkl(i,j,k)=[[5, -1, -1, 2], [3, 1, 0, 2], [1, 0, 1, 0]]
38) (i,j,k)=(  4, 41, 25) flux=-2.358326e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [3, 1, 0, 2], [5, -1, -1, 2]]
39) (i,j,k)=( 24, 48,  1) flux= 2.352853e-05  ijkl(i,j,k)=[[5, -1, -1, 0], [6, 1, -1, 5], [1, 0, 0, 1]]
40) (i,j,k)=(  1, 48, 24) flux=-2.352853e-05  ijkl(i,j,k)=[[1, 0, 0, 1], [6, 1, -1, 5], [5, -1, -1, 0]]
41) (i,j,k)=( 34,  4, 48) flux= 2.120659e-05  ijkl(i,j,k)=[[6, -1, 2, 5], [1, 0, 1, 0], [6, 1, -1, 5]]
42) (i,j,k)=( 48,  4, 34) flux=-2.120659e-05  ijkl(i,j,k)=[[6, 1, -1, 5], [1, 0, 1, 0], [6, -1, 2, 5]]
43) (i,j,k)=(  4,  9,  1) flux=-2.112925e-05  ijkl(i,j,k)=[[1, 0, 1, 0], [2, 0, 1, 5], [1, 0, 0, 1]]
44) (i,j,k)=(  1,  9,  4) flux= 2.112925e-05  ijkl(i,j,k)=[[1, 0, 0, 1], [2, 0, 1, 5], [1, 0, 1, 0]]
45) (i,j,k)=( 24,  1, 44) flux= 1.933757e-05  ijkl(i,j,k)=[[5, -1, -1, 0], [1, 0, 0, 1], [5, 1, -1, 3]]
46) (i,j,k)=( 44,  1, 24) flux=-1.933757e-05  ijkl(i,j,k)=[[5, 1, -1, 3], [1, 0, 0, 1], [5, -1, -1, 0]]
47) (i,j,k)=( 24,  4, 49) flux=-1.894912e-05  ijkl(i,j,k)=[[5, -1, -1, 0], [1, 0, 1, 0], [5, 1, 2, 0]]
48) (i,j,k)=( 49,  4, 24) flux= 1.894912e-05  ijkl(i,j,k)=[[5, 1, 2, 0], [1, 0, 1, 0], [5, -1, -1, 0]]
49) (i,j,k)=( 30,  4, 43) flux= 1.771439e-05  ijkl(i,j,k)=[[5, -1, 2, 3], [1, 0, 1, 0], [5, 1, -1, 1]]
50) (i,j,k)=( 43,  4, 30) flux=-1.771439e-05  ijkl(i,j,k)=[[5, 1, -1, 1], [1, 0, 1, 0], [5, -1, 2, 3]]
