 1) (i,j,k)=( 42,  4, 24) S=-3.469266e-01 +  0.000000e+00i  ijkl(i,j,k)=[[3, 1, 0, 4], [1, 0, 1, 0], [5, -1, -1, 0]]
 2) (i,j,k)=( 40,  4, 24) S= 1.935032e-01 +  0.000000e+00i  ijkl(i,j,k)=[[3, 1, 0, 0], [1, 0, 1, 0], [5, -1, -1, 0]]
 3) (i,j,k)=( 42,  4, 25) S=-1.372035e-01 +  0.000000e+00i  ijkl(i,j,k)=[[3, 1, 0, 4], [1, 0, 1, 0], [5, -1, -1, 2]]
 4) (i,j,k)=( 23,  4, 43) S=-1.199088e-01 +  0.000000e+00i  ijkl(i,j,k)=[[3, -1, 0, 5], [1, 0, 1, 0], [5, 1, -1, 1]]
 5) (i,j,k)=( 42,  4, 26) S=-8.336901e-02 +  0.000000e+00i  ijkl(i,j,k)=[[3, 1, 0, 4], [1, 0, 1, 0], [5, -1, -1, 4]]
 6) (i,j,k)=( 23,  4, 45) S= 7.896283e-02 + -0.000000e+00i  ijkl(i,j,k)=[[3, -1, 0, 5], [1, 0, 1, 0], [5, 1, -1, 5]]
 7) (i,j,k)=( 40,  4, 25) S= 7.652721e-02 +  0.000000e+00i  ijkl(i,j,k)=[[3, 1, 0, 0], [1, 0, 1, 0], [5, -1, -1, 2]]
 8) (i,j,k)=( 53,  4, 24) S= 7.407631e-02 +  0.000000e+00i  ijkl(i,j,k)=[[6, 1, 2, 4], [1, 0, 1, 0], [5, -1, -1, 0]]
 9) (i,j,k)=( 53, 24,  4) S= 7.407631e-02 +  0.000000e+00i  ijkl(i,j,k)=[[6, 1, 2, 4], [5, -1, -1, 0], [1, 0, 1, 0]]
10) (i,j,k)=( 23,  4, 47) S= 7.329123e-02 + -0.000000e+00i  ijkl(i,j,k)=[[3, -1, 0, 5], [1, 0, 1, 0], [6, 1, -1, 3]]
11) (i,j,k)=( 45,  4, 22) S= 6.963560e-02 + -0.000000e+00i  ijkl(i,j,k)=[[5, 1, -1, 5], [1, 0, 1, 0], [3, -1, 0, 3]]
12) (i,j,k)=( 45, 22,  4) S= 6.963560e-02 + -0.000000e+00i  ijkl(i,j,k)=[[5, 1, -1, 5], [3, -1, 0, 3], [1, 0, 1, 0]]
13) (i,j,k)=( 23,  4, 46) S= 6.397528e-02 + -0.000000e+00i  ijkl(i,j,k)=[[3, -1, 0, 5], [1, 0, 1, 0], [6, 1, -1, 1]]
14) (i,j,k)=( 23,  1, 40) S=-5.931676e-02 +  0.000000e+00i  ijkl(i,j,k)=[[3, -1, 0, 5], [1, 0, 0, 1], [3, 1, 0, 0]]
15) (i,j,k)=( 24,  4, 40) S= 5.889974e-02 +  0.000000e+00i  ijkl(i,j,k)=[[5, -1, -1, 0], [1, 0, 1, 0], [3, 1, 0, 0]]
16) (i,j,k)=( 24, 40,  4) S= 5.889974e-02 +  0.000000e+00i  ijkl(i,j,k)=[[5, -1, -1, 0], [3, 1, 0, 0], [1, 0, 1, 0]]
17) (i,j,k)=( 27,  4, 40) S= 5.228064e-02 +  0.000000e+00i  ijkl(i,j,k)=[[6, -1, -1, 2], [1, 0, 1, 0], [3, 1, 0, 0]]
18) (i,j,k)=( 27, 40,  4) S= 5.228064e-02 +  0.000000e+00i  ijkl(i,j,k)=[[6, -1, -1, 2], [3, 1, 0, 0], [1, 0, 1, 0]]
