physical_id,case,Re,Lx,Lz,group,symmetry,shear,L2,is_trivial,source,representative_ubest,all_members
re300_lx10_lz6_006,re300_lx10_lz6,300.0,10.0,6.0,A,"<sxyz, txz>",0.327932,0.132183,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_7/dns_findsoln/sol001/ubest.nc,"on:sol001@J2K4L7;ls:sol001@J3K5L9"
re300_lx10_lz6_026,re300_lx10_lz6,300.0,10.0,6.0,A,"<sxyz, txz>",1.75755,0.337678,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_5/dns_findsoln/sol002/ubest.nc,"on:sol002@J2K4L5"
re300_lx10_lz6_006,re300_lx10_lz6,300.0,10.0,6.0,B,"<sxy, sz>",0.327932,0.132183,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol002/ubest.nc,"on:sol002@J2K4L9;ls:sol001@J3K5L9;ls:sol002@J2K4L9"
re300_lx10_lz6_008,re300_lx10_lz6,300.0,10.0,6.0,B,"<sxy, sz>",0.368928,0.132685,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol001/ubest.nc,"on:sol001@J2K4L9"
re300_lx10_lz6_010,re300_lx10_lz6,300.0,10.0,6.0,B,"<sxy, sz>",0.394206,0.13072,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol003/ubest.nc,"ls:sol003@J2K4L9"
re300_lx10_lz6_006,re300_lx10_lz6,300.0,10.0,6.0,C,"<sxytz, sz>",0.327932,0.132183,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_3_5_9/dns_findsoln/sol001/ubest.nc,"on:sol001@J3K5L9;on:sol002@J2K4L9"
re300_lx10_lz6_007,re300_lx10_lz6,300.0,10.0,6.0,C,"<sxytz, sz>",0.332424,0.114986,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_8/dns_findsoln/sol004/ubest.nc,"on:sol004@J2K4L8;ls:sol001@J3K4L9;ls:sol003@J2K4L9"
re300_lx10_lz6_008,re300_lx10_lz6,300.0,10.0,6.0,C,"<sxytz, sz>",0.368928,0.132685,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/dns_findsoln/sol005/ubest.nc,"on:sol005@J1K4L5"
re300_lx10_lz6_011,re300_lx10_lz6,300.0,10.0,6.0,C,"<sxytz, sz>",0.504836,0.155965,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol006/ubest.nc,"on:sol006@J1K3L5"
re300_lx10_lz6_021,re300_lx10_lz6,300.0,10.0,6.0,C,"<sxytz, sz>",0.978733,0.24704,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/C/jkl_2_4_9/dns_findsoln/sol002/ubest.nc,"ls:sol002@J2K4L9"
re300_lx10_lz6_025,re300_lx10_lz6,300.0,10.0,6.0,C,"<sxytz, sz>",1.50822,0.307106,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol003/ubest.nc,"on:sol003@J2K4L6"
re300_lx10_lz6_002,re300_lx10_lz6,300.0,10.0,6.0,D,"<sxy, sztx>",0.191403,0.093204,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol004/ubest.nc,"on:sol004@J1K3L5"
re300_lx10_lz6_012,re300_lx10_lz6,300.0,10.0,6.0,D,"<sxy, sztx>",0.562706,0.180224,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol003/ubest.nc,"on:sol003@J1K3L5;ls:sol003@J1K3L5"
re300_lx10_lz6_014,re300_lx10_lz6,300.0,10.0,6.0,D,"<sxy, sztx>",0.580333,0.155926,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_9/dns_findsoln/sol002/ubest.nc,"on:sol002@J2K4L9"
re300_lx10_lz6_019,re300_lx10_lz6,300.0,10.0,6.0,D,"<sxy, sztx>",0.830666,0.22263,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/D/jkl_2_4_9/dns_findsoln/sol001/ubest.nc,"ls:sol001@J2K4L9;ls:sol002@J2K4L7"
re300_lx10_lz6_024,re300_lx10_lz6,300.0,10.0,6.0,D,"<sxy, sztx>",1.12265,0.249595,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_8/dns_findsoln/sol001/ubest.nc,"on:sol001@J2K4L8"
re300_lx10_lz6_013,re300_lx10_lz6,300.0,10.0,6.0,E,"<sxyz, sztxz>",0.5755,0.33369,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_3_5_11/dns_findsoln/sol001/ubest.nc,"on:sol001@J3K5L11;on:sol002@J2K4L9;on:sol005@J1K3L5;ls:sol001@J3K5L11;ls:sol003@J2K4L9"
