physical_id,case,group,direction,step,Re,input
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,1,300.02,4.7041213
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,2,300.0,4.7039005
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,3,299.98,4.7036797
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,4,278.08392,4.445577
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,5,267.13393,4.3034096
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,6,256.46658,4.1553984
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,7,246.10347,4.0013973
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,8,236.07019,3.8411702
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,9,227.47859,3.6937324
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,10,219.19959,3.5410111
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,11,211.26492,3.3827508
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,12,204.71258,3.2411927
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,13,198.47815,3.0948448
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,14,193.28075,2.9614183
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,15,188.40422,2.8231272
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,16,184.52534,2.6998931
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,17,180.98327,2.5709808
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,18,178.37317,2.4584287
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,19,176.39587,2.35306
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,20,174.97052,2.250113
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,21,174.11051,2.1404516
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,22,174.01953,2.1132679
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,23,173.99196,2.0979083
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,24,173.98832,2.0699824
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,25,174.16089,2.0167119
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,26,174.78852,1.9471722
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,27,175.88625,1.8810883
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,28,177.51898,1.8170413
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,29,179.88932,1.7519834
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,30,183.10578,1.6880582
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,31,186.9894,1.6303269
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,32,191.45053,1.5791255
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,33,195.71842,1.5397843
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,34,200.24423,1.5051607
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,35,204.95627,1.4747925
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,36,209.80249,1.4481356
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,37,215.39354,1.4218262
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,38,221.07265,1.3989171
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,39,227.63461,1.3762023
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,40,234.25416,1.3565234
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,41,241.98295,1.3368017
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,minus,42,249.74977,1.3197994
