physical_id,case,group,direction,step,Re,input
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,1,400.02,1.2615208
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,2,400.0,1.261529
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,3,399.98,1.2615373
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,4,360.43098,1.2811349
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,5,339.90589,1.2947278
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,6,322.00979,1.3093739
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,7,304.29932,1.3273821
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,8,286.89099,1.3498337
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,9,272.51257,1.3733891
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,10,258.70674,1.402097
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,11,245.77878,1.4367738
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,12,234.10777,1.477643
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,13,224.07234,1.5237059
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,14,215.87531,1.5727002
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,15,210.13184,1.6160966
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,16,205.50392,1.6589374
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,17,201.75861,1.7008402
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,18,198.25236,1.7483698
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,19,195.47738,1.7941283
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,20,192.86145,1.8470615
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,21,190.62198,1.904134
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,22,188.80262,1.9639237
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,23,187.36773,2.0267494
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,24,186.30395,2.0922132
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,25,185.6068,2.1581061
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,26,185.26078,2.2157206
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,27,185.24261,2.3476078
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,28,185.9742,2.4643193
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,29,187.17609,2.5724871
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,30,188.88177,2.684288
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,31,191.05798,2.798263
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,32,193.67474,2.9135812
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,33,196.70735,3.0296938
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,34,200.43892,3.1559092
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,35,204.62068,3.282336
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,36,209.20638,3.4078085
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,37,214.21503,3.5329824
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,38,219.65077,3.6578882
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,39,225.52067,3.782535
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,40,231.83452,3.9069157
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,41,238.60498,4.0310107
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,42,245.84813,4.1547886
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,43,253.58461,4.2782064
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,44,261.84118,4.4012072
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,45,270.65322,4.5237144
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,46,280.06848,4.6456204
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,47,290.15332,4.7667629
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,48,301.00409,4.8868744
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,49,312.77004,5.005461
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,50,325.50384,5.1197675
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,51,337.56738,5.2130383
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,52,348.00748,5.2790912
re400_lx10_lz6_008,re400_lx10_lz6,B,minus,53,355.6213,5.3154926
re400_lx10_lz6_008,re400_lx10_lz6,B,plus,1,399.98,1.2615373
re400_lx10_lz6_008,re400_lx10_lz6,B,plus,2,400.0,1.261529
re400_lx10_lz6_008,re400_lx10_lz6,B,plus,3,400.02,1.2615208
re400_lx10_lz6_008,re400_lx10_lz6,B,plus,4,439.795,1.2474969
re400_lx10_lz6_008,re400_lx10_lz6,B,plus,5,466.09625,1.2402807
re400_lx10_lz6_008,re400_lx10_lz6,B,plus,6,492.44845,1.234235
re400_lx10_lz6_008,re400_lx10_lz6,B,plus,7,523.23117,1.2283249
