timestamp,physical_id,case,group,Re,status,min_Re,error,out_dir
2026-03-25T08:56:12,re300_lx10_lz6_007,re300_lx10_lz6,C,300.0,ok,185.22208,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_007
2026-03-25T09:48:19,re300_lx10_lz6_014,re300_lx10_lz6,D,300.0,ok,185.20738,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_014
2026-03-25T13:25:58,re300_lx10_lz6_021,re300_lx10_lz6,C,300.0,ok,270.16915,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_021
2026-03-25T16:49:15,re300_lx10_lz6_011,re300_lx10_lz6,C,300.0,ok,254.36991,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_011
2026-03-25T18:29:57,re300_lx10_lz6_006,re300_lx10_lz6,A,300.0,ok,270.18743,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_006
2026-03-25T18:58:37,re300_lx10_lz6_008,re300_lx10_lz6,B,300.0,ok,254.34243,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_008
2026-03-25T20:25:43,re300_lx10_lz6_019,re300_lx10_lz6,D,300.0,ok,244.99491,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_019
2026-03-25T22:02:18,re300_lx10_lz6_013,re300_lx10_lz6,E,300.0,ok,155.93833,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_013
2026-03-26T04:50:38,re300_lx10_lz6_016,re300_lx10_lz6,E,300.0,ok,246.97053,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_016
2026-03-26T10:37:42,re300_lx10_lz6_026,re300_lx10_lz6,A,300.0,ok,242.11757,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_026
2026-03-26T15:04:04,re300_lx10_lz6_003,re300_lx10_lz6,G,300.0,ok,240.46881,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_003
2026-03-26T16:52:57,re300_lx10_lz6_010,re300_lx10_lz6,B,300.0,ok,274.38226,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_010
2026-03-26T17:17:31,re300_lx10_lz6_002,re300_lx10_lz6,G,300.0,ok,273.64612,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_002
2026-03-26T22:45:52,re300_lx10_lz6_001,re300_lx10_lz6,G,300.0,ok,213.9188,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_001
2026-03-27T00:16:54,re300_lx10_lz6_022,re300_lx10_lz6,E,300.0,ok,255.89968,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_022
2026-03-27T05:31:25,re300_lx10_lz6_009,re300_lx10_lz6,G,300.0,ok,224.21094,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_009
2026-03-27T07:40:46,re300_lx10_lz6_024,re300_lx10_lz6,D,300.0,ok,245.18139,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_024
2026-03-27T10:53:01,re300_lx10_lz6_023,re300_lx10_lz6,E,300.0,ok,278.00864,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_023
2026-03-27T14:37:36,re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,300.0,ok,173.98832,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_012
2026-03-27T14:54:56,re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,C,300.0,ok,174.10532,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_001
2026-03-27T16:31:17,re300_lx10_lz6_015,re300_lx10_lz6,G,300.0,ok,180.2272,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_015
2026-03-27T18:44:42,re300_lx2pi_lzpi_008,re300_lx2pi_lzpi,B,300.0,ok,178.66657,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_008
2026-03-27T21:30:20,re300_lx2pi_lzpi_002,re300_lx2pi_lzpi,D,300.0,ok,174.08519,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_002
2026-03-27T22:06:13,re300_lx10_lz6_018,re300_lx10_lz6,E,300.0,ok,290.40894,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_018
2026-03-27T22:11:30,re300_lx10_lz6_012,re300_lx10_lz6,D,300.0,ok,290.42711,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_012
2026-03-28T03:29:51,re300_lx10_lz6_025,re300_lx10_lz6,C,300.0,ok,292.0388,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_025
2026-03-28T06:06:45,re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,300.0,ok,163.69327,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_003
2026-03-28T07:04:56,re300_lx2pi_lzpi_010,re300_lx2pi_lzpi,D,300.0,ok,173.98429,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_010
2026-03-28T09:22:08,re300_lx10_lz6_005,re300_lx10_lz6,G,300.0,ok,240.62964,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_005
2026-03-28T10:35:58,re300_lx10_lz6_004,re300_lx10_lz6,G,300.0,ok,274.69691,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_004
2026-03-28T14:49:17,re400_lx10_lz6_008,re400_lx10_lz6,B,400.0,ok,185.24261,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re400_lx10_lz6_008
2026-03-28T15:42:34,re300_lx2pi_lzpi_011,re300_lx2pi_lzpi,F,300.0,ok,244.89025,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_011
2026-03-28T17:24:35,re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,E,300.0,ok,163.50444,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_009
2026-03-28T23:57:52,re300_lx10_lz6_017,re300_lx10_lz6,G,300.0,ok,284.87002,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_017
2026-03-29T00:51:32,re300_lx2pi_lzpi_006,re300_lx2pi_lzpi,D,300.0,ok,296.07785,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_006
2026-03-29T04:18:31,re400_lx10_lz6_014,re400_lx10_lz6,A,400.0,ok,180.32022,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re400_lx10_lz6_014
2026-03-29T04:26:47,re300_lx2pi_lzpi_007,re300_lx2pi_lzpi,E,300.0,ok,194.87436,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_007
2026-03-29T08:25:54,re400_lx10_lz6_003,re400_lx10_lz6,B,400.0,ok,270.27073,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re400_lx10_lz6_003
2026-03-29T21:30:50,re400_lx10_lz6_012,re400_lx10_lz6,A,400.0,ok,320.45381,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re400_lx10_lz6_012
2026-03-29T23:10:42,re400_lx10_lz6_006,re400_lx10_lz6,D,400.0,ok,254.34511,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re400_lx10_lz6_006
2026-03-30T01:47:23,re300_lx2pi_lzpi_004,re300_lx2pi_lzpi,G,300.0,ok,279.12382,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_004
2026-03-30T10:50:47,re300_lx2pi_lzpi_005,re300_lx2pi_lzpi,G,300.0,ok,245.07433,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx2pi_lzpi_005
2026-03-30T17:05:30,re400_lx10_lz6_010,re400_lx10_lz6,B,400.0,ok,318.31936,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re400_lx10_lz6_010
2026-03-30T17:25:55,re300_lx10_lz6_020,re300_lx10_lz6,G,300.0,ok,295.81315,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bifurcations/re300_lx10_lz6_020
