      #(Re)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  300.02      0.247057      0.338298     0.0542368     0.0684623      0.115363    0.00762871             0             0      0.978865      0.489433     -0.489433      0.978865
     300       0.24704      0.338274     0.0542315     0.0684588       0.11536    0.00762766             0             0      0.978733      0.489366     -0.489366      0.978733
  299.98      0.247023      0.338251     0.0542262     0.0684553      0.115358    0.00762662             0             0      0.978601        0.4893       -0.4893      0.978601
 284.717       0.23234      0.318133     0.0497085     0.0654544      0.113005    0.00675522             0             0      0.870311      0.435155     -0.435155      0.870311
 278.017      0.223563      0.306143     0.0469501      0.063505      0.111202    0.00623719             0             0      0.810345      0.405172     -0.405172      0.810345
 273.829      0.216023      0.295877     0.0445302      0.061688      0.109362    0.00578835             0             0      0.761328      0.380664     -0.380664      0.761328
 270.736      0.206519       0.28299     0.0414153     0.0591781      0.106626    0.00521728             0             0      0.702613      0.351306     -0.351306      0.702613
 270.395       0.20431      0.280003     0.0406807     0.0585551      0.105918    0.00508362             0             0      0.689436      0.344718     -0.344718      0.689436
 270.169      0.201025      0.275568     0.0395815     0.0575993      0.104812    0.00488437             0             0      0.670164      0.335082     -0.335082      0.670164
 270.623      0.195151      0.267657     0.0375987     0.0558023       0.10268    0.00452755             0             0      0.636642      0.318321     -0.318321      0.636642
 272.533      0.188262      0.258404     0.0352603     0.0535638     0.0999415    0.00411237             0             0      0.598784      0.299392     -0.299392      0.598784
   276.5       0.17992      0.247216     0.0324582      0.050727     0.0963585    0.00362676             0             0       0.55481      0.277405     -0.277405       0.55481
 282.174       0.17043      0.234464      0.029403     0.0474815     0.0920919    0.00311903             0             0      0.506804      0.253402     -0.253402      0.506804
 287.791      0.161087      0.221853     0.0266021     0.0444016     0.0878131    0.00267917             0             0      0.461189      0.230594     -0.230594      0.461189
 292.885      0.151536      0.208894     0.0239615     0.0414185     0.0833565    0.00228965             0             0      0.415949      0.207974     -0.207974      0.415949
 296.971      0.141916      0.195777     0.0215141     0.0385861     0.0787229    0.00195175   1.45553e-15             0      0.371607      0.185804     -0.185804      0.371607
 299.853      0.132711      0.183177     0.0193449     0.0360105     0.0740671    0.00167098             0             0       0.33027      0.165135     -0.165135       0.33027
 301.764      0.126032      0.174017      0.017847     0.0341714      0.070475     0.0014862             0             0      0.301039      0.150519     -0.150519      0.301039
 303.927      0.120241      0.166079     0.0165748      0.032542      0.067155     0.0013337             0             0      0.276357      0.138179     -0.138179      0.276357
 308.701      0.112583      0.155605     0.0148953     0.0302516     0.0623919    0.00113703             0             0      0.244882      0.122441     -0.122441      0.244882
 313.952      0.107417      0.148564     0.0137492     0.0285759     0.0589035    0.00100562             0             0      0.224514      0.112257     -0.112257      0.224514
  319.23      0.103636      0.143426     0.0128999     0.0272691     0.0561994   0.000910008             0             0      0.210082      0.105041     -0.105041      0.210082
  324.85      0.100446        0.1391     0.0121754     0.0261092     0.0538149   0.000829933             0             0      0.198225     0.0991124    -0.0991124      0.198225
 332.355     0.0969994      0.134437     0.0113852      0.024796     0.0511324   0.000744461             0             0      0.185751     0.0928754    -0.0928754      0.185751
 341.557     0.0935813      0.129822     0.0105941     0.0234309     0.0483617   0.000661242             0             0      0.173724     0.0868618    -0.0868618      0.173724
 352.363     0.0903061      0.125407    0.00983027      0.022065     0.0456039   0.000583498             0             0       0.16252     0.0812602    -0.0812602       0.16252
 365.003     0.0871543      0.121164    0.00909096     0.0206982     0.0428552    0.00051106             0             0      0.152034     0.0760169    -0.0760169      0.152034
 379.686     0.0841282      0.117094    0.00837845     0.0193393     0.0401298   0.000444209             0             0      0.142236     0.0711178    -0.0711178      0.142236
 396.559     0.0812446      0.113216    0.00769834     0.0180042     0.0374553   0.000383415             0             0      0.133143     0.0665714    -0.0665714      0.133143
 415.788     0.0785131      0.109544    0.00705433     0.0167054      0.034854   0.000328834             0             0      0.124747     0.0623737    -0.0623737      0.124747
 437.582     0.0759357      0.106076    0.00644814     0.0154521     0.0323415   0.000280346             0             0       0.11702     0.0585098    -0.0585098       0.11702
 462.189     0.0735102       0.10281     0.0058803     0.0142506     0.0299286   0.000237657             0             0      0.109919     0.0549597    -0.0549597      0.109919
 489.912      0.071231     0.0997363     0.0053504      0.013105     0.0276227   0.000200369             0             0      0.103401     0.0517007    -0.0517007      0.103401
 519.904     0.0691668     0.0969483    0.00487489     0.0120567     0.0255066   0.000169129             0             0     0.0976289     0.0488144    -0.0488144     0.0976289
 549.898     0.0674168     0.0945802    0.00447616     0.0111625     0.0236962   0.000144637             0             0     0.0928343     0.0464171    -0.0464171     0.0928343
 579.893     0.0659086     0.0925354    0.00413669       0.01039      0.022128   0.000125065             0             0     0.0887773     0.0443887    -0.0443887     0.0887773
 609.889     0.0645909     0.0907457    0.00384402    0.00971573     0.0207553   0.000109172             0             0     0.0852917     0.0426459    -0.0426459     0.0852917
 639.886     0.0634263     0.0891611    0.00358901    0.00912176     0.0195429   9.60875e-05             0             0     0.0822582     0.0411291    -0.0411291     0.0822582
 669.884     0.0623869     0.0877443    0.00336477    0.00859446     0.0184639   8.51864e-05             0             0      0.079589     0.0397945    -0.0397945      0.079589
 699.882     0.0614512     0.0864667    0.00316603    0.00812315      0.017497   7.60094e-05             0             0     0.0772181      0.038609     -0.038609     0.0772181
  729.88     0.0606026     0.0853061    0.00298866    0.00769935     0.0166254    6.8212e-05             0             0     0.0750945     0.0375472    -0.0375472     0.0750945
 759.879     0.0598279      0.084245    0.00282938     0.0073162     0.0158356   6.15322e-05             0             0     0.0731787     0.0365893    -0.0365893     0.0731787
 789.878     0.0591166     0.0832693    0.00268558    0.00696814     0.0151165   5.57673e-05             0             0     0.0714393     0.0357196    -0.0357196     0.0714393
 819.877     0.0584602     0.0823677    0.00255509    0.00665058     0.0144588   5.07587e-05             0             0      0.069851     0.0349255    -0.0349255      0.069851
 849.876     0.0578517     0.0815307    0.00243617    0.00635969     0.0138551   4.63806e-05             0             0     0.0683935     0.0341967    -0.0341967     0.0683935
 879.876     0.0572853     0.0807508    0.00232735    0.00609227     0.0132989   4.25324e-05             0             0     0.0670498     0.0335249    -0.0335249     0.0670498
 909.875     0.0567562     0.0800213    0.00222741    0.00584563     0.0127848   3.91327e-05             0             0     0.0658061     0.0329031    -0.0329031     0.0658061
 939.874     0.0562603     0.0793368    0.00213531    0.00561744     0.0123082   3.61151e-05             0             0     0.0646507     0.0323253    -0.0323253     0.0646507
 969.874     0.0557941     0.0786927    0.00205018    0.00540573     0.0118651   3.34251e-05             0             0     0.0635737     0.0317868    -0.0317868     0.0635737
 999.874     0.0553547     0.0780849    0.00197126     0.0052088     0.0114522   3.10174e-05             0             0     0.0625667     0.0312834    -0.0312834     0.0625667
