      #(Re)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  300.02      0.238196      0.335337     0.0138377     0.0288467     0.0329154    0.00102361             0             0      0.451933      0.225966     -0.225966      0.451933
     300      0.238198       0.33534     0.0138389     0.0288492     0.0329181    0.00102379             0             0      0.451944      0.225972     -0.225972      0.451944
  299.98        0.2382      0.335342     0.0138401     0.0288518     0.0329208    0.00102397             0             0      0.451955      0.225977     -0.225977      0.451955
 270.221      0.241497      0.339534     0.0159308     0.0332315     0.0375069    0.00135813             0             0      0.470823      0.235411     -0.235411      0.470823
 254.687      0.243639      0.342223     0.0173121     0.0361049     0.0404741    0.00160328             0             0      0.483406      0.241703     -0.241703      0.483406
  241.25      0.245834      0.344954     0.0187346     0.0390433     0.0434747    0.00187536             0             0      0.496526      0.248263     -0.248263      0.496526
  227.89      0.248452      0.348184     0.0204309     0.0425166      0.046978    0.00222508             0             0      0.512447      0.256223     -0.256223      0.512447
 216.424      0.251185      0.351527     0.0221927      0.046085      0.050528    0.00261634             0             0      0.529345      0.264672     -0.264672      0.529345
 206.378      0.254102       0.35507     0.0240588     0.0498179     0.0541882    0.00306065             0             0      0.547684      0.273842     -0.273842      0.547684
 196.546      0.257642      0.359341     0.0263007     0.0542362     0.0584491    0.00363329             0             0      0.570354      0.285177     -0.285177      0.570354
 188.572      0.261256      0.363673     0.0285613     0.0586151     0.0625949    0.00425148             0             0      0.593954      0.296977     -0.296977      0.593954
 181.026      0.265644      0.368905     0.0312685     0.0637552     0.0673614    0.00504244             0             0      0.623251      0.311625     -0.311625      0.623251
 175.049      0.270249      0.374374     0.0340635     0.0689401     0.0720569    0.00591306             0             0       0.65477      0.327385     -0.327385       0.65477
 169.949      0.275708      0.380844     0.0373107     0.0748034     0.0772244    0.00698763             0             0      0.693193      0.346596     -0.346596      0.693193
  166.17      0.281953      0.388252     0.0409263     0.0811197     0.0826115    0.00825537             0             0      0.738595      0.369298     -0.369298      0.738595
 164.138       0.28815      0.395637     0.0443954     0.0869585     0.0874119    0.00953274             0             0      0.785238      0.392619     -0.392619      0.785238
 163.693      0.290942      0.398981     0.0459156     0.0894452     0.0893997     0.0101087             0             0      0.806785      0.403392     -0.403392      0.806785
