                     %Re                     obs                       s                guesserr                   error     directory
                  300.02               2.2113546                       0                       0           2.1579873e-16  ./initial-2/
                     300               2.2109004                       0                       0           2.5590493e-14  ./initial-1/
                  299.98               2.2104473                       0                       0           4.8554224e-16  ./initial-0/
               293.10167               2.1004984              0.05497673           1.3298049e-05           1.9938234e-16   search-0/
               287.57426               2.0534853             0.083112809           1.7413674e-05            2.580001e-16   search-1/
               280.69371               2.0246635              0.10949395           1.7696193e-05           5.0546528e-16   search-2/
               273.22644               2.0176319              0.13458721           1.6311077e-05           5.2512383e-16   search-3/
               266.66257               2.0256889              0.15676819           1.8430728e-05           3.7257508e-15   search-4/
               260.13319                2.043568              0.17998659            1.870056e-05           1.7802872e-14   search-5/
               253.95311               2.0677751              0.20331578           1.3624606e-05            7.784602e-15   search-6/
               247.33417               2.1000403              0.22976871           1.2081522e-05           3.9246705e-15   search-7/
               241.12826                2.134799              0.25575124           1.0163387e-05           4.5590413e-15   search-8/
               234.47454                2.175051              0.28444576           1.2282176e-05           6.5160672e-15   search-9/
               228.03067               2.2150098              0.31251751           1.4564806e-05           6.8941275e-15   search-10/
               221.65154               2.2538382              0.34009615           1.7581234e-05           1.1431367e-14   search-11/
               216.05734               2.2864979              0.36388561           1.6743814e-05           7.7287432e-15   search-12/
               210.37837               2.3181461              0.38761848           1.8710349e-05           8.1279084e-15   search-13/
               205.46395               2.3444978              0.40787714           1.7195466e-05           1.4722739e-14   search-14/
               200.48801               2.3705349              0.42821923           1.9615161e-05           2.1026557e-14   search-15/
               196.34563               2.3919817              0.44509402           1.7855204e-05           1.1304668e-14   search-16/
               192.71419               2.4107819              0.45988709           1.6686136e-05           1.8618499e-14   search-17/
               189.49588               2.4275384              0.47302198           1.6382298e-05           1.3427291e-14   search-18/
               186.70641                2.442184              0.48443854           1.6799443e-05           1.5409201e-14   search-19/
               184.35457               2.4546415              0.49409284            1.737596e-05            2.220153e-14   search-20/
               182.43137               2.4649093              0.50200897           1.8060363e-05           3.1248526e-14   search-21/
               180.91927               2.4730333              0.50824655           1.8999501e-05           4.0649649e-16   search-22/
               179.92631               2.4783912              0.51234874           1.6682312e-05           4.6328572e-16   search-23/
               179.16553               2.4825077              0.51549479           1.9750209e-05           3.9309003e-14   search-24/
               178.80691               2.4786818              0.51759798           1.9561281e-05           8.4051902e-16   search-25/
               178.66657                2.472212              0.52056146           1.8600198e-05           1.9508102e-15   search-26/
               178.85396                2.480834              0.52451092           9.0085379e-06            6.750502e-15   search-27/
               179.80904               2.5228712              0.54378921           8.3821768e-06           7.9840963e-16   search-28/
               181.92026               2.6071392              0.58254825           2.8100432e-06            1.926774e-16   search-29/
               184.84967               2.7107908              0.63043641           7.9886862e-06            4.473646e-16   search-30/
               188.13381                 2.81498              0.67881645           1.0078696e-05           3.4958764e-16   search-31/
               192.26136               2.9337151              0.73425524           1.2135345e-05           4.9604186e-16   search-32/
               196.77792               3.0525052              0.79005394           1.1963688e-05           2.8317338e-16   search-33/
               201.65787               3.1711004              0.84610722            1.110838e-05           3.2948944e-16   search-34/
               207.54556               3.3037611              0.90923827           1.2319111e-05           4.2707265e-16   search-35/
               213.84807               3.4357092              0.97250864           1.2229457e-05            6.828674e-16   search-36/
               220.55284               3.5667734               1.0358625           1.1593935e-05           4.0280543e-16   search-37/
               227.65182               3.6968097               1.0992602           1.0715257e-05           4.8497311e-16   search-38/
                235.1405               3.8257023               1.1626783           1.0028659e-05           1.4276576e-15   search-39/
               244.15677                3.971221               1.2350341           1.2104472e-05           1.5739176e-15   search-40/
                253.6763               4.1149832               1.3073879           1.2831156e-05           3.4828098e-15   search-41/
               263.69935               4.2568329               1.3797249            1.285484e-05           8.9722087e-16   search-42/
               274.22804               4.3965759               1.4520212           1.2448969e-05           4.6138355e-16   search-43/
               285.26789               4.5339488               1.5242353           1.2104393e-05           2.1875122e-15   search-44/
               296.83057               4.6685787               1.5963016           1.1787944e-05           1.7375143e-15   search-45/
               308.93811               4.7999225               1.6681211           1.1635393e-05            3.441763e-15   search-46/
                321.6291               4.9271602               1.7395465           1.2122109e-05           2.2456559e-15   search-47/
                334.9682               5.0489855               1.8103509           1.4202379e-05           5.0000885e-15   search-48/
               349.06243               5.1631451               1.8801603           1.9386608e-05            2.271937e-15   search-49/
