                     %Re                     obs                       s                guesserr                   error     directory
                  400.02               1.2759947                       0                       0           2.1630903e-16  ./initial-2/
                     400               1.2760071                       0                       0           1.0521137e-15  ./initial-1/
                  399.98               1.2760195                       0                       0           1.7959603e-16  ./initial-0/
               369.19871               1.3000859             0.079281757           1.3994739e-05           7.2484083e-14   search-0/
               355.10864                1.316912              0.11689423           1.8683856e-05            3.533768e-16   search-1/
                343.9877               1.3381233              0.14928718           1.8728259e-05           2.2365689e-14   search-2/
               342.27119               1.3439919              0.15557743           2.3654024e-06           3.8460105e-16   search-5/
               341.51326               1.3481739              0.15936319           4.6527775e-07           3.4818896e-16   search-8/
               341.35608               1.3496518              0.16058623           4.9461215e-08           1.8288989e-14   search-12/
               341.29355                 1.35053              0.16129202           7.7899506e-09           1.0984243e-15   search-15/
               341.25163                1.351559              0.16210522           3.5112945e-09           1.2974833e-14   search-17/
                341.2646               1.3533159              0.16348245           1.8417304e-08           9.8404405e-14   search-18/
               341.60723                 1.35655              0.16615786           1.0323664e-07           3.4857532e-15   search-19/
                343.5499               1.3623704              0.17282071            1.016427e-06           5.2914463e-16   search-20/
               349.65057               1.3701208              0.18923735           5.9413778e-06           7.5030457e-15   search-21/
               357.79525               1.3764744              0.21019903           9.7846315e-06            2.991638e-14   search-22/
               368.75377               1.3833287                0.238117           7.6644332e-06           1.7128066e-15   search-23/
               384.80947               1.3924108               0.2788824           6.7536327e-06           1.7774491e-16   search-24/
               403.68753               1.4027154              0.32676349           8.3794736e-06            2.037629e-14   search-25/
               423.83004               1.4135145              0.37782601           9.2838401e-06           3.9011542e-14   search-26/
                444.7577               1.4254442              0.43097395           9.5719123e-06           3.9893925e-16   search-27/
               460.72238               1.4483224              0.47472792            1.369354e-05           2.4476795e-16   search-28/
               465.56334               1.4748648              0.49879357           1.7663021e-05           1.2614777e-15   search-29/
               466.97656               1.4817227              0.50522529           1.8628433e-05           3.0678104e-14   search-30/
               471.83025               1.4989196              0.52336014           1.0347086e-05           4.4070806e-16   search-31/
               479.29778               1.5153186              0.54602494           1.1640399e-05           2.9474199e-16   search-32/
