citation_key,authors,year,paper_title,source_table,row_label,root_label,object_type,object_id,Re,geometry_label,norm,E,D,H,unstable_dim,unstable_dim_H,accuracy,frequency,notes
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,mean,,mean,mean,,GHC,0.2828,0.0870,2.9260,,,,,,"GHC table mean row; Re not specified in provided table"
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ0,,EQ,EQ0,400,GHC,0.0000,0.1667,1.0000,Gamma,0,0,,2,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ1,,EQ,EQ1,400,GHC,0.2091,0.1363,1.4290,S,1,1,1e-6,7,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ2,,EQ,EQ2,400,GHC,0.3858,0.0780,3.0440,S,8,2,1e-4,3,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ3,,EQ,EQ3,400,GHC,0.1259,0.1382,1.3180,S,4,2,1e-4,2,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ4,,EQ,EQ4,400,GHC,0.1681,0.1243,1.4540,S,6,3,1e-4,8,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ5,,EQ,EQ5,400,GHC,0.2186,0.1073,2.0200,S,11,4,1e-3,1,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ6,,EQ,EQ6,330,GHC,0.2751,0.0972,2.8180,S,19,6,1e-3,,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ7,,EQ,EQ7,400,GHC,0.0935,0.1469,1.2520,"S x {e,tau_xu}",3,1,1e-4,3,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ8,,EQ,EQ8,400,GHC,0.1756,0.1204,3.0440,"S x {e,tau_xu}",15,2,1e-3,,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ9,,EQ,EQ9,400,GHC,0.1565,0.1290,1.4040,"{e,sigma_xu}",5,3,1e-4,1,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ10,,EQ,EQ10,400,GHC,0.3285,0.1080,2.3730,"{e,sigma_xu}",10,7,1e-4,,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ11,,EQ,EQ11,400,GHC,0.4049,0.0803,3.4320,"{e,sigma_xu}",13,10,1e-4,,
GHC2008,"Gibson; Halcrow; Cvitanovic",2008,"Equilibrium and travelling-wave solutions of plane Couette flow",GHC_equilibria,EQ12,,EQ,EQ12,400,GHC,0.3037,0.1159,2.0710,"{e,sigma_xu}",5,4,1e-5,,
