physical_id,case,Re,Lx,Lz,shear,L2,is_trivial,source,groups,n_groups,representative_ubest
re300_lx10_lz6_006,re300_lx10_lz6,300.0,10.0,6.0,0.327932,0.132183,false,both,"A,B,C,F,G",5,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/A/jkl_3_5_9/dns_findsoln/sol001/ubest.nc
re300_lx10_lz6_026,re300_lx10_lz6,300.0,10.0,6.0,1.75755,0.337678,false,overnight,"A",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_5/dns_findsoln/sol002/ubest.nc
re300_lx10_lz6_008,re300_lx10_lz6,300.0,10.0,6.0,0.368928,0.132685,false,overnight,"B,C",2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol001/ubest.nc
re300_lx10_lz6_010,re300_lx10_lz6,300.0,10.0,6.0,0.394206,0.13072,false,low_shear,"B",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol003/ubest.nc
re300_lx10_lz6_007,re300_lx10_lz6,300.0,10.0,6.0,0.332424,0.114986,false,both,"C",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/C/jkl_3_4_9/dns_findsoln/sol001/ubest.nc
re300_lx10_lz6_011,re300_lx10_lz6,300.0,10.0,6.0,0.504836,0.155965,false,overnight,"C",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol006/ubest.nc
re300_lx10_lz6_021,re300_lx10_lz6,300.0,10.0,6.0,0.978733,0.24704,false,both,"C,E",2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/C/jkl_2_4_9/dns_findsoln/sol002/ubest.nc
re300_lx10_lz6_025,re300_lx10_lz6,300.0,10.0,6.0,1.50822,0.307106,false,overnight,"C",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol003/ubest.nc
re300_lx10_lz6_002,re300_lx10_lz6,300.0,10.0,6.0,0.191403,0.093204,false,both,"D,G",2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol006/ubest.nc
re300_lx10_lz6_012,re300_lx10_lz6,300.0,10.0,6.0,0.562706,0.180224,false,both,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol003/ubest.nc
re300_lx10_lz6_014,re300_lx10_lz6,300.0,10.0,6.0,0.580333,0.155926,false,overnight,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_9/dns_findsoln/sol002/ubest.nc
re300_lx10_lz6_019,re300_lx10_lz6,300.0,10.0,6.0,0.830666,0.22263,false,low_shear,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/D/jkl_2_4_9/dns_findsoln/sol001/ubest.nc
re300_lx10_lz6_024,re300_lx10_lz6,300.0,10.0,6.0,1.12265,0.249595,false,overnight,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_8/dns_findsoln/sol001/ubest.nc
re300_lx10_lz6_013,re300_lx10_lz6,300.0,10.0,6.0,0.5755,0.33369,false,both,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_3_5_11/dns_findsoln/sol001/ubest.nc
re300_lx10_lz6_016,re300_lx10_lz6,300.0,10.0,6.0,0.69859,0.23608,false,overnight,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_5/dns_findsoln/sol004/ubest.nc
re300_lx10_lz6_018,re300_lx10_lz6,300.0,10.0,6.0,0.783748,0.218337,false,low_shear,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/E/jkl_2_4_9/dns_findsoln/sol004/ubest.nc
re300_lx10_lz6_022,re300_lx10_lz6,300.0,10.0,6.0,1.09973,0.404339,false,low_shear,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/E/jkl_3_5_11/dns_findsoln/sol002/ubest.nc
re300_lx10_lz6_023,re300_lx10_lz6,300.0,10.0,6.0,1.10725,0.261748,false,low_shear,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/E/jkl_1_4_5/dns_findsoln/sol005/ubest.nc
re300_lx10_lz6_001,re300_lx10_lz6,300.0,10.0,6.0,0.130007,0.0787033,false,overnight,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol004/ubest.nc
re300_lx10_lz6_003,re300_lx10_lz6,300.0,10.0,6.0,0.211102,0.102108,false,overnight,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol001/ubest.nc
re300_lx10_lz6_004,re300_lx10_lz6,300.0,10.0,6.0,0.260169,0.118291,false,both,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol008/ubest.nc
re300_lx10_lz6_005,re300_lx10_lz6,300.0,10.0,6.0,0.269275,0.11686,false,overnight,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_1_3_5/dns_findsoln/sol007/ubest.nc
re300_lx10_lz6_009,re300_lx10_lz6,300.0,10.0,6.0,0.385216,0.208333,false,low_shear,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_1_3_5/dns_findsoln/sol011/ubest.nc
re300_lx10_lz6_015,re300_lx10_lz6,300.0,10.0,6.0,0.692635,0.281618,false,low_shear,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_2_4_6/dns_findsoln/sol001/ubest.nc
